e
M0007
PebB04A8C0n;ba89AC64Bp,14,215,40
Peb828720Cu;ba8118D89p,10,20C,40
Peb829355Cu;ba81167BDp,10,20C,40
Peb829F8ACu;ba8113F01p,10,20C,41
Peb82ABBFCu;ba8111B68p,10,20C,40
Peb82B7F4Bu;ba810F714p,10,20C,40
Peb82C429Cu;ba810D37Bp,10,20C,40
Peb82D05EBu;ba810B2D2p,10,20C,41
Peb82DC93Cu;ba8108F3Ap,10,20C,40
Peb82E8C8Cu;ba8107356p,10,20C,40
Peb82F4FDCu;ba8104D8Ap,10,20C,40
Peb830132Cu;ba8103841p,10,20C,40
Peb830D67Cu;ba810109Fp,10,20C,40
Peb83199CCu;ba80FFE46p,10,20C,40
Peb8325D1Cu;ba80FD58Ap,10,20C,40
Peb833206Bu;ba80FC6DCp,10,20C,40
Peb833E3BCu;ba80F9EDCp,10,20C,40
Peb834A70Du;ba80F902Fp,10,20C,40
Peb8356A5Cu;ba80F6AC0p,10,20C,40
Peb8362DADu;ba80F5E46p,10,20C,40
Peb836F0FCu;ba80F3AADp,10,20C,40
Peb837B44Cu;ba80F3067p,10,20C,40
Peb838779Cu;ba80F0981p,10,20C,40
Peb8393AECu;ba80F01CCp,10,20C,40
Peb839FE3Cu;ba80EDB44p,10,20C,40
Peb83AC18Cu;ba80ED3EDp,10,20C,40
Peb83B84DCu;ba80EB0B3p,10,20C,40
Peb83C482Cu;ba80EAB8Fp,10,20C,40
Peb83D0B7Bu;ba80E867Fp,10,20C,40
Peb83DCECBu;ba80E85C3p,10,20C,40
Peb83E921Cu;ba80E5D65p,10,20C,40
Peb83F556Cu;ba80E5EDDp,10,20C,40
Peb84018BCu;ba80E367Fp,10,20C,40
Peb840DC0Eu;ba80E3911p,10,20C,40
Peb8419F5Du;ba80E12E7p,10,20C,40
Peb84262ACu;ba80E1400p,10,20C,40
Peb84325FDu;ba80DF124p,10,20C,40
Peb843E94Cu;ba80DF23Ep,10,20C,40
Peb844AC9Du;ba80DCF61p,10,20C,40
Peb8456FECu;ba80DD01Dp,10,20C,40
Peb846333Cu;ba80DAEB8p,10,20C,40
Peb846F68Cu;ba80DADFCp,10,20C,40
Peb847B9DBu;ba80D8F29p,10,20C,40
Peb8487D2Du;ba80D9042p,10,20C,40
Peb849407Du;ba80D7055p,10,20C,40
Peb84A03CCu;ba80D716Fp,10,20C,40
Peb84AC71Cu;ba80D54D0p,10,20C,40
Peb84B8A6Bu;ba80D54D0p,10,20C,40
Peb84C4DBCu;ba80D37D2p,10,20C,40
Peb84D110Cu;ba80D3A06p,10,20C,40
Peb84DD45Cu;ba80D1BEEp,10,20C,40
Peb84E97AFu;ba80D1EDEp,10,20C,40
Peb84F5AFBu;ba80D023Ep,10,20C,40
Peb8501E4Cu;ba80D0414p,10,20C,40
Peb850E19Cu;ba80CE830p,10,20C,40
Peb851A4ECu;ba80CE94Ap,10,20C,40
Peb852683Du;ba80CD22Bp,10,20C,40
Peb8532B8Cu;ba80CCF3Cp,10,20C,40
Peb853EEDCu;ba80CBB0Dp,10,20C,40
Peb854B22Cu;ba80CB58Cp,10,20C,40
Peb855757Cu;ba80CA508p,10,20C,40
Peb85638CCu;ba80C9E0Fp,10,20C,40
Peb856FC1Cu;ba80C8E48p,10,20C,40
Peb857BF6Cu;ba80C87ADp,10,20C,40
Peb85882BCu;ba80C7A19p,10,20C,40
Peb859460Bu;ba80C71A8p,10,20C,40
Peb85A095Du;ba80C65EAp,10,20C,40
Peb85ACCACu;ba80C5C5Fp,10,20C,40
Peb85B8FFCu;ba80C50A1p,10,20C,40
Peb85C534Du;ba80C4830p,10,20C,40
Peb85D169Fu;ba80C3E48p,10,20C,40
Peb85DD9ECu;ba80C328Ap,10,20C,40
Peb85E9D3Bu;ba80C2B91p,10,20C,40
Peb85F608Cu;ba80C1EB9p,10,20C,40
Peb86023DCu;ba80C1B0Dp,10,20C,40
Peb860E72Cu;ba80C0A2Cp,10,20C,40
Peb861AA7Cu;ba80C0856p,10,20C,40
Peb8626DCCu;ba80BF717p,10,20C,40
Peb863311Cu;ba80BF831p,10,20C,40
Peb863F46Cu;ba80BE4BEp,10,20C,40
Peb864B7BCu;ba80BE7ADp,10,20C,40
Peb8657B0Cu;ba80BD2C2p,10,20C,40
Peb8663E5Cu;ba80BD66Ep,10,20C,40
Peb86701ABu;ba80BC415p,10,20C,40
Peb867C4FCu;ba80BC704p,10,20C,40
Peb868884Bu;ba80BB219p,10,20C,40
Peb8694B9Cu;ba80BB623p,10,20C,40
Peb86A0EEBu;ba80BA0DAp,10,20C,40
Peb86AD23Eu;ba80BA7D3p,10,20C,40
Peb86B958Du;ba80B9056p,10,20C,40
Peb86C58DCu;ba80B9983p,10,20C,40
Peb86D1C2Cu;ba80B81A9p,10,20C,40
Peb86DDF7Cu;ba80B8A19p,10,20C,40
Peb86EA2CCu;ba80B7069p,10,20C,40
Peb86F661Cu;ba80B7CE3p,10,20C,40
Peb870296Bu;ba80B61BCp,10,20C,40
Peb870ECBCu;ba80B6E94p,10,20C,40
Peb871B00Du;ba80B5428p,10,20C,40
Peb872735Bu;ba80B615Ep,10,20C,40
Peb87336ADu;ba80B46F2p,10,20C,40
Peb873F9FCu;ba80B530Ep,10,20C,40
Peb874BD4Cu;ba80B38A2p,10,20C,40
Peb875809Cu;ba80B457Ap,10,20C,40
Peb87643ECu;ba80B2DA0p,10,20C,40
Peb877073Bu;ba80B366Ep,10,20C,40
Peb877CA8Bu;ba80B229Dp,10,20C,40
Peb8788DDCu;ba80B2B0Ep,10,20C,40
Peb879512Cu;ba80B1509p,10,20C,40
Peb87A147Cu;ba80B1DD8p,10,20C,40
Peb87AD7CCu;ba80B08EDp,10,20C,40
Peb87B9B1Cu;ba80B12D6p,10,20C,40
Peb87C5E6Cu;ba80AFC73p,10,20C,40
Peb87D21BCu;ba80B05A0p,10,20C,40
Peb87DE50Cu;ba80AF113p,10,20C,40
Peb87EA85Cu;ba80AF925p,10,20C,40
Peb87F6BACu;ba80AE6CCp,10,20C,40
Peb8802EFCu;ba80AEE23p,10,20C,40
Peb880F24Cu;ba80ADB0Ep,10,20C,40
Peb881B59Du;ba80AE37Fp,10,20C,40
Peb88278EDu;ba80AD0C8p,10,20C,40
Peb8833C3Du;ba80AD763p,10,20C,40
Peb883FF8Bu;ba80AC73Dp,10,20C,40
Peb884C2DCu;ba80ACB47p,10,20C,40
Peb885862Du;ba80ABE6Ep,10,20C,40
Peb886497Cu;ba80ABE10p,10,20C,40
Peb8870CCEu;ba80AB4E4p,10,20C,40
Peb887D01Cu;ba80AB3CAp,10,20C,40
Peb888936Cu;ba80AABB7p,10,20C,40
Peb88956BCu;ba80AA86Ap,10,20C,40
Peb88A1A0Du;ba80AA22Dp,10,20C,40
Peb88ADD5Cu;ba80A9EDFp,10,20C,40
Peb88BA0ADu;ba80A9A78p,10,20C,40
Peb88C63FBu;ba80A9499p,10,20C,40
Peb88D274Cu;ba80A9031p,10,20C,40
Peb88DEA9Du;ba80A8AB0p,10,20C,40
Peb88EADECu;ba80A8763p,10,20C,40
Peb88F713Bu;ba80A8184p,10,20C,40
Peb890348Bu;ba80A800Cp,10,20C,40
Peb890F7DCu;ba80A75C6p,10,20C,40
Peb891BB2Du;ba80A779Bp,10,20C,40
Peb8927E7Cu;ba80A6C3Bp,10,20C,40
Peb89341CCu;ba80A7044p,10,20C,40
Peb894051Cu;ba80A62B0p,10,20C,40
Peb894C86Cu;ba80A6776p,10,20C,40
Peb8958BBDu;ba80A5A40p,10,20C,40
Peb8964F0Bu;ba80A607Dp,10,20C,40
Peb897125Bu;ba80A5113p,10,20C,40
Peb897D5ACu;ba80A58C8p,10,20C,40
Peb89898FCu;ba80A48A2p,10,20C,40
Peb8995C4Cu;ba80A5113p,10,20C,40
Peb89A1F9Du;ba80A4032p,10,20C,40
Peb89AE2ECu;ba80A4900p,10,20C,40
Peb89BA63Bu;ba80A3763p,10,20C,40
Peb89C698Cu;ba80A41A9p,10,20C,40
Peb89D2CDDu;ba80A2EF2p,10,20C,40
Peb89DF02Du;ba80A3B0Ep,10,20C,40
Peb89EB37Bu;ba80A279Bp,10,20C,40
Peb89F76CCu;ba80A34D1p,10,20C,40
Peb8A03A1Bu;ba80A1ECDp,10,20C,40
Peb8A0FD6Du;ba80A2C61p,10,20C,40
Peb8A1C0BCu;ba80A16BAp,10,20C,40
Peb8A2840Cu;ba80A2682p,10,20C,40
Peb8A3475Eu;ba80A0F05p,10,20C,40
Peb8A40AACu;ba80A1ECDp,10,20C,40
Peb8A4CDFDu;ba80A0694p,10,20C,40
Peb8A5914Du;ba80A1776p,10,20C,40
Peb8A6549Cu;ba80A028Bp,10,20C,40
Peb8A717ECu;ba80A0F63p,10,20C,40
Peb8A7DB3Cu;ba809FBF0p,10,20C,40
Peb8A89E8Du;ba80A0984p,10,20C,40
Peb8A961DDu;ba809F5B3p,10,20C,40
Peb8AA252Cu;ba80A01CFp,10,20C,40
Peb8AAE87Cu;ba809EE5Cp,10,20C,40
Peb8ABABCCu;ba809FAD6p,10,20C,40
Peb8AC6F1Du;ba809E763p,10,20C,40
Peb8AD326Cu;ba809F3DDp,10,20C,40
Peb8ADF5BBu;ba809E0C8p,10,20C,40
Peb8AEB90Bu;ba809EDFEp,10,20C,40
Peb8AF7C5Cu;ba809DA2Dp,10,20C,40
Peb8B03FADu;ba809E763p,10,20C,40
Peb8B102FFu;ba809D5C6p,10,20C,40
Peb8B1C64Bu;ba809E00Cp,10,20C,40
Peb8B2899Cu;ba809CECDp,10,20C,40
Peb8B34CECu;ba809DBA5p,10,20C,40
Peb8B4103Du;ba809CAC4p,10,20C,40
Peb8B4D38Cu;ba809D3F0p,10,20C,40
Peb8B596DDu;ba809C487p,10,20C,40
Peb8B65A2Cu;ba809CC3Bp,10,20C,40
Peb8B71D7Cu;ba809C01Fp,10,20C,40
Peb8B7E0CCu;ba809C487p,10,20C,40
Peb8B8A41Du;ba809BCD2p,10,20C,40
Peb8B9676Bu;ba809BDECp,10,20C,40
Peb8BA2ABBu;ba809B5D9p,10,20C,40
Peb8BAEE0Bu;ba809B695p,10,20C,40
Peb8BBB15Cu;ba809B1CFp,10,20C,40
Peb8BC74ADu;ba809B0B6p,10,20C,40
Peb8BD37FCu;ba809ACACp,10,20C,40
Peb8BDFB4Cu;ba809ABF0p,10,20C,40
Peb8BEBE9Bu;ba809A845p,10,20C,40
Peb8BF81ECu;ba809A499p,10,20C,40
Peb8C0453Du;ba809A322p,10,20C,40
Peb8C1088Cu;ba8099F18p,10,20C,40
Peb8C1CBDCu;ba8099DA0p,10,20C,40
Peb8C28F2Cu;ba8099939p,10,20C,40
Peb8C3527Cu;ba80999F5p,10,20C,40
Peb8C415CCu;ba8099184p,10,20C,40
Peb8C4D91Cu;ba809964Ap,10,20C,40
Peb8C59C6Cu;ba8098C61p,10,20C,40
Peb8C65FBCu;ba8099240p,10,20C,40
Peb8C7230Cu;ba80984ACp,10,20C,40
Peb8C7E65Cu;ba8098E95p,10,20C,40
Peb8C8A9ABu;ba80980A3p,10,20C,40
Peb8C96CFCu;ba8098858p,10,20C,40
Peb8CA304Cu;ba8097C3Cp,10,20C,40
Peb8CAF39Cu;ba80983F0p,10,20C,40
Peb8CBB6EDu;ba80974E5p,10,20C,40
Peb8CC7A3Bu;ba8098045p,10,20C,40
Peb8CD3D8Eu;ba809707Dp,10,20C,40
Peb8CE00DBu;ba8097B22p,10,20C,40
Peb8CEC42Bu;ba8096B5Ap,10,20C,40
Peb8CF877Du;ba8097776p,10,20C,40
Peb8D04ACBu;ba8096637p,10,20C,40
Peb8D10E1Cu;ba8097429p,10,20C,40
Peb8D1D16Cu;ba8095F9Cp,10,20C,40
Peb8D294BCu;ba8097139p,10,20C,40
Peb8D3580Cu;ba8095BF0p,10,20C,40
Peb8D41B5Cu;ba8096A9Ep,10,20C,40
Peb8D4DEABu;ba809572Bp,10,20C,40
Peb8D5A1FCu;ba8096695p,10,20C,40
Peb8D6654Cu;ba80952C4p,10,20C,40
Peb8D7289Du;ba809628Bp,10,20C,40
Peb8D7EBECu;ba8094DA1p,10,20C,40
Peb8D8AF3Bu;ba8095E82p,10,20C,40
Peb8D9728Cu;ba80949F5p,10,20C,40
Peb8DA35DCu;ba80959BDp,10,20C,40
Peb8DAF92Du;ba80946A8p,10,20C,40
Peb8DBBC7Cu;ba809549Ap,10,20C,40
Peb8DC7FCCu;ba80943B8p,10,20C,40
Peb8DD431Bu;ba80950EEp,10,20C,40
Peb8DE066Cu;ba8093F51p,10,20C,40
Peb8DEC9BDu;ba8094C29p,10,20C,40
Peb8DF8D0Bu;ba8093B47p,10,20C,40
Peb8E0505Cu;ba80946A8p,10,20C,40
Peb8E113ABu;ba80935C6p,10,20C,40
Peb8E1D6FCu;ba80944D2p,10,20C,40
Peb8E29A4Du;ba809321Bp,10,20C,40
Peb8E35D9Cu;ba8093F51p,10,20C,40
Peb8E420ECu;ba8092E11p,10,20C,40
Peb8E4E43Cu;ba8093AEAp,10,20C,40
Peb8E5A78Cu;ba8092AC4p,10,20C,40
Peb8E66ADCu;ba8093A2Ep,10,20C,40
Peb8E72E2Cu;ba8092890p,10,20C,40
Peb8E7F17Cu;ba80931BDp,10,20C,40
Peb8E8B4CCu;ba80925FFp,10,20C,40
Peb8E9781Eu;ba8092C9Ap,10,20C,40
Peb8EA3B6Cu;ba809230Fp,10,20C,40
Peb8EAFEBCu;ba80926BBp,10,20C,40
Peb8EBC20Cu;ba8091F64p,10,20C,40
Peb8EC855Bu;ba80922B1p,10,20C,40
Peb8ED48ABu;ba8091CD2p,10,20C,40
Peb8EE0BFCu;ba8091DECp,10,20C,40
Peb8EECF4Bu;ba8091985p,10,20C,40
Peb8EF929Cu;ba80918C9p,10,20C,40
Peb8F055ECu;ba80917AFp,10,20C,40
Peb8F1193Cu;ba8091751p,10,20C,40
Peb8F1DC8Bu;ba80914BFp,10,20C,41
Peb8F29FDCu;ba80911D0p,10,20C,40
Peb8F3632Bu;ba80910B6p,10,20C,40
Peb8F4267Au;ba8090DC6p,10,20C,40
Peb8F4E9CBu;ba8090E82p,10,20C,40
Peb8F5AD1Cu;ba8090901p,10,20C,40
Peb8F6706Cu;ba8090E24p,10,20C,40
Peb8F733BDu;ba809043Cp,10,20C,40
Peb8F7F70Cu;ba8090AD7p,10,20C,40
Peb8F8BA5Bu;ba808FFD5p,10,20C,40
Peb8F97DABu;ba8090901p,10,20C,40
Peb8FA40FCu;ba808FBCBp,10,20C,40
Peb8FB044Bu;ba80904F8p,10,20C,40
Peb8FBC79Cu;ba808F706p,10,20C,40
Peb8FC8AEBu;ba80901AAp,10,20C,40
Peb8FD4E3Cu;ba808F474p,10,20C,40
Peb8FE118Cu;ba808FE5Dp,10,20C,40
Peb8FED4DDu;ba808F127p,10,20C,40
Peb8FF982Cu;ba808FB6Dp,10,20C,40
Peb9005B7Cu;ba808EBA6p,10,20C,40
Peb9011ECCu;ba808F997p,10,20C,40
Peb901E21Cu;ba808E972p,10,20C,40
Peb902A56Cu;ba808F5ECp,10,20C,40
Peb90368BCu;ba808E50Bp,10,20C,40
Peb9042C0Cu;ba808F416p,10,20C,40
Peb904EF5Au;ba808E101p,10,20C,40
Peb905B2ACu;ba808F1E3p,10,20C,40
Peb90675FAu;ba808DE70p,10,20C,40
Peb907394Cu;ba808EE95p,10,20C,40
Peb907FC9Cu;ba808D890p,10,20C,40
Peb908BFECu;ba808EA8Cp,10,20C,40
Peb909833Cu;ba808D833p,10,20C,40
Peb90A468Cu;ba808E7FAp,10,20C,40
Peb90B09DCu;ba808D5A1p,10,20C,40
Peb90BCD2Cu;ba808E2D7p,10,20C,40
Peb90C907Au;ba808D253p,10,20C,40
Peb90D53CCu;ba808E0A3p,10,20C,40
Peb90E171Au;ba808D0DCp,10,20C,40
Peb90EDA6Cu;ba808DE12p,10,20C,40
Peb90F9DBCu;ba808CD8Ep,10,20C,40
Peb910610Cu;ba808DA66p,10,20C,40
Peb911245Cu;ba808CA41p,10,20C,40
Peb911E7AAu;ba808D6BBp,10,20C,40
Peb912AAFCu;ba808C695p,10,20C,40
Peb9136E4Eu;ba808D429p,10,20C,40
Peb914319Cu;ba808C462p,10,20C,40
Peb914F4ECu;ba808D020p,10,20C,40
Peb915B83Au;ba808C22Ep,10,20C,40
Peb9167B8Cu;ba808CD8Ep,10,20C,40
Peb9173EDCu;ba808C0B6p,10,20C,40
Peb918022Cu;ba808CB5Ap,10,20C,40
Peb918C57Cu;ba808BEE0p,10,20C,40
Peb91988CCu;ba808C57Bp,10,20C,40
Peb91A4C1Cu;ba808BCADp,10,20C,40
Peb91B0F6Cu;ba808C22Ep,10,20C,40
Peb91BD2BCu;ba808BB35p,10,20C,40
Peb91C960Cu;ba808BE82p,10,20C,40
Peb91D595Cu;ba808B845p,10,20C,40
Peb91E1CACu;ba808BA79p,10,20C,40
Peb91EDFFCu;ba808B6CEp,10,20C,40
Peb91FA34Au;ba808B78Ap,10,20C,40
Peb920669Cu;ba808B49Ap,10,20C,40
Peb92129ECu;ba808B380p,10,20C,40
Peb921ED3Cu;ba808B266p,10,20C,40
Peb922B08Cu;ba808B091p,10,20C,40
Peb92373DCu;ba808B0EFp,10,20C,40
Peb924372Cu;ba808ADFFp,10,20C,40
Peb924FA7Cu;ba808AE5Dp,10,20C,40
Peb925BDCCu;ba808A93Ap,10,20C,40
Peb926811Cu;ba808ADA1p,10,20C,40
Peb927446Cu;ba808A64Ap,10,20C,40
Peb92807BCu;ba808AC87p,10,20C,40
Peb928CB0Au;ba808A29Fp,10,20C,40
Peb9298E5Cu;ba808AA54p,10,20C,40
Peb92A51ACu;ba8089D7Bp,10,20C,40
Peb92B14FAu;ba808A87Ep,10,20C,40
Peb92BD84Cu;ba8089C04p,10,20C,40
Peb92C9B9Cu;ba808A5ECp,10,20C,40
Peb92D5EECu;ba8089914p,10,20C,40
Peb92E223Cu;ba808A474p,10,20C,40
Peb92EE58Cu;ba808950Bp,10,20C,40
Peb92FA8DEu;ba808A185p,10,20C,40
Peb9306C2Au;ba8089279p,10,20C,40
Peb9312F7Cu;ba808A06Bp,10,20C,40
Peb931F2CCu;ba80890A3p,10,20C,40
Peb932B61Eu;ba8089E37p,10,20C,40
Peb933796Cu;ba8088D56p,10,20C,40
Peb9343CBCu;ba8089B48p,10,20C,40
Peb935000Cu;ba808894Dp,10,20C,40
Peb935C35Cu;ba8089AEAp,10,20C,40
Peb93686AAu;ba80885FFp,10,20C,40
Peb93749FCu;ba808979Cp,10,20C,40
Peb9380D4Au;ba8088254p,10,20C,40
Peb938D09Au;ba8089569p,10,20C,40
Peb93993ECu;ba8088254p,10,20C,40
Peb93A573Cu;ba8089393p,10,20C,40
Peb93B1A8Cu;ba8088020p,10,20C,40
Peb93BDDDAu;ba8088FE8p,10,20C,40
Peb93CA12Au;ba8087D8Ep,10,20C,40
Peb93D647Cu;ba8088DB4p,10,20C,40
Peb93E27CAu;ba8087C75p,10,20C,40
Peb93EEB1Cu;ba8088B22p,10,20C,40
Peb93FAE6Au;ba8087B5Bp,10,20C,40
Peb94071BCu;ba80888EFp,10,20C,40
Peb941350Au;ba80877AFp,10,20C,40
Peb941F85Cu;ba80886BBp,10,20C,40
Peb942BBACu;ba80875DAp,10,20C,40
Peb9437EFCu;ba808836Dp,10,20C,40
Peb944424Au;ba80872EAp,10,20C,40
Peb945059Au;ba808807Ep,10,20C,40
Peb945C8ECu;ba8087114p,10,20C,40
Peb9468C3Cu;ba8087DECp,10,20C,40
Peb9474F8Au;ba8086E25p,10,20C,40
Peb94812DCu;ba8087BB9p,10,20C,40
Peb948D62Au;ba8086DC7p,10,20C,40
Peb949997Au;ba80876F3p,10,20C,40
Peb94A5CCCu;ba8086E25p,10,20C,40
Peb94B201Au;ba808728Cp,10,20C,40
Peb94BE36Cu;ba8086CADp,10,20C,40
Peb94CA6BAu;ba8086EE1p,10,20C,40
Peb94D6A0Au;ba8086B93p,10,20C,40
Peb94E2D5Cu;ba8086BF1p,10,20C,40
Peb94EF0ACu;ba8086A1Bp,10,20C,40
Peb94FB3FCu;ba8086A1Bp,10,20C,40
Peb950774Au;ba80867E8p,10,20C,40
Peb9513A9Cu;ba80865B4p,10,20C,40
Peb951FDECu;ba80864F8p,10,20C,40
Peb952C13Au;ba80863DEp,10,20C,40
Peb953848Cu;ba80863DEp,10,20C,40
Peb95447DAu;ba8086209p,10,20C,40
Peb9550B2Au;ba8086266p,10,20C,40
Peb955CE7Cu;ba8085E5Dp,10,20C,40
Peb95691CAu;ba8086091p,10,20C,40
Peb957551Cu;ba8085BCBp,10,20C,40
Peb958186Au;ba8086209p,10,20C,40
Peb958DBBCu;ba808587Ep,10,20C,40
Peb9599F0Eu;ba8086033p,10,20C,40
Peb95A625Cu;ba8085531p,10,20C,40
Peb95B25ACu;ba8085D43p,10,20C,40
Peb95BE8FAu;ba808529Fp,10,20C,40
Peb95CAC4Cu;ba8085B10p,10,20C,40
Peb95D6F9Cu;ba8084F51p,10,20C,40
Peb95E32EAu;ba80858DCp,10,20C,40
Peb95EF63Cu;ba8084EF3p,10,20C,40
Peb95FB98Au;ba8085764p,10,20C,40
Peb9607CDAu;ba8084AEAp,10,20C,40
Peb961402Cu;ba8085531p,10,20C,40
Peb962037Au;ba80847FBp,10,20C,40
Peb962C6CAu;ba8085531p,10,20C,40
Peb9638A1Au;ba808450Bp,10,20C,40
Peb9644D6Cu;ba808529Fp,10,20C,40
Peb96510BCu;ba80843F1p,10,20C,40
Peb965D40Au;ba8085241p,10,20C,40
Peb966975Cu;ba80841BDp,10,20C,40
Peb9675AAAu;ba8084F51p,10,20C,40
Peb9681DFCu;ba8083ECEp,10,20C,40
Peb968E14Cu;ba8084E38p,10,20C,40
Peb969A49Au;ba8083B80p,10,20C,40
Peb96A67ECu;ba8084A2Ep,10,20C,40
Peb96B2B3Au;ba8083BDEp,10,20C,40
Peb96BEE8Au;ba8084914p,10,20C,40
Peb96CB1DCu;ba80838EFp,10,20C,40
Peb96D752Cu;ba8084683p,10,20C,40
Peb96E387Cu;ba808365Dp,10,20C,40
Peb96EFBCAu;ba80843F1p,10,20C,40
Peb96FBF1Cu;ba80834E5p,10,20C,40
Peb970826Eu;ba80842D7p,10,20C,40
Peb97145BAu;ba80833CCp,10,20C,40
Peb972090Cu;ba8084046p,10,20C,40
Peb972CC5Au;ba80831F6p,10,20C,40
Peb9738FAAu;ba8083D56p,10,20C,40
Peb97452FCu;ba808307Ep,10,20C,40
Peb975164Cu;ba8083B22p,10,20C,40
Peb975D99Eu;ba8082F64p,10,20C,40
Peb9769CEAu;ba808394Dp,10,20C,40
Peb977603Au;ba8082D31p,10,20C,40
Peb978238Cu;ba80837D5p,10,20C,40
Peb978E6DAu;ba8082C17p,10,20C,40
Peb979AA2Au;ba808342Ap,10,20C,40
Peb97A6D7Au;ba8082BB9p,10,20C,40
Peb97B30CCu;ba8082FC2p,10,20C,40
Peb97BF41Cu;ba8082B5Bp,10,20C,40
Peb97CB76Au;ba8082CD3p,10,20C,40
Peb97D7ABAu;ba8082985p,10,20C,40
Peb97E3E0Au;ba8082A9Fp,10,20C,40
Peb97F015Cu;ba808280Dp,10,20C,40
Peb97FC4ACu;ba808286Bp,10,20C,40
Peb98087FCu;ba8082752p,10,20C,40
Peb9814B4Cu;ba80826F4p,10,20C,40
Peb9820E9Au;ba808251Ep,10,20C,40
Peb982D1ECu;ba80823A6p,10,20C,40
Peb983953Cu;ba8082462p,10,20C,40
Peb984588Cu;ba808222Ep,10,20C,40
Peb9851BDCu;ba80822EAp,10,20C,40
Peb985DF2Au;ba8081EE1p,10,20C,40
Peb986A27Au;ba808222Ep,10,20C,40
Peb98765CCu;ba8081B35p,10,20C,40
Peb988291Cu;ba808222Ep,10,20C,40
Peb988EC6Cu;ba80818A4p,10,20C,40
Peb989AFBAu;ba80821D0p,10,20C,40
Peb98A730Cu;ba80815B4p,10,20C,40
Peb98B365Cu;ba8081DC7p,10,20C,40
Peb98BF9AAu;ba8081323p,10,20C,40
Peb98CBCFCu;ba8081D0Bp,10,20C,40
Peb98D804Au;ba80811ABp,10,20C,40
Peb98E439Cu;ba8081BF1p,10,20C,40
Peb98F06ECu;ba8080FD5p,10,20C,40
Peb98FCA3Au;ba8081B93p,10,20C,40
Peb9908D8Cu;ba8080DA1p,10,20C,40
Peb99150DAu;ba80818A4p,10,20C,40
Peb992142Eu;ba80809F6p,10,20C,40
Peb992D77Cu;ba808178Ap,10,20C,40
Peb9939ACAu;ba808087Ep,10,20C,40
Peb9945E1Cu;ba80816CEp,10,20C,40
Peb995216Au;ba8080531p,10,20C,40
Peb995E4BCu;ba8081556p,10,20C,40
Peb996A80Cu;ba808035Bp,10,20C,40
Peb9976B5Cu;ba8081381p,10,20C,40
Peb9982EACu;ba8080185p,10,20C,40
Peb998F1FAu;ba8081091p,10,20C,40
Peb999B54Cu;ba808000Dp,10,20C,40
Peb99A789Au;ba8080FD5p,10,20C,40
Peb99B3BECu;ba807FE96p,10,20C,40
Peb99BFF3Cu;ba8080C88p,10,20C,40
