e
M0007
PebB04A3D4n;ba89953FEp,14,215,40
Peb855757Bu;ba80B1278p,10,20C,40
Peb85638CDu;ba80AF1CFp,10,20C,40
Peb856FC1Bu;ba80AFC73p,10,20C,40
Peb857BF6Cu;ba80ADBCAp,10,20C,40
Peb85882BBu;ba80AE788p,10,20C,40
Peb859460Bu;ba80AC7F9p,10,20C,40
Peb85A095Cu;ba80AD184p,10,20C,40
Peb85ACCABu;ba80AB30Ep,10,20C,40
Peb85B8FFCu;ba80ABBDDp,10,20C,40
Peb85C534Cu;ba80A9F3Dp,10,20C,40
Peb85D169Bu;ba80AA8C8p,10,20C,40
Peb85DD9ECu;ba80A8C28p,10,20C,40
Peb85E9D3Cu;ba80A94F7p,10,20C,40
Peb85F608Cu;ba80A78B5p,10,20C,40
Peb86023DBu;ba80A8184p,10,20C,40
Peb860E72Cu;ba80A6718p,10,20C,40
Peb861AA7Eu;ba80A6E6Fp,10,20C,40
Peb8626DCBu;ba80A5636p,10,20C,40
Peb863311Cu;ba80A5CD1p,10,20C,40
Peb863F46Cu;ba80A44F7p,10,20C,40
Peb864B7BBu;ba80A4B34p,10,20C,40
Peb8657B0Cu;ba80A34D1p,10,20C,40
Peb8663E5Cu;ba80A39F5p,10,20C,40
Peb86701ABu;ba80A2278p,10,20C,40
Peb867C4FDu;ba80A28B5p,10,20C,40
Peb868884Bu;ba80A130Fp,10,20C,40
Peb8694B9Bu;ba80A18EEp,10,20C,41
Peb86A0EEBu;ba80A028Bp,10,20C,40
Peb86AD23Bu;ba80A080Cp,10,20C,40
Peb86B958Cu;ba809F266p,10,20C,40
Peb86C58DCu;ba809F8A3p,10,20C,40
Peb86D1C2Bu;ba809E35Ap,10,20C,40
Peb86DDF7Bu;ba809E9F5p,10,20C,40
Peb86EA2CCu;ba809D392p,10,20C,40
Peb86F661Bu;ba809D857p,10,20C,40
Peb870296Du;ba809C5FEp,10,20C,40
Peb870ECBCu;ba809CB7Fp,10,20C,40
Peb871B00Bu;ba809B751p,10,20C,40
Peb872735Bu;ba809BC16p,10,20C,40
Peb87336ACu;ba809A901p,10,20C,40
Peb873F9FCu;ba809AE82p,10,20C,40
Peb874BD4Cu;ba8099BCBp,10,20C,40
Peb875809Bu;ba8099F76p,10,20C,40
Peb87643EBu;ba8098E95p,10,20C,40
Peb877073Cu;ba809929Ep,10,20C,40
Peb877CA8Bu;ba80982D7p,10,20C,40
Peb8788DDCu;ba80982D7p,10,20C,40
Peb879512Bu;ba809765Cp,10,20C,40
Peb87A147Cu;ba80976BAp,10,20C,40
Peb87AD7CCu;ba8096BB8p,10,20C,40
Peb87B9B1Cu;ba80968C9p,10,20C,41
Peb87C5E6Bu;ba8095F9Cp,10,20C,40
Peb87D21BCu;ba8095CACp,10,20C,41
Peb87DE50Du;ba8095611p,10,20C,41
Peb87EA85Cu;ba8095090p,10,20C,41
Peb87F6BACu;ba80947C2p,10,20C,41
Peb8802EFCu;ba809435Ap,10,20C,41
Peb880F24Cu;ba8093C61p,10,20C,40
Peb881B59Cu;ba809373Ep,10,20C,41
Peb88278EDu;ba80931BDp,10,20C,41
Peb8833C3Cu;ba8092BDEp,10,20C,41
Peb883FF8Bu;ba8092776p,10,20C,41
Peb884C2DCu;ba809207Ep,10,20C,41
Peb885862Cu;ba8091985p,10,20C,41
Peb886497Bu;ba80914BFp,10,20C,41
Peb8870CCCu;ba8090FFAp,10,20C,41
Peb887D01Cu;ba80909BDp,10,20C,41
Peb888936Cu;ba809066Fp,10,20C,40
Peb88956BCu;ba808FDA1p,10,20C,41
Peb88A1A0Du;ba808FB0Fp,10,20C,41
Peb88ADD5Du;ba808F416p,10,20C,41
Peb88BA0ACu;ba808F185p,10,20C,41
Peb88C63FBu;ba808E972p,10,20C,40
Peb88D274Cu;ba808E79Cp,10,20C,41
Peb88DEA9Du;ba808DECEp,10,20C,40
Peb88EADECu;ba808DE12p,10,20C,41
Peb88F713Bu;ba808D3CBp,10,20C,41
Peb890348Bu;ba808D4E5p,10,20C,40
Peb890F7DCu;ba808CBB8p,10,20C,41
Peb891BB2Du;ba808CC74p,10,20C,40
Peb8927E7Bu;ba808C058p,10,20C,40
Peb89341CCu;ba808C348p,10,20C,40
Peb894051Cu;ba808B670p,10,20C,40
Peb894C86Bu;ba808BA79p,10,20C,40
Peb8958BBCu;ba808AB0Fp,10,20C,40
Peb8964F0Bu;ba808B266p,10,20C,40
Peb897125Cu;ba808A185p,10,20C,40
Peb897D5ACu;ba808AA54p,10,20C,40
Peb89898FBu;ba80898B6p,10,20C,40
Peb8995C4Bu;ba808A185p,10,20C,40
Peb89A1F9Fu;ba8088E70p,10,20C,40
Peb89AE2ECu;ba8089914p,10,20C,40
Peb89BA63Cu;ba8088487p,10,20C,40
Peb89C698Cu;ba80890A3p,10,20C,40
Peb89D2CDCu;ba8087BB9p,10,20C,41
Peb89DF02Du;ba80888EFp,10,20C,41
Peb89EB37Bu;ba80874C0p,10,20C,40
Peb89F76CCu;ba808807Ep,10,20C,41
Peb8A03A1Cu;ba8086AD7p,10,20C,41
Peb8A0FD6Bu;ba808780Dp,10,20C,40
Peb8A1C0BCu;ba8086380p,10,20C,40
Peb8A2840Bu;ba8086F3Fp,10,20C,40
Peb8A3475Bu;ba8085AB2p,10,20C,40
Peb8A40AACu;ba80868A4p,10,20C,41
Peb8A4CDFDu;ba80853B9p,10,20C,40
Peb8A5914Cu;ba8085FD5p,10,20C,40
Peb8A6549Cu;ba8084A8Cp,10,20C,40
Peb8A717EBu;ba80857C2p,10,20C,40
Peb8A7DB3Bu;ba808444Fp,10,20C,41
Peb8A89E8Cu;ba8084E96p,10,20C,40
Peb8A961DDu;ba8083B22p,10,20C,40
Peb8AA252Cu;ba8084972p,10,20C,40
Peb8AAE87Cu;ba80834E5p,10,20C,40
Peb8ABABCBu;ba8084102p,10,20C,40
Peb8AC6F1Du;ba8082DECp,10,20C,40
Peb8AD326Bu;ba8083B80p,10,20C,40
Peb8ADF5BCu;ba80824C0p,10,20C,40
Peb8AEB90Bu;ba80833CCp,10,20C,40
Peb8AF7C5Bu;ba8081DC7p,10,20C,40
Peb8B03FACu;ba8082D8Fp,10,20C,40
Peb8B102FDu;ba80814F8p,10,20C,40
Peb8B1C64Bu;ba80827AFp,10,20C,40
Peb8B2899Bu;ba8080F77p,10,20C,40
Peb8B34CEBu;ba8082114p,10,20C,40
Peb8B4103Du;ba808087Ep,10,20C,40
Peb8B4D38Cu;ba8081A79p,10,20C,40
Peb8B596DCu;ba80800C9p,10,20C,40
Peb8B65A2Du;ba8081323p,10,20C,40
Peb8B71D7Cu;ba807FA2Ep,10,20C,40
Peb8B7E0CCu;ba8080C88p,10,20C,40
Peb8B8A41Du;ba807F569p,10,20C,40
Peb8B9676Bu;ba8080475p,10,20C,40
Peb8BA2ABCu;ba807EDB4p,10,20C,40
Peb8BAEE0Cu;ba807FE38p,10,20C,40
Peb8BBB15Cu;ba807E6BBp,10,20C,40
Peb8BC74ABu;ba807F8B7p,10,20C,40
Peb8BD37FBu;ba807E254p,10,20C,40
Peb8BDFB4Cu;ba807F160p,10,20C,40
Peb8BEBE9Bu;ba807DB5Bp,10,20C,40
Peb8BF81ECu;ba807EA09p,10,20C,40
Peb8C0453Bu;ba807D51Ep,10,20C,40
Peb8C1088Bu;ba807E3CCp,10,20C,40
Peb8C1CBDCu;ba807D0B7p,10,20C,40
Peb8C28F2Bu;ba807DD8Fp,10,20C,40
Peb8C3527Cu;ba807CA1Cp,10,20C,40
Peb8C415CEu;ba807D638p,10,20C,40
Peb8C4D91Bu;ba807C556p,10,20C,40
Peb8C59C6Cu;ba807D1D1p,10,20C,40
Peb8C65FBCu;ba807BF77p,10,20C,41
Peb8C7230Cu;ba807C9BEp,10,20C,40
Peb8C7E65Du;ba807BA54p,10,20C,40
Peb8C8A9ABu;ba807C49Bp,10,20C,40
Peb8C96CFCu;ba807B58Fp,10,20C,40
Peb8CA304Cu;ba807BDA2p,10,20C,40
Peb8CAF39Cu;ba807AE38p,10,20C,40
Peb8CBB6ECu;ba807B93Ap,10,20C,40
Peb8CC7A3Cu;ba807A9D1p,10,20C,40
Peb8CD3D8Cu;ba807B2FDp,10,20C,40
Peb8CE00DCu;ba807A394p,10,20C,40
Peb8CEC42Cu;ba807AD7Cp,10,20C,40
Peb8CF877Bu;ba8079DB4p,10,20C,40
Peb8D04ACCu;ba807A7FBp,10,20C,40
Peb8D10E1Cu;ba80798EFp,10,20C,40
Peb8D1D16Bu;ba807A0A4p,10,20C,40
Peb8D294BBu;ba80796BCp,10,20C,40
Peb8D3580Cu;ba8079B23p,10,20C,40
Peb8D41B5Bu;ba8079021p,10,20C,40
Peb8D4DEACu;ba80793CCp,10,20C,41
Peb8D5A1FBu;ba8078D31p,10,20C,41
Peb8D6654Cu;ba8078E4Bp,10,20C,41
Peb8D7289Bu;ba80789E3p,10,20C,41
Peb8D7EBECu;ba807880Ep,10,20C,41
Peb8D8AF3Bu;ba80784C0p,10,20C,40
Peb8D9728Bu;ba8078173p,10,20C,40
Peb8DA35DAu;ba8077FFBp,10,20C,41
Peb8DAF92Bu;ba8077EE1p,10,20C,41
Peb8DBBC7Cu;ba8077A7Ap,10,20C,41
Peb8DC7FCBu;ba80777E8p,10,20C,41
Peb8DD431Bu;ba8077670p,10,20C,41
Peb8DE066Au;ba8077323p,10,20C,41
Peb8DEC9BCu;ba80770EFp,10,20C,41
Peb8DF8D0Bu;ba8076EBCp,10,20C,40
Peb8E0505Du;ba8076DA2p,10,20C,41
Peb8E113ACu;ba8076998p,10,20C,40
Peb8E1D6FBu;ba80768DDp,10,20C,41
Peb8E29A4Du;ba80763B9p,10,20C,41
Peb8E35D9Bu;ba80764D3p,10,20C,41
Peb8E420EBu;ba8075F52p,10,20C,41
Peb8E4E43Cu;ba807600Ep,10,20C,41
Peb8E5A78Au;ba8075915p,10,20C,41
Peb8E66ADBu;ba8075C04p,10,20C,41
Peb8E72E2Cu;ba8075450p,10,20C,40
Peb8E7F17Cu;ba8075A2Fp,10,20C,40
Peb8E8B4CCu;ba8074F2Cp,10,20C,40
Peb8E9781Cu;ba807573Fp,10,20C,40
Peb8EA3B6Bu;ba8074891p,10,20C,40
Peb8EAFEBCu;ba8075394p,10,20C,40
Peb8EBC20Bu;ba80742B2p,10,20C,40
Peb8EC855Bu;ba8075046p,10,20C,40
Peb8ED48AAu;ba8073EA9p,10,20C,40
Peb8EE0BFCu;ba8074CF9p,10,20C,41
Peb8EECF4Bu;ba8073A42p,10,20C,40
Peb8EF929Cu;ba8074833p,10,20C,40
Peb8F055ECu;ba807351Ep,10,20C,40
Peb8F1193Cu;ba807442Ap,10,20C,40
Peb8F1DC8Bu;ba80731D1p,10,20C,40
Peb8F29FDCu;ba80740DDp,10,20C,40
Peb8F3632Cu;ba8072D6Ap,10,20C,41
Peb8F4267Cu;ba8073C17p,10,20C,40
Peb8F4E9CBu;ba807272Dp,10,20C,40
Peb8F5AD1Bu;ba80737B0p,10,20C,40
Peb8F6706Cu;ba8072557p,10,20C,40
Peb8F733BBu;ba80733A7p,10,20C,41
Peb8F7F70Au;ba8072091p,10,20C,40
Peb8F8BA5Bu;ba8072E25p,10,20C,40
Peb8F97DACu;ba8071C88p,10,20C,40
Peb8FA40FCu;ba8072B94p,10,20C,41
Peb8FB044Bu;ba8071821p,10,20C,40
Peb8FBC79Cu;ba80727E8p,10,20C,40
Peb8FC8AEDu;ba80714D3p,10,20C,41
Peb8FD4E3Cu;ba807243Dp,10,20C,40
Peb8FE118Cu;ba8070F52p,10,20C,40
Peb8FED4DBu;ba80720EFp,10,20C,40
Peb8FF982Au;ba8070AEBp,10,20C,40
Peb9005B7Cu;ba8071DA2p,10,20C,40
Peb9011ECAu;ba8070683p,10,20C,40
Peb901E21Cu;ba8071999p,10,20C,40
Peb902A56Au;ba8070336p,10,20C,40
Peb90368BCu;ba807164Bp,10,20C,40
Peb9042C0Cu;ba806FECFp,10,20C,40
Peb904EF5Au;ba80711E4p,10,20C,40
Peb905B2ACu;ba806FB81p,10,20C,40
Peb90675FCu;ba8070E96p,10,20C,40
Peb907394Au;ba806F778p,10,20C,40
Peb907FC9Cu;ba8070C05p,10,20C,40
Peb908BFEAu;ba806F36Ep,10,20C,40
Peb909833Cu;ba8070683p,10,20C,40
Peb90A468Eu;ba806F199p,10,20C,40
Peb90B09DCu;ba8070394p,10,20C,40
Peb90BCD2Cu;ba806EE4Bp,10,20C,40
Peb90C907Au;ba806FF8Bp,10,20C,40
Peb90D53CCu;ba806E986p,10,20C,40
Peb90E171Cu;ba806FB23p,10,20C,40
Peb90EDA6Au;ba806E7B0p,10,20C,40
Peb90F9DBCu;ba806F834p,10,20C,40
Peb910610Au;ba806E51Fp,10,20C,40
Peb911245Cu;ba806F36Ep,10,20C,40
Peb911E7AAu;ba806E1D1p,10,20C,40
Peb912AAFAu;ba806EFC3p,10,20C,40
Peb9136E4Cu;ba806DFFBp,10,20C,40
Peb914319Au;ba806EC75p,10,20C,40
Peb914F4ECu;ba806DC50p,10,20C,40
Peb915B83Au;ba806E7B0p,10,20C,40
Peb9167B8Au;ba806D960p,10,20C,40
Peb9173EDCu;ba806E51Fp,10,20C,40
Peb918022Cu;ba806D557p,10,20C,40
Peb918C57Cu;ba806E1D1p,10,20C,40
Peb91988CAu;ba806D209p,10,20C,40
Peb91A4C1Au;ba806DD0Cp,10,20C,40
Peb91B0F6Cu;ba806CEBCp,10,20C,40
Peb91BD2BCu;ba806D9BEp,10,20C,40
Peb91C960Cu;ba806CBCCp,10,20C,40
Peb91D595Au;ba806D78Bp,10,20C,40
Peb91E1CACu;ba806CA55p,10,20C,40
Peb91EDFFCu;ba806D2C5p,10,20C,40
Peb91FA34Cu;ba806C6A9p,10,20C,40
Peb920669Cu;ba806CFD6p,10,20C,40
Peb92129EAu;ba806C4D3p,10,20C,40
Peb921ED3Cu;ba806CB11p,10,20C,40
Peb922B08Cu;ba806C2FEp,10,20C,41
Peb92373DAu;ba806C58Fp,10,20C,41
Peb924372Au;ba806C0CAp,10,20C,41
Peb924FA7Au;ba806C2A0p,10,20C,41
Peb925BDCCu;ba806BFB0p,10,20C,41
Peb926811Cu;ba806BEF4p,10,20C,41
Peb927446Au;ba806BC63p,10,20C,41
Peb92807BCu;ba806BB49p,10,20C,41
Peb928CB0Au;ba806BA8Dp,10,20C,40
Peb9298E5Au;ba806B7FBp,10,20C,41
Peb92A51ACu;ba806B79Dp,10,20C,41
Peb92B14FCu;ba806B4AEp,10,20C,40
Peb92BD84Cu;ba806B394p,10,20C,41
Peb92C9B9Au;ba806B1BEp,10,20C,41
Peb92D5EECu;ba806B2D8p,10,20C,40
Peb92E223Cu;ba806AE71p,10,20C,41
Peb92EE58Au;ba806AF2Dp,10,20C,40
Peb92FA8DCu;ba806AA68p,10,20C,41
Peb9306C2Au;ba806ABDFp,10,20C,41
Peb9312F7Cu;ba806A778p,10,20C,41
Peb931F2CCu;ba806AB23p,10,20C,40
Peb932B61Cu;ba806A544p,10,20C,40
Peb933796Cu;ba806A71Ap,10,20C,40
Peb9343CBAu;ba806A13Bp,10,20C,40
Peb935000Au;ba806A600p,10,20C,40
Peb935C35Cu;ba8069DEDp,10,20C,40
Peb93686AAu;ba806A488p,10,20C,40
Peb93749FCu;ba80699E4p,10,20C,40
Peb9380D4Cu;ba806A311p,10,20C,40
Peb938D09Au;ba8069639p,10,20C,40
Peb93993ECu;ba806A199p,10,20C,40
Peb93A573Cu;ba806928Dp,10,20C,40
Peb93B1A8Cu;ba806A021p,10,20C,40
Peb93BDDDCu;ba8068E84p,10,20C,40
Peb93CA12Au;ba8069D8Fp,10,20C,41
Peb93D647Au;ba8068AD8p,10,20C,41
Peb93E27CAu;ba8069AFEp,10,20C,40
Peb93EEB1Cu;ba80688A5p,10,20C,40
Peb93FAE6Au;ba80696F4p,10,20C,40
Peb94071BCu;ba8068613p,10,20C,40
Peb941350Au;ba80695DBp,10,20C,40
Peb941F85Au;ba806820Ap,10,20C,41
Peb942BBAEu;ba8069463p,10,20C,40
Peb9437EFAu;ba8068092p,10,20C,40
Peb944424Au;ba806922Fp,10,20C,40
Peb945059Au;ba8067E00p,10,20C,40
Peb945C8ECu;ba8068E26p,10,20C,41
Peb9468C3Cu;ba8067B6Fp,10,20C,40
Peb9474F8Au;ba8068B94p,10,20C,41
Peb94812DCu;ba8067999p,10,20C,40
Peb948D62Au;ba8068903p,10,20C,41
Peb949997Cu;ba80676A9p,10,20C,40
Peb94A5CCCu;ba80686CFp,10,20C,40
Peb94B201Au;ba8067418p,10,20C,40
Peb94BE36Au;ba8068557p,10,20C,40
Peb94CA6BAu;ba8067186p,10,20C,40
Peb94D6A0Au;ba8068323p,10,20C,40
Peb94E2D5Cu;ba8066E97p,10,20C,40
Peb94EF0ACu;ba806814Ep,10,20C,40
Peb94FB3FCu;ba8066A8Dp,10,20C,40
Peb950774Cu;ba8067EBCp,10,20C,40
Peb9513A9Cu;ba80668B8p,10,20C,40
Peb951FDECu;ba8067D44p,10,20C,40
Peb952C13Au;ba806650Cp,10,20C,40
Peb953848Au;ba8067B6Fp,10,20C,40
Peb95447DAu;ba80663F2p,10,20C,40
Peb9550B2Cu;ba8067999p,10,20C,40
Peb955CE7Cu;ba80661BFp,10,20C,40
Peb95691CAu;ba8067707p,10,20C,40
Peb957551Au;ba8065E71p,10,20C,40
Peb958186Au;ba80673BAp,10,20C,40
Peb958DBBAu;ba8065BDFp,10,20C,40
Peb9599F0Cu;ba8067128p,10,20C,40
Peb95A625Au;ba8065B24p,10,20C,40
Peb95B25AAu;ba8066EF5p,10,20C,40
Peb95BE8FAu;ba80658F0p,10,20C,40
Peb95CAC4Cu;ba8066B49p,10,20C,40
Peb95D6F9Cu;ba8065834p,10,20C,40
Peb95E32EAu;ba8066C05p,10,20C,40
Peb95EF63Au;ba806536Fp,10,20C,40
Peb95FB98Au;ba80665C8p,10,20C,40
Peb9607CDCu;ba806542Bp,10,20C,40
Peb961402Cu;ba80663F2p,10,20C,40
Peb962037Au;ba8065311p,10,20C,40
Peb962C6CCu;ba806621Dp,10,20C,40
Peb9638A1Au;ba80650DDp,10,20C,40
Peb9644D6Au;ba8065ECFp,10,20C,40
Peb96510BCu;ba8064F07p,10,20C,41
Peb965D40Au;ba8065C3Dp,10,20C,40
Peb966975Au;ba8064D90p,10,20C,40
Peb9675AAAu;ba806594Ep,10,20C,40
Peb9681DFCu;ba8064B5Cp,10,20C,40
Peb968E14Cu;ba806571Ap,10,20C,40
Peb969A49Au;ba806486Cp,10,20C,41
Peb96A67EAu;ba80655A2p,10,20C,40
Peb96B2B3Au;ba8064697p,10,20C,40
Peb96BEE8Cu;ba8065311p,10,20C,40
Peb96CB1DEu;ba806451Fp,10,20C,40
Peb96D752Au;ba8065199p,10,20C,40
Peb96E387Au;ba8064349p,10,20C,41
Peb96EFBCAu;ba8064EA9p,10,20C,40
Peb96FBF1Au;ba8064174p,10,20C,40
Peb970826Eu;ba8064BBAp,10,20C,41
Peb97145BAu;ba806405Ap,10,20C,40
Peb972090Cu;ba80648CAp,10,20C,41
Peb972CC5Au;ba8063F9Ep,10,20C,41
Peb9738FAAu;ba80646F5p,10,20C,41
Peb97452FCu;ba8063E26p,10,20C,41
Peb975164Cu;ba80642EBp,10,20C,41
Peb975D99Cu;ba8063E26p,10,20C,41
Peb9769CEAu;ba80640B8p,10,20C,41
Peb977603Cu;ba8063CAEp,10,20C,41
Peb978238Cu;ba8063D0Cp,10,20C,41
Peb978E6DCu;ba8063B36p,10,20C,41
Peb979AA2Cu;ba8063B36p,10,20C,41
Peb97A6D7Au;ba8063903p,10,20C,41
Peb97B30CCu;ba80638A5p,10,20C,41
Peb97BF41Cu;ba80637E9p,10,20C,41
Peb97CB76Au;ba806372Dp,10,20C,41
Peb97D7ABCu;ba8063671p,10,20C,41
Peb97E3E0Au;ba806349Bp,10,20C,41
Peb97F015Au;ba80634F9p,10,20C,41
Peb97FC4ACu;ba80632C6p,10,20C,41
Peb98087FAu;ba8063324p,10,20C,41
Peb9814B4Au;ba8063092p,10,20C,41
Peb9820E9Au;ba806314Ep,10,20C,41
Peb982D1EAu;ba8062DA3p,10,20C,41
Peb983953Cu;ba8063092p,10,20C,41
Peb984588Au;ba8062BCDp,10,20C,41
Peb9851BDCu;ba8062DA3p,10,20C,41
Peb985DF2Au;ba8062AB3p,10,20C,41
Peb986A27Cu;ba8062CE7p,10,20C,41
Peb98765CCu;ba80627C3p,10,20C,41
Peb988291Au;ba8062DA3p,10,20C,41
Peb988EC6Eu;ba806264Cp,10,20C,41
Peb989AFBAu;ba8062BCDp,10,20C,41
Peb98A730Cu;ba80622A0p,10,20C,41
Peb98B365Cu;ba8062B11p,10,20C,41
Peb98BF9AAu;ba8061FB1p,10,20C,41
Peb98CBCFCu;ba806293Bp,10,20C,40
Peb98D804Au;ba8061D1Fp,10,20C,40
Peb98E439Au;ba80629F7p,10,20C,41
Peb98F06ECu;ba8061974p,10,20C,41
Peb98FCA3Au;ba806287Fp,10,20C,40
Peb9908D8Au;ba8061740p,10,20C,40
Peb99150DAu;ba8062765p,10,20C,41
Peb992142Au;ba806156Ap,10,20C,41
Peb992D77Cu;ba8062590p,10,20C,40
Peb9939ACAu;ba806127Bp,10,20C,41
Peb9945E1Cu;ba8062476p,10,20C,41
Peb995216Au;ba806121Dp,10,20C,41
Peb995E4BCu;ba80623BAp,10,20C,41
Peb996A80Cu;ba8060F8Bp,10,20C,41
Peb9976B5Au;ba80621E4p,10,20C,41
Peb9982EACu;ba8060ECFp,10,20C,41
Peb998F1FAu;ba8061F53p,10,20C,41
Peb999B54Au;ba8060B82p,10,20C,40
Peb99A789Au;ba8061EF5p,10,20C,40
Peb99B3BEAu;ba8060A68p,10,20C,40
Peb99BFF3Au;ba8061C05p,10,20C,40
Peb99CC28Au;ba80608F0p,10,20C,41
Peb99D85DAu;ba8061AEBp,10,20C,41
Peb99E492Au;ba8060778p,10,20C,41
Peb99F0C7Au;ba80619D2p,10,20C,41
