e
M0007
PebB04A3C4n;ba8A3741Bp,14,215,40
Peb83199CBu;ba81076A3p,10,20C,40
Peb8325D1Cu;ba8106798p,10,20C,40
Peb833206Bu;ba8103CA8p,10,20C,40
Peb833E3BBu;ba8102D9Dp,10,20C,40
Peb834A70Du;ba81002ADp,10,20C,40
Peb8356A5Cu;ba80FF577p,10,20C,40
Peb8362DACu;ba80FCD77p,10,20C,40
Peb836F0FBu;ba80FC0FDp,10,20C,40
Peb837B44Bu;ba80F989Fp,10,20C,40
Peb838779Bu;ba80F8DFBp,10,20C,40
Peb8393AECu;ba80F67D1p,10,20C,40
Peb839FE3Bu;ba80F5F02p,10,20C,40
Peb83AC18Bu;ba80F381Cp,10,20C,40
Peb83B84DCu;ba80F2E91p,10,20C,40
Peb83C482Cu;ba80F0AF9p,10,20C,40
Peb83D0B7Cu;ba80F0110p,10,20C,40
Peb83DCECBu;ba80EE123p,10,20C,40
Peb83E921Bu;ba80ED4A9p,10,20C,40
Peb83F556Bu;ba80EB634p,10,20C,40
Peb84018BCu;ba80EAB31p,10,20C,40
Peb840DC0Bu;ba80E900Ap,10,20C,40
Peb8419F5Bu;ba80E8331p,10,20C,40
Peb84262ACu;ba80E6A3Dp,10,20C,40
Peb84325FBu;ba80E5B32p,10,20C,40
Peb843E94Cu;ba80E45E9p,10,20C,40
Peb844AC9Bu;ba80E36DDp,10,20C,40
Peb8456FEBu;ba80E21F2p,10,20C,40
Peb846333Bu;ba80E11CDp,10,20C,40
Peb846F68Cu;ba80DFF16p,10,20C,40
Peb847B9DBu;ba80DEF4Ep,10,20C,40
Peb8487D2Bu;ba80DDD53p,10,20C,40
Peb849407Bu;ba80DCEA5p,10,20C,40
Peb84A03CBu;ba80DBDC4p,10,20C,40
Peb84AC71Cu;ba80DAE5Ap,10,20C,40
Peb84B8A6Bu;ba80D9E34p,10,20C,40
Peb84C4DBCu;ba80D8E6Dp,10,20C,40
Peb84D110Bu;ba80D801Dp,10,20C,40
Peb84DD45Cu;ba80D6F99p,10,20C,40
Peb84E97ABu;ba80D6263p,10,20C,40
Peb84F5AFCu;ba80D52FAp,10,20C,40
Peb8501E4Cu;ba80D4855p,10,20C,40
Peb850E19Eu;ba80D359Ep,10,20C,40
Peb851A4EBu;ba80D2C14p,10,20C,40
Peb852683Cu;ba80D18FFp,10,20C,40
Peb8532B8Bu;ba80D137Dp,10,20C,40
Peb853EEDBu;ba80CFE93p,10,20C,40
Peb854B22Bu;ba80CF9CDp,10,20C,40
Peb855757Cu;ba80CE3C9p,10,20C,40
Peb85638CBu;ba80CDF61p,10,20C,40
Peb856FC1Bu;ba80CC95Dp,10,20C,40
Peb857BF6Bu;ba80CC843p,10,20C,40
Peb85882BBu;ba80CB0C7p,10,20C,40
Peb859460Bu;ba80CB00Bp,10,20C,40
Peb85A095Bu;ba80C98ECp,10,20C,40
Peb85ACCACu;ba80C994Ap,10,20C,40
Peb85B8FFBu;ba80C81CEp,10,20C,40
Peb85C534Bu;ba80C8345p,10,20C,40
Peb85D169Bu;ba80C6BC9p,10,20C,40
Peb85DD9ECu;ba80C6CE3p,10,20C,40
Peb85E9D3Eu;ba80C5622p,10,20C,40
Peb85F608Bu;ba80C57F8p,10,20C,40
Peb86023DCu;ba80C3FC0p,10,20C,40
Peb860E72Cu;ba80C430Dp,10,20C,40
Peb861AA7Cu;ba80C2AD5p,10,20C,40
Peb8626DCCu;ba80C2E80p,10,20C,40
Peb863311Cu;ba80C152Ep,10,20C,40
Peb863F46Bu;ba80C1C85p,10,20C,40
Peb864B7BCu;ba80C0277p,10,20C,40
Peb8657B0Bu;ba80C0970p,10,20C,40
Peb8663E5Bu;ba80BEDEAp,10,20C,40
Peb86701ACu;ba80BF717p,10,20C,40
Peb867C4FBu;ba80BDC4Dp,10,20C,40
Peb868884Bu;ba80BE346p,10,20C,40
Peb8694B9Bu;ba80BC87Cp,10,20C,40
Peb86A0EECu;ba80BD264p,10,20C,40
Peb86AD23Cu;ba80BB7F8p,10,20C,40
Peb86B958Cu;ba80BC0C7p,10,20C,40
Peb86C58DCu;ba80BA6B9p,10,20C,40
Peb86D1C2Bu;ba80BB044p,10,20C,40
Peb86DDF7Cu;ba80B9694p,10,20C,40
Peb86EA2CCu;ba80B9F04p,10,20C,40
Peb86F661Bu;ba80B85B2p,10,20C,40
Peb870296Bu;ba80B8DC5p,10,20C,40
Peb870ECBBu;ba80B75EAp,10,20C,40
Peb871B00Bu;ba80B7D41p,10,20C,40
Peb872735Cu;ba80B6681p,10,20C,40
Peb87336ACu;ba80B6E36p,10,20C,40
Peb873F9FBu;ba80B559Fp,10,20C,40
Peb874BD4Bu;ba80B5E10p,10,20C,40
Peb875809Cu;ba80B480Bp,10,20C,40
Peb87643EBu;ba80B4EA6p,10,20C,40
Peb877073Cu;ba80B395Ep,10,20C,40
Peb877CA8Bu;ba80B40B5p,10,20C,40
Peb8788DDAu;ba80B2AB0p,10,20C,40
Peb879512Cu;ba80B314Bp,10,20C,40
Peb87A147Fu;ba80B1B46p,10,20C,40
Peb87AD7CCu;ba80B229Dp,10,20C,40
Peb87B9B1Bu;ba80B0DB2p,10,20C,40
Peb87C5E6Bu;ba80B1681p,10,20C,40
Peb87D21BCu;ba80B001Ep,10,20C,40
Peb87DE50Au;ba80B0775p,10,20C,40
Peb87EA85Cu;ba80AF3A4p,10,20C,40
Peb87F6BACu;ba80AFA3Fp,10,20C,40
Peb8802EFCu;ba80AE72Ap,10,20C,40
Peb880F24Bu;ba80AEDC5p,10,20C,40
Peb881B59Cu;ba80AD9F4p,10,20C,40
Peb88278EBu;ba80ADF17p,10,20C,40
Peb8833C3Cu;ba80ACEF2p,10,20C,40
Peb883FF8Bu;ba80AD0C8p,10,20C,40
Peb884C2DCu;ba80AC2D6p,10,20C,40
Peb885862Cu;ba80AC509p,10,20C,40
Peb886497Cu;ba80AB776p,10,20C,40
Peb8870CCBu;ba80AB65Cp,10,20C,40
Peb887D01Bu;ba80AAC15p,10,20C,40
Peb888936Cu;ba80AABB7p,10,20C,40
Peb88956BBu;ba80AA460p,10,20C,40
Peb88A1A0Cu;ba80A9DC5p,10,20C,40
Peb88ADD5Bu;ba80A9555p,10,20C,40
Peb88BA0ACu;ba80A92C3p,10,20C,40
Peb88C63FBu;ba80A8B0Ep,10,20C,40
Peb88D274Cu;ba80A8763p,10,20C,40
Peb88DEA9Cu;ba80A80C8p,10,20C,40
Peb88EADECu;ba80A7BA5p,10,20C,40
Peb88F713Cu;ba80A7623p,10,20C,40
Peb890348Cu;ba80A7044p,10,20C,40
Peb890F7DCu;ba80A6BDDp,10,20C,40
Peb891BB2Cu;ba80A65FEp,10,20C,40
Peb8927E7Cu;ba80A61F5p,10,20C,40
Peb89341CCu;ba80A5BB8p,10,20C,40
Peb894051Cu;ba80A5750p,10,20C,40
Peb894C86Bu;ba80A5113p,10,20C,40
Peb8958BBBu;ba80A4EDFp,10,20C,40
Peb8964F0Cu;ba80A46CDp,10,20C,40
Peb897125Du;ba80A45B3p,10,20C,40
Peb897D5ABu;ba80A3B6Cp,10,20C,40
Peb89898FBu;ba80A3C86p,10,20C,40
Peb8995C4Cu;ba80A3126p,10,20C,40
Peb89A1F9Bu;ba80A3416p,10,20C,40
Peb89AE2ECu;ba80A2682p,10,20C,40
Peb89BA63Bu;ba80A2C03p,10,20C,40
Peb89C698Bu;ba80A1C3Bp,10,20C,40
Peb89D2CDCu;ba80A2278p,10,20C,40
Peb89DF02Cu;ba80A11F5p,10,20C,40
Peb89EB37Cu;ba80A194Cp,10,20C,40
Peb89F76CBu;ba80A08C8p,10,20C,40
Peb8A03A1Bu;ba80A1197p,10,20C,40
Peb8A0FD6Cu;ba809FF9Cp,10,20C,40
Peb8A1C0BCu;ba80A07AEp,10,20C,40
Peb8A2840Bu;ba809F7E7p,10,20C,40
Peb8A3475Cu;ba809FDC6p,10,20C,40
Peb8A40AABu;ba809EE5Cp,10,20C,40
Peb8A4CDFDu;ba809F72Bp,10,20C,40
Peb8A5914Cu;ba809E3B8p,10,20C,40
Peb8A6549Cu;ba809EFD4p,10,20C,40
Peb8A717ECu;ba809DCBFp,10,20C,40
Peb8A7DB3Bu;ba809E6A7p,10,20C,40
Peb8A89E8Bu;ba809D334p,10,20C,40
Peb8A961DBu;ba809DE95p,10,20C,40
Peb8AA252Cu;ba809CB22p,10,20C,40
Peb8AAE87Bu;ba809D73Ep,10,20C,40
Peb8ABABCBu;ba809C36Dp,10,20C,40
Peb8AC6F1Cu;ba809CF2Bp,10,20C,40
Peb8AD326Bu;ba809BB5Ap,10,20C,40
Peb8ADF5BBu;ba809C832p,10,20C,40
Peb8AEB90Cu;ba809B28Bp,10,20C,40
Peb8AF7C5Bu;ba809C07Dp,10,20C,40
Peb8B03FABu;ba809AB92p,10,20C,40
Peb8B102FBu;ba809B926p,10,20C,40
Peb8B1C64Cu;ba809A380p,10,20C,40
Peb8B2899Cu;ba809B22Dp,10,20C,40
Peb8B34CEBu;ba8099B6Dp,10,20C,40
Peb8B4103Bu;ba809AAD6p,10,20C,40
Peb8B4D38Cu;ba8099416p,10,20C,40
Peb8B596DBu;ba809A322p,10,20C,40
Peb8B65A2Bu;ba8098E37p,10,20C,40
Peb8B71D7Bu;ba8099B6Dp,10,20C,40
Peb8B7E0CBu;ba80986E0p,10,20C,40
Peb8B8A41Bu;ba809958Ep,10,20C,40
Peb8B9676Bu;ba8098101p,10,20C,40
Peb8BA2ABBu;ba8098E37p,10,20C,40
Peb8BAEE0Cu;ba8097A08p,10,20C,40
Peb8BBB15Bu;ba8098682p,10,20C,40
Peb8BC74ABu;ba8097487p,10,20C,40
Peb8BD37FCu;ba8097F89p,10,20C,40
Peb8BDFB4Cu;ba8096D8Ep,10,20C,40
Peb8BEBE9Cu;ba809794Cp,10,20C,40
Peb8BF81ECu;ba8096637p,10,20C,40
Peb8C0453Bu;ba8097253p,10,20C,40
Peb8C1088Eu;ba8096058p,10,20C,40
Peb8C1CBDCu;ba8096C74p,10,20C,40
Peb8C28F2Bu;ba8095B35p,10,20C,40
Peb8C3527Bu;ba809651Dp,10,20C,40
Peb8C415CBu;ba809543Cp,10,20C,40
Peb8C4D91Bu;ba8095EE0p,10,20C,40
Peb8C59C6Cu;ba8094DFFp,10,20C,40
Peb8C65FBBu;ba8095901p,10,20C,40
Peb8C7230Bu;ba80947C2p,10,20C,40
Peb8C7E65Cu;ba80952C4p,10,20C,40
Peb8C8A9ACu;ba8094184p,10,20C,40
Peb8C96CFCu;ba8094C87p,10,20C,40
Peb8CA304Bu;ba8093BA5p,10,20C,40
Peb8CAF39Bu;ba809464Ap,10,20C,40
Peb8CBB6EBu;ba8093682p,10,20C,40
Peb8CC7A3Bu;ba8093F51p,10,20C,40
Peb8CD3D8Cu;ba809315Fp,10,20C,40
Peb8CE00DCu;ba8093914p,10,20C,40
Peb8CEC42Bu;ba8092CF8p,10,20C,40
Peb8CF877Cu;ba80930A3p,10,20C,40
Peb8D04ACBu;ba8092832p,10,20C,40
Peb8D10E1Cu;ba8092AC4p,10,20C,40
Peb8D1D16Bu;ba80923CBp,10,20C,40
Peb8D294BAu;ba809236Dp,10,20C,40
Peb8D3580Bu;ba8091DECp,10,20C,40
Peb8D41B5Cu;ba8091EA8p,10,20C,40
Peb8D4DEABu;ba8091927p,10,20C,40
Peb8D5A1FBu;ba8091985p,10,20C,40
Peb8D6654Au;ba80913A5p,10,20C,40
Peb8D7289Cu;ba80913A5p,10,20C,40
Peb8D7EBECu;ba8090F9Cp,10,20C,40
Peb8D8AF3Cu;ba8090D68p,10,20C,40
Peb8D9728Au;ba8090A79p,10,20C,40
Peb8DA35DBu;ba8090789p,10,20C,40
Peb8DAF92Cu;ba8090556p,10,20C,40
Peb8DBBC7Cu;ba8090266p,10,20C,40
Peb8DC7FCCu;ba808FF77p,10,20C,40
Peb8DD431Cu;ba808FCE5p,10,20C,40
Peb8DE066Bu;ba808FA53p,10,20C,41
Peb8DEC9BCu;ba808F820p,10,20C,40
Peb8DF8D0Bu;ba808F820p,10,20C,40
Peb8E0505Cu;ba808F241p,10,20C,40
Peb8E113ABu;ba808F2FCp,10,20C,40
Peb8E1D6FAu;ba808EAEAp,10,20C,40
Peb8E29A4Bu;ba808EEF3p,10,20C,40
Peb8E35D9Cu;ba808E624p,10,20C,40
Peb8E420EBu;ba808EBA6p,10,20C,40
Peb8E4E43Bu;ba808E045p,10,20C,40
Peb8E5A78Bu;ba808E79Cp,10,20C,40
Peb8E66ADCu;ba808DB80p,10,20C,40
Peb8E72E2Bu;ba808E335p,10,20C,40
Peb8E7F17Bu;ba808D5FFp,10,20C,40
Peb8E8B4CAu;ba808DFE7p,10,20C,40
Peb8E9781Au;ba808D13Ap,10,20C,40
Peb8EA3B6Cu;ba808DAC4p,10,20C,40
Peb8EAFEBDu;ba808CC16p,10,20C,40
Peb8EBC20Bu;ba808D719p,10,20C,40
Peb8EC855Bu;ba808C8C9p,10,20C,40
Peb8ED48AAu;ba808D198p,10,20C,40
Peb8EE0BFBu;ba808C28Cp,10,20C,40
Peb8EECF4Cu;ba808CDECp,10,20C,40
Peb8EF929Cu;ba808BE82p,10,20C,40
Peb8F055EBu;ba808CA41p,10,20C,40
Peb8F1193Au;ba808B95Fp,10,20C,40
Peb8F1DC8Bu;ba808C4BFp,10,20C,40
Peb8F29FDBu;ba808B5B4p,10,20C,40
Peb8F3632Cu;ba808C22Ep,10,20C,40
Peb8F4267Au;ba808AFD5p,10,20C,40
Peb8F4E9CBu;ba808BE82p,10,20C,40
Peb8F5AD1Bu;ba808AB0Fp,10,20C,40
Peb8F6706Cu;ba808B9BDp,10,20C,40
Peb8F733BBu;ba808A7C2p,10,20C,40
Peb8F7F70Au;ba808B6CEp,10,20C,40
Peb8F8BA5Bu;ba808A29Fp,10,20C,40
Peb8F97DACu;ba808B322p,10,20C,40
Peb8FA40FCu;ba8089E95p,10,20C,40
Peb8FB044Bu;ba808AF77p,10,20C,40
Peb8FBC79Cu;ba8089AEAp,10,20C,40
Peb8FC8AEBu;ba808AB0Fp,10,20C,40
Peb8FD4E3Au;ba80896E0p,10,20C,40
Peb8FE118Au;ba808A64Ap,10,20C,40
Peb8FED4DBu;ba80891BDp,10,20C,40
Peb8FF982Au;ba808A2FDp,10,20C,40
Peb9005B7Cu;ba8088ECEp,10,20C,40
Peb9011ECCu;ba8089DD9p,10,20C,40
Peb901E21Au;ba8088AC4p,10,20C,40
Peb902A56Au;ba80899D0p,10,20C,40
Peb90368BAu;ba80887D5p,10,20C,40
Peb9042C0Cu;ba80894ADp,10,20C,40
Peb904EF5Cu;ba80883CBp,10,20C,40
Peb905B2ACu;ba808921Bp,10,20C,40
Peb90675FAu;ba8088198p,10,20C,40
Peb907394Cu;ba8088CF8p,10,20C,40
Peb907FC9Cu;ba8087D30p,10,20C,40
Peb908BFEAu;ba8088A08p,10,20C,40
Peb909833Cu;ba8087985p,10,20C,40
Peb90A468Au;ba80885FFp,10,20C,40
Peb90B09DAu;ba808757Cp,10,20C,40
Peb90BCD2Cu;ba8088254p,10,20C,40
Peb90C907Au;ba8087172p,10,20C,40
Peb90D53CAu;ba8087F64p,10,20C,40
Peb90E171Au;ba8086E83p,10,20C,40
Peb90EDA6Cu;ba8087B5Bp,10,20C,40
Peb90F9DBCu;ba8086B35p,10,20C,40
Peb910610Au;ba808780Dp,10,20C,40
Peb911245Cu;ba808672Cp,10,20C,40
Peb911E7AAu;ba80873A6p,10,20C,40
Peb912AAFAu;ba8086556p,10,20C,40
Peb9136E4Cu;ba8087114p,10,20C,40
Peb914319Cu;ba80860EFp,10,20C,40
Peb914F4ECu;ba8086CADp,10,20C,40
Peb915B83Au;ba8085E5Dp,10,20C,40
Peb9167B8Au;ba80867E8p,10,20C,40
Peb9173EDCu;ba8085BCBp,10,20C,40
Peb918022Au;ba808649Ap,10,20C,40
Peb918C57Cu;ba80858DCp,10,20C,40
Peb91988CAu;ba8085EBBp,10,20C,40
Peb91A4C1Au;ba80857C2p,10,20C,40
Peb91B0F6Cu;ba8085AB2p,10,20C,40
Peb91BD2BCu;ba80854D3p,10,20C,40
Peb91C960Cu;ba8085764p,10,20C,40
Peb91D595Au;ba8085241p,10,20C,40
Peb91E1CACu;ba80853B9p,10,20C,40
Peb91EDFFCu;ba808500Dp,10,20C,40
Peb91FA34Au;ba8084FAFp,10,20C,40
Peb920669Cu;ba8084C62p,10,20C,40
Peb92129EAu;ba8084D1Ep,10,20C,40
Peb921ED3Au;ba8084A2Ep,10,20C,40
Peb922B08Cu;ba8084972p,10,20C,40
Peb92373DEu;ba808473Fp,10,20C,40
Peb924372Au;ba80846E1p,10,20C,40
Peb924FA7Au;ba808444Fp,10,20C,40
Peb925BDCAu;ba8084279p,10,20C,40
Peb926811Cu;ba80841BDp,10,20C,40
Peb927446Au;ba8083F2Cp,10,20C,40
Peb92807BAu;ba8083E12p,10,20C,40
Peb928CB0Au;ba8083BDEp,10,20C,40
Peb9298E5Cu;ba8083B80p,10,20C,40
Peb92A51ACu;ba80838EFp,10,20C,40
Peb92B14FAu;ba8083A09p,10,20C,40
Peb92BD84Au;ba80835FFp,10,20C,40
Peb92C9B9Au;ba8083777p,10,20C,40
Peb92D5EEAu;ba808307Ep,10,20C,40
Peb92E223Cu;ba808365Dp,10,20C,40
Peb92EE58Au;ba8082DECp,10,20C,40
Peb92FA8DAu;ba80834E5p,10,20C,40
Peb9306C2Au;ba8082927p,10,20C,40
Peb9312F7Au;ba8083198p,10,20C,40
Peb931F2CCu;ba80825DAp,10,20C,40
Peb932B61Au;ba8083020p,10,20C,40
Peb933796Cu;ba80822EAp,10,20C,40
Peb9343CBAu;ba8082C17p,10,20C,40
Peb935000Cu;ba8082059p,10,20C,40
Peb935C35Cu;ba8082A41p,10,20C,40
Peb93686ACu;ba8081D0Bp,10,20C,40
Peb93749FCu;ba8082752p,10,20C,40
Peb9380D4Au;ba8081B93p,10,20C,40
Peb938D09Cu;ba808251Ep,10,20C,40
Peb93993ECu;ba80815B4p,10,20C,40
Peb93A573Cu;ba808222Ep,10,20C,40
Peb93B1A8Cu;ba808143Cp,10,20C,40
Peb93BDDDAu;ba8081FFBp,10,20C,40
Peb93CA12Cu;ba808114Dp,10,20C,40
Peb93D647Au;ba8081DC7p,10,20C,40
Peb93E27CAu;ba8080E5Dp,10,20C,40
Peb93EEB1Cu;ba8081BF1p,10,20C,40
Peb93FAE6Eu;ba8080AB2p,10,20C,40
Peb94071BCu;ba8081960p,10,20C,40
Peb941350Au;ba8080764p,10,20C,40
Peb941F85Au;ba808178Ap,10,20C,40
Peb942BBACu;ba80804D3p,10,20C,40
Peb9437EFAu;ba808149Ap,10,20C,40
Peb944424Cu;ba80801E3p,10,20C,40
Peb945059Au;ba8081267p,10,20C,40
Peb945C8EAu;ba807FF52p,10,20C,40
Peb9468C3Au;ba8081033p,10,20C,40
Peb9474F8Au;ba807FC04p,10,20C,40
Peb94812DCu;ba8080E5Dp,10,20C,40
Peb948D62Au;ba807F972p,10,20C,40
Peb949997Cu;ba8080BCCp,10,20C,40
Peb94A5CCAu;ba807F7FBp,10,20C,40
Peb94B201Au;ba80808DCp,10,20C,40
Peb94BE36Au;ba807F625p,10,20C,40
Peb94CA6BAu;ba8080531p,10,20C,40
Peb94D6A0Eu;ba807F335p,10,20C,40
Peb94E2D5Cu;ba80802FDp,10,20C,40
Peb94EF0AAu;ba807F2D7p,10,20C,40
Peb94FB3FCu;ba807FFB0p,10,20C,40
Peb950774Au;ba807EF8Ap,10,20C,40
Peb9513A9Au;ba807FC62p,10,20C,40
Peb951FDECu;ba807ECF8p,10,20C,40
Peb952C13Au;ba807FAEAp,10,20C,40
Peb953848Cu;ba807EB23p,10,20C,40
Peb95447DAu;ba807F915p,10,20C,40
Peb9550B2Au;ba807E8EFp,10,20C,40
Peb955CE7Au;ba807F7FBp,10,20C,40
Peb95691CAu;ba807E6BBp,10,20C,40
Peb957551Cu;ba807F4ADp,10,20C,40
Peb958186Au;ba807E5A1p,10,20C,40
Peb958DBBAu;ba807F160p,10,20C,40
Peb9599F0Cu;ba807E254p,10,20C,40
Peb95A625Au;ba807EF8Ap,10,20C,40
Peb95B25AAu;ba807E020p,10,20C,40
Peb95BE8FAu;ba807EC9Ap,10,20C,40
Peb95CAC4Au;ba807DD8Fp,10,20C,40
Peb95D6F9Cu;ba807EA67p,10,20C,40
Peb95E32EAu;ba807DC17p,10,20C,40
Peb95EF63Cu;ba807E719p,10,20C,40
Peb95FB98Au;ba807DAFDp,10,20C,40
Peb9607CDAu;ba807E4E6p,10,20C,40
Peb961402Cu;ba807D9E3p,10,20C,40
Peb962037Au;ba807E0DCp,10,20C,40
Peb962C6CAu;ba807D752p,10,20C,40
Peb9638A1Au;ba807DE4Bp,10,20C,40
Peb9644D6Au;ba807D752p,10,20C,40
Peb96510BAu;ba807DBB9p,10,20C,40
Peb965D40Au;ba807D638p,10,20C,40
Peb966975Cu;ba807D752p,10,20C,40
Peb9675AAAu;ba807D404p,10,20C,40
Peb9681DFAu;ba807D638p,10,20C,40
Peb968E14Au;ba807D173p,10,20C,40
Peb969A49Cu;ba807D2EAp,10,20C,40
Peb96A67ECu;ba807D059p,10,20C,40
Peb96B2B3Au;ba807CFFBp,10,20C,40
Peb96BEE8Cu;ba807CF3Fp,10,20C,40
Peb96CB1DCu;ba807CDC7p,10,20C,40
Peb96D752Au;ba807CDC7p,10,20C,40
Peb96E387Cu;ba807CB35p,10,20C,40
Peb96EFBCAu;ba807CB93p,10,20C,40
Peb96FBF1Cu;ba807C9BEp,10,20C,40
Peb970826Eu;ba807C846p,10,20C,40
Peb97145BAu;ba807C78Ap,10,20C,40
Peb972090Au;ba807C72Cp,10,20C,40
Peb972CC5Au;ba807C556p,10,20C,40
Peb9738FACu;ba807C612p,10,20C,40
Peb97452FCu;ba807C2C5p,10,20C,40
Peb975164Au;ba807C43Dp,10,20C,40
Peb975D99Cu;ba807BEBBp,10,20C,40
Peb9769CEAu;ba807C3DFp,10,20C,40
Peb977603Au;ba807BBCCp,10,20C,40
Peb978238Cu;ba807C323p,10,20C,40
Peb978E6DAu;ba807B87Ep,10,20C,40
Peb979AA2Cu;ba807C14Dp,10,20C,40
Peb97A6D7Au;ba807B64Bp,10,20C,40
Peb97B30CAu;ba807C033p,10,20C,40
Peb97BF41Au;ba807B475p,10,20C,40
Peb97CB76Au;ba807BF19p,10,20C,40
Peb97D7ABAu;ba807B1E3p,10,20C,40
Peb97E3E0Au;ba807BCE6p,10,20C,40
Peb97F015Au;ba807B0CAp,10,20C,40
Peb97FC4ACu;ba807B9F6p,10,20C,40
Peb98087FAu;ba807AEF4p,10,20C,40
Peb9814B4Cu;ba807B7C2p,10,20C,40
Peb9820E9Au;ba807AC04p,10,20C,40
Peb982D1ECu;ba807B765p,10,20C,40
Peb983953Cu;ba807A9D1p,10,20C,40
Peb984588Au;ba807B58Fp,10,20C,40
Peb9851BDAu;ba807A73Fp,10,20C,40
Peb985DF2Cu;ba807B35Bp,10,20C,40
Peb986A27Cu;ba807A50Bp,10,20C,40
Peb98765CAu;ba807B35Bp,10,20C,40
Peb988291Au;ba807A27Ap,10,20C,40
Peb988EC6Au;ba807B0CAp,10,20C,40
Peb989AFBAu;ba807A102p,10,20C,40
Peb98A730Cu;ba807AFB0p,10,20C,40
Peb98B365Au;ba8079ECEp,10,20C,40
Peb98BF9AAu;ba807AE96p,10,20C,40
Peb98CBCFAu;ba8079BDFp,10,20C,40
Peb98D804Au;ba807AD1Ep,10,20C,40
Peb98E439Au;ba807994Dp,10,20C,40
Peb98F06EAu;ba807AAEAp,10,20C,40
Peb98FCA3Au;ba80797D5p,10,20C,40
Peb9908D8Au;ba807AA2Fp,10,20C,40
Peb99150DAu;ba807965Ep,10,20C,40
Peb992142Au;ba807A73Fp,10,20C,40
Peb992D77Au;ba807942Ap,10,20C,40
Peb9939ACCu;ba807A50Bp,10,20C,40
Peb9945E1Au;ba80793CCp,10,20C,40
Peb995216Au;ba807A3F1p,10,20C,40
Peb995E4BAu;ba807913Ap,10,20C,40
Peb996A80Cu;ba807A21Cp,10,20C,40
Peb9976B5Au;ba8079021p,10,20C,40
Peb9982EAAu;ba807A1BEp,10,20C,40
Peb998F1FAu;ba8078F07p,10,20C,40
Peb999B54Cu;ba8079DB4p,10,20C,40
Peb99A789Au;ba8078C17p,10,20C,40
Peb99B3BEAu;ba8079B81p,10,20C,40
Peb99BFF3Au;ba8078D31p,10,20C,40
