e
M0007
PebB04A304n;ba87F4A8Fp,14,215,40
Peb8200D9Cu;ba80F41A6p,10,20C,40
Peb820D0ECu;ba80F2798p,10,20C,40
Peb821943Cu;ba80EEBC8p,10,20C,40
Peb822578Bu;ba80ED331p,10,20C,40
Peb8231ADBu;ba80E9B0Cp,10,20C,40
Peb823DE2Bu;ba80E8565p,10,20C,40
Peb824A17Cu;ba80E4F73p,10,20C,40
Peb82564CBu;ba80E3C5Ep,10,20C,40
Peb826281Bu;ba80E09BAp,10,20C,40
Peb826EB6Cu;ba80DF761p,10,20C,40
Peb827AEBBu;ba80DC868p,10,20C,40
Peb828720Bu;ba80DB7E4p,10,20C,40
Peb829355Cu;ba80D8AC1p,10,20C,40
Peb829F8ACu;ba80D7C14p,10,20C,40
Peb82ABBFCu;ba80D5124p,10,20C,40
Peb82B7F4Bu;ba80D42D4p,10,20C,40
Peb82C429Cu;ba80D19BBp,10,20C,40
Peb82D05EBu;ba80D0E5Ap,10,20C,40
Peb82DC93Cu;ba80CE65Ap,10,20C,40
Peb82E8C8Cu;ba80CDBB6p,10,20C,40
Peb82F4FDCu;ba80CB414p,10,20C,40
Peb830132Cu;ba80CABA3p,10,20C,40
Peb830D67Cu;ba80C8579p,10,20C,40
Peb83199CCu;ba80C7E22p,10,20C,40
Peb8325D1Cu;ba80C59CEp,10,20C,40
Peb833206Bu;ba80C56DEp,10,20C,40
Peb833E3BCu;ba80C100Bp,10,20C,41
Peb834A70Du;ba80C3579p,10,20C,40
Peb8356A5Cu;ba80C00FFp,10,20C,40
Peb8362DABu;ba80C0219p,10,20C,40
Peb836F0FCu;ba80BDE23p,10,20C,40
Peb837B44Bu;ba80BDB33p,10,20C,40
Peb838779Bu;ba80BBA2Cp,10,20C,40
Peb8393AECu;ba80BB8B4p,10,20C,40
Peb839FE3Cu;ba80B9636p,10,20C,40
Peb83AC18Cu;ba80B94BEp,10,20C,40
Peb83B84DCu;ba80B74D1p,10,20C,40
Peb83C482Bu;ba80B7415p,10,20C,40
Peb83D0B7Bu;ba80B52B0p,10,20C,40
Peb83DCECBu;ba80B5486p,10,20C,40
Peb83E921Bu;ba80B3554p,10,20C,40
Peb83F556Bu;ba80B3554p,10,20C,40
Peb84018BBu;ba80B173Dp,10,20C,40
Peb840DC0Bu;ba80B17F9p,10,20C,40
Peb8419F5Cu;ba80AF925p,10,20C,40
Peb84262ACu;ba80AFA9Dp,10,20C,40
Peb84325FCu;ba80ADD42p,10,20C,40
Peb843E94Bu;ba80AE031p,10,20C,40
Peb844AC9Bu;ba80AC392p,10,20C,40
Peb8456FECu;ba80AC6DFp,10,20C,40
Peb846333Cu;ba80AA86Ap,10,20C,40
Peb846F68Bu;ba80AAC73p,10,20C,40
Peb847B9DCu;ba80A91A9p,10,20C,40
Peb8487D2Bu;ba80A9207p,10,20C,40
Peb849407Cu;ba80A7913p,10,20C,40
Peb84A03CCu;ba80A7A2Dp,10,20C,40
Peb84AC71Bu;ba80A6252p,10,20C,40
Peb84B8A6Bu;ba80A63CAp,10,20C,40
Peb84C4DBCu;ba80A4EDFp,10,20C,40
Peb84D110Cu;ba80A4D0Ap,10,20C,40
Peb84DD45Cu;ba80A3C28p,10,20C,40
Peb84E97ABu;ba80A306Ap,10,20C,40
Peb84F5AFCu;ba80A1B21p,10,20C,40
Peb8501E4Cu;ba80A21BCp,10,20C,40
Peb850E19Eu;ba80A0FC1p,10,20C,40
Peb851A4ECu;ba80A0C74p,10,20C,40
Peb852683Cu;ba809FA78p,10,20C,40
Peb8532B8Cu;ba809F845p,10,20C,40
Peb853EEDBu;ba809E7C1p,10,20C,40
Peb854B22Cu;ba809E3B8p,10,20C,41
Peb855757Cu;ba809D4ACp,10,20C,41
Peb85638CBu;ba809D101p,10,20C,40
Peb856FC1Bu;ba809C30Fp,10,20C,40
Peb857BF6Bu;ba809BEA7p,10,20C,40
Peb85882BBu;ba809B113p,10,20C,41
Peb859460Cu;ba809ACACp,10,20C,41
Peb85A095Bu;ba8099FD4p,10,20C,40
Peb85ACCACu;ba8099B6Dp,10,20C,40
Peb85B8FFBu;ba809900Dp,10,20C,40
Peb85C534Cu;ba8098A2Dp,10,20C,41
Peb85D169Cu;ba8097FE7p,10,20C,40
Peb85DD9EBu;ba8097B80p,10,20C,40
Peb85E9D3Du;ba8096EA8p,10,20C,40
Peb85F608Bu;ba8096A9Ep,10,20C,41
Peb86023DCu;ba8096172p,10,20C,41
Peb860E72Bu;ba8095B35p,10,20C,41
Peb861AA7Cu;ba8095322p,10,20C,40
Peb8626DCCu;ba8094C29p,10,20C,40
Peb863311Au;ba809429Ep,10,20C,41
Peb863F46Bu;ba8093D7Bp,10,20C,41
Peb864B7BAu;ba8093393p,10,20C,41
Peb8657B0Bu;ba8092F2Bp,10,20C,40
Peb8663E5Cu;ba809265Dp,10,20C,40
Peb86701ABu;ba80920DBp,10,20C,40
Peb867C4FBu;ba809180Dp,10,20C,40
Peb868884Au;ba80911D0p,10,20C,40
Peb8694B9Bu;ba8090B35p,10,20C,41
Peb86A0EEBu;ba8090612p,10,20C,41
Peb86AD23Cu;ba808FE5Dp,10,20C,41
Peb86B958Bu;ba808F997p,10,20C,40
Peb86C58DBu;ba808F29Ep,10,20C,40
Peb86D1C2Cu;ba808E858p,10,20C,40
Peb86DDF7Cu;ba808E569p,10,20C,40
Peb86EA2CCu;ba808DF2Bp,10,20C,40
Peb86F661Cu;ba808D94Cp,10,20C,40
Peb870296Au;ba808D429p,10,20C,40
Peb870ECBBu;ba808CDECp,10,20C,41
Peb871B00Cu;ba808C751p,10,20C,40
Peb872735Au;ba808C1D0p,10,20C,41
Peb87336ABu;ba808BBF1p,10,20C,40
Peb873F9FCu;ba808B72Cp,10,20C,41
Peb874BD4Bu;ba808B0EFp,10,20C,40
Peb875809Bu;ba808AB6Dp,10,20C,41
Peb87643EAu;ba808A58Ep,10,20C,41
Peb877073Bu;ba808A0C9p,10,20C,41
Peb877CA8Bu;ba8089A8Cp,10,20C,40
Peb8788DDCu;ba8089625p,10,20C,40
Peb879512Cu;ba8088F8Ap,10,20C,41
Peb87A147Au;ba8088C3Cp,10,20C,41
Peb87AD7CDu;ba8088487p,10,20C,41
Peb87B9B1Cu;ba8088198p,10,20C,41
Peb87C5E6Bu;ba80879E3p,10,20C,41
Peb87D21BBu;ba80877AFp,10,20C,41
Peb87DE50Bu;ba8086F3Fp,10,20C,41
Peb87EA85Cu;ba8086E25p,10,20C,41
Peb87F6BACu;ba80864F8p,10,20C,41
Peb8802EFCu;ba80864F8p,10,20C,41
Peb880F24Bu;ba8085D43p,10,20C,40
Peb881B59Cu;ba8085AB2p,10,20C,40
Peb88278ECu;ba80851E3p,10,20C,41
Peb8833C3Cu;ba80851E3p,10,20C,40
Peb883FF8Bu;ba808473Fp,10,20C,40
Peb884C2DBu;ba80849D0p,10,20C,40
Peb885862Cu;ba8083E70p,10,20C,40
Peb886497Bu;ba80840A4p,10,20C,40
Peb8870CCCu;ba80833CCp,10,20C,40
Peb887D01Cu;ba80837D5p,10,20C,40
Peb888936Bu;ba8082C17p,10,20C,40
Peb88956BCu;ba8083020p,10,20C,40
Peb88A1A0Cu;ba80821D0p,10,20C,40
Peb88ADD5Cu;ba80827AFp,10,20C,40
Peb88BA0ABu;ba8081AD7p,10,20C,40
Peb88C63FAu;ba8081FFBp,10,20C,40
Peb88D274Cu;ba8081209p,10,20C,40
Peb88DEA9Cu;ba808178Ap,10,20C,40
Peb88EADEBu;ba808093Ap,10,20C,40
Peb88F713Cu;ba8081033p,10,20C,40
Peb890348Bu;ba8080185p,10,20C,40
Peb890F7DBu;ba808087Ep,10,20C,40
Peb891BB2Cu;ba807F8B7p,10,20C,40
Peb8927E7Bu;ba8080127p,10,20C,40
Peb89341CBu;ba807F046p,10,20C,40
Peb894051Bu;ba807F9D0p,10,20C,40
Peb894C86Bu;ba807E9ABp,10,20C,40
Peb8958BBBu;ba807F160p,10,20C,40
Peb8964F0Bu;ba807E310p,10,20C,40
Peb897125Du;ba807EA67p,10,20C,40
Peb897D5ABu;ba807DA41p,10,20C,40
Peb89898FBu;ba807E310p,10,20C,40
Peb8995C4Cu;ba807D1D1p,10,20C,40
Peb89A1F9Cu;ba807DC75p,10,20C,40
Peb89AE2EBu;ba807CB35p,10,20C,40
Peb89BA63Bu;ba807D462p,10,20C,40
Peb89C698Cu;ba807C4F8p,10,20C,40
Peb89D2CDCu;ba807CCADp,10,20C,40
Peb89DF02Bu;ba807BD44p,10,20C,40
Peb89EB37Cu;ba807C670p,10,20C,40
Peb89F76CBu;ba807B707p,10,20C,40
Peb8A03A1Bu;ba807BFD5p,10,20C,40
Peb8A0FD6Bu;ba807B00Ep,10,20C,40
Peb8A1C0BCu;ba807BA54p,10,20C,40
Peb8A2840Cu;ba807A973p,10,20C,40
Peb8A3475Bu;ba807B2FDp,10,20C,40
Peb8A40AAAu;ba807A27Ap,10,20C,40
Peb8A4CDFBu;ba807AC04p,10,20C,40
Peb8A5914Cu;ba8079B81p,10,20C,40
Peb8A6549Bu;ba807A79Dp,10,20C,40
Peb8A717EAu;ba8079544p,10,20C,40
Peb8A7DB3Bu;ba8079FE8p,10,20C,40
Peb8A89E8Bu;ba8078F07p,10,20C,40
Peb8A961DCu;ba807994Dp,10,20C,40
Peb8AA252Bu;ba8078986p,10,20C,40
Peb8AAE87Au;ba80791F6p,10,20C,40
Peb8ABABCEu;ba80783A6p,10,20C,40
Peb8AC6F1Cu;ba8078D8Fp,10,20C,40
Peb8AD326Bu;ba8077CADp,10,20C,40
Peb8ADF5BBu;ba8078928p,10,20C,40
Peb8AEB90Bu;ba807772Cp,10,20C,40
Peb8AF7C5Bu;ba807828Dp,10,20C,40
Peb8B03FACu;ba80770EFp,10,20C,40
Peb8B102FBu;ba8077CADp,10,20C,40
Peb8B1C64Cu;ba8076A54p,10,20C,40
Peb8B2899Cu;ba807778Ap,10,20C,40
Peb8B34CEEu;ba80765EDp,10,20C,40
Peb8B4103Cu;ba807714Dp,10,20C,40
Peb8B4D38Cu;ba807606Cp,10,20C,40
Peb8B596DCu;ba8076D44p,10,20C,40
Peb8B65A2Bu;ba8075A8Dp,10,20C,40
Peb8B71D7Bu;ba8076821p,10,20C,40
Peb8B7E0CCu;ba807550Cp,10,20C,40
Peb8B8A41Cu;ba80763B9p,10,20C,40
Peb8B9676Cu;ba8074ECEp,10,20C,40
Peb8BA2ABCu;ba8075EF4p,10,20C,40
Peb8BAEE0Au;ba8074AC5p,10,20C,40
Peb8BBB15Cu;ba8075915p,10,20C,40
Peb8BC74ACu;ba807442Ap,10,20C,40
Peb8BD37FBu;ba80753F2p,10,20C,40
Peb8BDFB4Bu;ba8073F65p,10,20C,40
Peb8BEBE9Au;ba8074F2Cp,10,20C,40
Peb8BF81EBu;ba8073AA0p,10,20C,40
Peb8C0453Cu;ba8074AC5p,10,20C,40
Peb8C1088Du;ba807357Cp,10,20C,40
Peb8C1CBDBu;ba8074544p,10,20C,40
Peb8C28F2Cu;ba8072FFBp,10,20C,40
Peb8C3527Bu;ba8073FC3p,10,20C,40
Peb8C415CCu;ba8072B94p,10,20C,40
Peb8C4D91Bu;ba8073C17p,10,20C,40
Peb8C59C6Au;ba8072613p,10,20C,40
Peb8C65FBBu;ba8073752p,10,20C,40
Peb8C7230Bu;ba8072209p,10,20C,40
Peb8C7E65Cu;ba80732EBp,10,20C,40
Peb8C8A9ABu;ba8071D44p,10,20C,40
Peb8C96CFBu;ba8072DC8p,10,20C,40
Peb8CA304Bu;ba8071821p,10,20C,40
Peb8CAF39Bu;ba80729BEp,10,20C,40
Peb8CBB6ECu;ba80713B9p,10,20C,40
Peb8CC7A3Bu;ba8072671p,10,20C,40
Peb8CD3D8Au;ba8070EF4p,10,20C,40
Peb8CE00DBu;ba8071EBCp,10,20C,40
Peb8CEC42Bu;ba80709D1p,10,20C,40
Peb8CF877Cu;ba8071DA2p,10,20C,40
Peb8D04ACCu;ba807056Ap,10,20C,40
Peb8D10E1Bu;ba80718DDp,10,20C,40
Peb8D1D16Bu;ba80701BEp,10,20C,40
Peb8D294BBu;ba80714D3p,10,20C,40
Peb8D3580Cu;ba806FDB5p,10,20C,40
Peb8D41B5Bu;ba807100Ep,10,20C,40
Peb8D4DEABu;ba806F892p,10,20C,40
Peb8D5A1FBu;ba8070CC1p,10,20C,40
Peb8D6654Bu;ba806F4E6p,10,20C,40
Peb8D7289Cu;ba80707FBp,10,20C,40
Peb8D7EBEBu;ba806F0DDp,10,20C,40
Peb8D8AF3Au;ba80703F2p,10,20C,40
Peb8D9728Cu;ba806EC75p,10,20C,40
Peb8DA35DAu;ba806FF2Dp,10,20C,40
Peb8DAF92Cu;ba806E80Ep,10,20C,40
Peb8DBBC7Bu;ba806FBDFp,10,20C,40
Peb8DC7FCAu;ba806E405p,10,20C,40
Peb8DD431Cu;ba806F834p,10,20C,40
Peb8DE066Bu;ba806E059p,10,20C,40
Peb8DEC9BCu;ba806F36Ep,10,20C,40
Peb8DF8D0Cu;ba806DD6Ap,10,20C,40
Peb8E0505Bu;ba806EF07p,10,20C,40
Peb8E113ABu;ba806D902p,10,20C,40
Peb8E1D6FAu;ba806EB5Cp,10,20C,40
Peb8E29A4Bu;ba806D557p,10,20C,40
Peb8E35D9Bu;ba806E7B0p,10,20C,40
Peb8E420EBu;ba806D209p,10,20C,40
Peb8E4E43Bu;ba806E4C1p,10,20C,40
Peb8E5A78Bu;ba806CEBCp,10,20C,40
Peb8E66ADBu;ba806E059p,10,20C,40
Peb8E72E2Bu;ba806CB6Ep,10,20C,40
Peb8E7F17Au;ba806DBF2p,10,20C,40
Peb8E8B4CAu;ba806C765p,10,20C,40
Peb8E9781Au;ba806D78Bp,10,20C,40
Peb8EA3B6Bu;ba806C4D3p,10,20C,40
Peb8EAFEBBu;ba806D4F9p,10,20C,40
Peb8EBC20Bu;ba806C128p,10,20C,40
Peb8EC855Bu;ba806D092p,10,20C,40
Peb8ED48ABu;ba806BCC1p,10,20C,40
Peb8EE0BFBu;ba806CCE6p,10,20C,40
Peb8EECF4Bu;ba806BA2Fp,10,20C,40
Peb8EF929Cu;ba806C9F7p,10,20C,40
Peb8F055EAu;ba806B740p,10,20C,40
Peb8F1193Bu;ba806C64Bp,10,20C,40
Peb8F1DC8Bu;ba806B336p,10,20C,40
Peb8F29FDCu;ba806C242p,10,20C,40
Peb8F3632Au;ba806AFE9p,10,20C,40
Peb8F4267Cu;ba806BF52p,10,20C,40
Peb8F4E9CBu;ba806AD57p,10,20C,40
Peb8F5AD1Bu;ba806BC05p,10,20C,40
Peb8F6706Au;ba806AA0Ap,10,20C,40
Peb8F733BBu;ba806B7FBp,10,20C,40
Peb8F7F70Au;ba806A71Ap,10,20C,40
Peb8F8BA5Bu;ba806B4AEp,10,20C,40
Peb8F97DACu;ba806A2B3p,10,20C,40
Peb8FA40FAu;ba806B21Cp,10,20C,40
Peb8FB044Bu;ba806A0DDp,10,20C,40
Peb8FBC79Cu;ba806AF2Dp,10,20C,40
Peb8FC8AEBu;ba8069D8Fp,10,20C,40
Peb8FD4E3Au;ba806AB81p,10,20C,40
Peb8FE118Cu;ba8069A42p,10,20C,40
Peb8FED4DBu;ba806AA0Ap,10,20C,40
Peb8FF982Au;ba8069639p,10,20C,40
Peb9005B7Cu;ba806A4E6p,10,20C,40
Peb9011ECAu;ba8069349p,10,20C,40
Peb901E21Cu;ba806A2B3p,10,20C,40
Peb902A56Au;ba8069173p,10,20C,40
Peb90368BCu;ba806A07Fp,10,20C,40
Peb9042C0Cu;ba8068E84p,10,20C,40
Peb904EF5Au;ba8069D32p,10,20C,40
Peb905B2AAu;ba8068AD8p,10,20C,40
Peb90675FAu;ba8069A42p,10,20C,40
Peb907394Cu;ba806872Dp,10,20C,40
Peb907FC9Cu;ba8069752p,10,20C,40
Peb908BFEAu;ba80685B5p,10,20C,40
Peb909833Cu;ba806951Fp,10,20C,40
Peb90A468Au;ba806820Ap,10,20C,40
Peb90B09DAu;ba8069059p,10,20C,40
Peb90BCD2Cu;ba8067F78p,10,20C,40
Peb90C907Au;ba8068DC8p,10,20C,40
Peb90D53CAu;ba8067D44p,10,20C,41
Peb90E171Au;ba8068B36p,10,20C,40
Peb90EDA6Cu;ba8067AB3p,10,20C,40
Peb90F9DBAu;ba80689BEp,10,20C,40
Peb910610Au;ba80677C3p,10,20C,40
Peb911245Au;ba8068671p,10,20C,40
Peb911E7AAu;ba8067476p,10,20C,40
Peb912AAFAu;ba80683DFp,10,20C,40
Peb9136E4Cu;ba8067128p,10,20C,40
Peb914319Au;ba8068092p,10,20C,40
Peb914F4EAu;ba8066F53p,10,20C,40
Peb915B83Au;ba8067D44p,10,20C,40
Peb9167B8Au;ba8066C63p,10,20C,40
Peb9173EDCu;ba8067B11p,10,20C,40
Peb918022Au;ba8066A8Dp,10,20C,40
Peb918C57Au;ba80679F7p,10,20C,40
Peb91988CAu;ba80666E2p,10,20C,40
Peb91A4C1Cu;ba806764Bp,10,20C,40
Peb91B0F6Cu;ba8066450p,10,20C,40
Peb91BD2BAu;ba80672FEp,10,20C,40
Peb91C960Au;ba80661BFp,10,20C,40
Peb91D595Au;ba806706Cp,10,20C,40
Peb91E1CACu;ba8065FE9p,10,20C,40
Peb91EDFFCu;ba8066DDBp,10,20C,40
Peb91FA34Au;ba8065CF9p,10,20C,40
Peb920669Cu;ba8066C05p,10,20C,40
Peb92129EAu;ba8065B24p,10,20C,40
Peb921ED3Cu;ba80668B8p,10,20C,40
Peb922B08Cu;ba80658F0p,10,20C,40
Peb92373DCu;ba8066684p,10,20C,40
Peb924372Au;ba80656BCp,10,20C,40
Peb924FA7Au;ba8066394p,10,20C,40
Peb925BDCAu;ba8065544p,10,20C,40
Peb926811Cu;ba8066103p,10,20C,40
Peb927446Au;ba8065199p,10,20C,40
Peb92807BAu;ba8065CF9p,10,20C,40
Peb928CB0Au;ba8065021p,10,20C,40
Peb9298E5Cu;ba8065B82p,10,20C,40
Peb92A51ACu;ba8064DEEp,10,20C,40
Peb92B14FCu;ba8065834p,10,20C,40
Peb92BD84Au;ba8064BBAp,10,20C,40
Peb92C9B9Au;ba806565Ep,10,20C,40
Peb92D5EECu;ba8064AFEp,10,20C,40
Peb92E223Cu;ba806536Fp,10,20C,40
Peb92EE58Cu;ba80648CAp,10,20C,40
Peb92FA8DCu;ba8065021p,10,20C,40
Peb9306C2Au;ba8064753p,10,20C,40
Peb9312F7Au;ba8064F65p,10,20C,40
Peb931F2CCu;ba806451Fp,10,20C,40
Peb932B61Au;ba8064C76p,10,20C,40
Peb933796Cu;ba8064405p,10,20C,40
Peb9343CBAu;ba8064DEEp,10,20C,41
Peb935000Au;ba8063F9Ep,10,20C,40
Peb935C35Au;ba80646F5p,10,20C,40
Peb93686AAu;ba8063F9Ep,10,20C,40
Peb93749FCu;ba80643A7p,10,20C,40
Peb9380D4Au;ba8063D6Ap,10,20C,40
Peb938D09Cu;ba8064116p,10,20C,40
Peb93993ECu;ba8063B94p,10,20C,40
Peb93A573Cu;ba8063F9Ep,10,20C,40
Peb93B1A8Cu;ba80639BFp,10,20C,40
Peb93BDDDAu;ba8063D6Ap,10,20C,41
Peb93CA12Cu;ba80636CFp,10,20C,40
Peb93D647Au;ba8063A7Bp,10,20C,41
Peb93E27CAu;ba8063671p,10,20C,40
Peb93EEB1Cu;ba8063847p,10,20C,40
Peb93FAE6Cu;ba806343Ep,10,20C,40
Peb94071BAu;ba80635B5p,10,20C,40
Peb941350Au;ba806314Ep,10,20C,40
Peb941F85Cu;ba80633E0p,10,20C,41
Peb942BBAAu;ba8062F1Ap,10,20C,40
Peb9437EFAu;ba80631ACp,10,20C,41
Peb944424Au;ba8062EBCp,10,20C,40
Peb945059Au;ba8063034p,10,20C,40
Peb945C8EAu;ba8062AB3p,10,20C,40
Peb9468C3Cu;ba8062E5Ep,10,20C,41
Peb9474F8Au;ba806293Bp,10,20C,40
Peb94812DAu;ba8062B11p,10,20C,41
Peb948D62Au;ba80628DDp,10,20C,40
Peb949997Eu;ba806293Bp,10,20C,41
Peb94A5CCCu;ba8062708p,10,20C,40
Peb94B201Au;ba8062821p,10,20C,40
Peb94BE36Cu;ba8062476p,10,20C,41
Peb94CA6BAu;ba8062476p,10,20C,41
Peb94D6A0Cu;ba806235Cp,10,20C,40
Peb94E2D5Cu;ba80623BAp,10,20C,40
Peb94EF0AAu;ba8062242p,10,20C,40
Peb94FB3FCu;ba806200Fp,10,20C,40
Peb950774Au;ba8061E39p,10,20C,40
Peb9513A9Au;ba8061EF5p,10,20C,40
Peb951FDECu;ba8061D1Fp,10,20C,40
Peb952C13Au;ba8061D7Dp,10,20C,41
Peb953848Cu;ba8061BA7p,10,20C,41
Peb95447DAu;ba8061AEBp,10,20C,40
Peb9550B2Au;ba8061B49p,10,20C,40
Peb955CE7Cu;ba8061916p,10,20C,41
Peb95691CAu;ba8061916p,10,20C,40
Peb957551Cu;ba8061684p,10,20C,41
Peb958186Au;ba80616E2p,10,20C,40
Peb958DBBAu;ba80615C8p,10,20C,40
Peb9599F0Cu;ba80615C8p,10,20C,40
Peb95A625Au;ba80613F2p,10,20C,40
Peb95B25ACu;ba8061337p,10,20C,40
Peb95BE8FAu;ba80611BFp,10,20C,40
Peb95CAC4Au;ba806121Dp,10,20C,40
Peb95D6F9Au;ba8060F2Dp,10,20C,40
Peb95E32EAu;ba8060FE9p,10,20C,40
Peb95EF63Au;ba8060E13p,10,20C,41
Peb95FB98Au;ba8060ECFp,10,20C,40
Peb9607CDAu;ba8060C9Cp,10,20C,40
Peb961402Cu;ba8060BE0p,10,20C,41
Peb962037Au;ba8060AC6p,10,20C,40
Peb962C6CAu;ba8060A0Ap,10,20C,40
Peb9638A1Au;ba8060834p,10,20C,40
Peb9644D6Au;ba806094Ep,10,20C,40
Peb96510BCu;ba806071Ap,10,20C,40
Peb965D40Au;ba806071Ap,10,20C,40
Peb966975Cu;ba80604E7p,10,20C,40
Peb9675AA8u;ba80605A3p,10,20C,40
Peb9681DFAu;ba80602B3p,10,20C,41
Peb968E14Cu;ba806042Bp,10,20C,40
Peb969A49Cu;ba80600DDp,10,20C,41
Peb96A67EAu;ba806036Fp,10,20C,40
Peb96B2B38u;ba805FFC4p,10,20C,40
Peb96BEE8Au;ba80600DDp,10,20C,40
Peb96CB1DAu;ba805FDEEp,10,20C,40
Peb96D752Au;ba805FF66p,10,20C,40
Peb96E387Au;ba805FBBAp,10,20C,40
Peb96EFBCAu;ba805FF08p,10,20C,40
Peb96FBF1Au;ba805FB5Cp,10,20C,41
Peb970826Eu;ba805FCD4p,10,20C,41
Peb97145BAu;ba805F86Dp,10,20C,40
Peb972090Au;ba805FBBAp,10,20C,40
Peb972CC5Au;ba805F6F5p,10,20C,40
Peb9738FACu;ba805F9E4p,10,20C,40
Peb97452FCu;ba805F51Fp,10,20C,40
Peb975164Au;ba805F929p,10,20C,40
Peb975D99Au;ba805F2EBp,10,20C,40
Peb9769CEAu;ba805F7B1p,10,20C,40
Peb977603Cu;ba805F230p,10,20C,40
Peb978238Cu;ba805F5DBp,10,20C,41
Peb978E6DAu;ba805EF9Ep,10,20C,40
Peb979AA2Cu;ba805F51Fp,10,20C,40
Peb97A6D7Au;ba805ED0Cp,10,20C,40
Peb97B30CAu;ba805F463p,10,20C,40
Peb97BF41Au;ba805ECAEp,10,20C,40
Peb97CB76Au;ba805F230p,10,20C,40
Peb97D7ABCu;ba805EA7Bp,10,20C,40
Peb97E3E08u;ba805F1D2p,10,20C,40
Peb97F015Au;ba805E903p,10,20C,40
Peb97FC4ACu;ba805F116p,10,20C,40
Peb98087FAu;ba805E6CFp,10,20C,40
Peb9814B4Au;ba805EF40p,10,20C,40
Peb9820E9Au;ba805E49Cp,10,20C,40
Peb982D1EAu;ba805ED6Ap,10,20C,40
Peb983953Au;ba805E558p,10,20C,40
Peb984588Au;ba805ED0Cp,10,20C,40
Peb9851BDAu;ba805E268p,10,20C,40
Peb985DF2Cu;ba805EBF3p,10,20C,40
Peb986A27Au;ba805DFD6p,10,20C,40
Peb98765CAu;ba805EA1Dp,10,20C,40
Peb988291Au;ba805DF1Ap,10,20C,40
Peb988EC6Au;ba805E8A5p,10,20C,40
Peb989AFBAu;ba805DCE7p,10,20C,40
Peb98A730Au;ba805E6CFp,10,20C,40
Peb98B365Au;ba805DB11p,10,20C,40
Peb98BF9AAu;ba805E558p,10,20C,40
Peb98CBCFCu;ba805DB6Fp,10,20C,40
Peb98D804Au;ba805E49Cp,10,20C,40
Peb98E439Au;ba805D999p,10,20C,40
Peb98F06ECu;ba805E4FAp,10,20C,40
Peb98FCA3Au;ba805D6AAp,10,20C,40
Peb9908D8Au;ba805E2C6p,10,20C,40
Peb99150DAu;ba805D532p,10,20C,40
Peb992142Cu;ba805E092p,10,20C,40
Peb992D77Au;ba805D4D4p,10,20C,40
Peb9939ACCu;ba805DFD6p,10,20C,40
Peb9945E1Cu;ba805D2FEp,10,20C,40
Peb995216Au;ba805DEBDp,10,20C,40
Peb995E4BCu;ba805D1E4p,10,20C,40
Peb996A80Cu;ba805DDA3p,10,20C,40
Peb9976B5Au;ba805D00Fp,10,20C,40
Peb9982EACu;ba805DC2Bp,10,20C,40
Peb998F1FAu;ba805CF53p,10,20C,40
Peb999B54Au;ba805DB11p,10,20C,40
Peb99A789Au;ba805CD7Dp,10,20C,40
Peb99B3BEAu;ba805D9F7p,10,20C,40
Peb99BFF3Au;ba805CCC1p,10,20C,40
Peb99CC288u;ba805D8DDp,10,20C,40
Peb99D85DAu;ba805CBA7p,10,20C,40
Peb99E492Au;ba805D766p,10,20C,40
