e
M0007
Pda8000000 ;ba805C935p,14,215,40
Pda806CD96u;ba8A9265Bf,14,20C,46
Pda806E0F0u;ba728FAA2f,14,20C,46
Pda806F44Au;ba91A64EAf,14,20C,46
Pda80707A4u;ba6ADB34Af,14,20C,45
Pda8071AFDu;ba9552AA6f,14,20C,45
Pda8072E57u;ba6ADB34Af,14,20C,45
Pda80741B1u;ba9580896f,14,20C,45
Pda807550Bu;ba6A96662f,14,20C,45
Pda8076865u;ba94DFFCCf,14,20C,45
Pda8077BBFu;ba69C7FAAf,14,20C,45
Pda8078F19u;ba92B988Cf,14,20C,46
Pda807A272u;ba6C4A2CCf,14,20C,45
Pda8078F19u;ba8EB16EEf,14,20C,46
Pda8077BBFu;ba7347263f,14,20C,46
Pda8076865u;ba8A9265Bf,14,20C,46
Pda807550Bu;ba7C81835f,14,20C,46
Pda80741B1u;ba7E7A187f,14,20C,46
Pda8072E57u;ba8810338f,14,20C,47
Pda8071AFDu;ba75E047Df,14,20C,46
Pda80707A4u;ba8DCC13Ef,14,20C,46
Pda806F44Au;ba6E70A0Ef,14,20C,46
Pda806E0F0u;ba9580896f,14,20C,45
Pda806CD96u;ba6ADB34Af,14,20C,45
Pda806BA3Cu;ba9552AA6f,14,20C,45
Pda806A6E2u;ba6A96662f,14,20C,45
Pda8069388u;ba953BBAEf,14,20C,45
Pda806802Fu;ba6A96662f,14,20C,45
Pda8066CD5u;ba93FAA1Cf,14,20C,45
Pda806597Bu;ba6A68872f,14,20C,45
Pda8064621u;ba914A908f,14,20C,46
Pda80632C7u;ba700D780f,14,20C,46
Pda8061F6Du;ba8D2B876f,14,20C,46
Pda8060C14u;ba78349B0f,14,20C,46
Pda805F8BAu;ba84ED74Df,14,20C,46
Pda805E560u;ba83C34B4f,14,20C,47
Pda805D206u;ba78BE381f,14,20C,46
Pda805BEACu;ba8AD7343f,14,20C,46
Pda805AB52u;ba7233EC2f,14,20C,46
Pda80597F8u;ba922FEBCf,14,20C,46
Pda805849Fu;ba6ADB34Af,14,20C,45
Pda8057145u;ba9552AA6f,14,20C,45
Pda8055DEBu;ba6ADB34Af,14,20C,45
Pda8054A91u;ba9580896f,14,20C,45
Pda8053737u;ba6AAD55Af,14,20C,45
Pda80523DDu;ba94DFFCCf,14,20C,45
Pda8051083u;ba69DEEA2f,14,20C,45
Pda804FD2Au;ba92D0782f,14,20C,46
Pda804E9D0u;ba6D01A8Cf,14,20C,45
Pda804D676u;ba8E55B0Ef,14,20C,46
Pda804C31Cu;ba741591Cf,14,20C,46
Pda804AFC2u;ba897F2BAf,14,20C,46
Pda8049C68u;ba7D7DCDEf,14,20C,46
Pda804890Fu;ba7CF430Df,14,20C,46
Pda80475B5u;ba886BF18f,14,20C,47
Pda804625Bu;ba753FBB5f,14,20C,46
Pda8044F01u;ba8E838FFf,14,20C,46
Pda8043BA7u;ba6DA2356f,14,20C,45
Pda804284Du;ba9580896f,14,20C,45
Pda80414F3u;ba6AF2242f,14,20C,45
Pda804019Au;ba956999Ef,14,20C,45
Pda803EE40u;ba6AAD55Af,14,20C,45
Pda803DAE6u;ba953BBAEf,14,20C,45
Pda803C78Cu;ba6AAD55Af,14,20C,45
Pda803B432u;ba93E3B24f,14,20C,45
Pda803A0D8u;ba6ADB34Af,14,20C,45
Pda8038D7Eu;ba90D7E30f,14,20C,46
Pda8037A25u;ba70DBE38f,14,20C,46
Pda80366CBu;ba8CB8D9Df,14,20C,46
Pda8035371u;ba7919F61f,14,20C,46
Pda8034017u;ba83956C3f,14,20C,46
Pda8032CBDu;ba8504645f,14,20C,47
Pda8031963u;ba781DAB9f,14,20C,46
Pda803060Au;ba8B77C0Bf,14,20C,46
Pda802F2B0u;ba717C701f,14,20C,46
Pda802DF56u;ba931546Cf,14,20C,46
Pda802CBFCu;ba6AC4452f,14,20C,45
Pda802B8A2u;ba9552AA6f,14,20C,45
Pda802A548u;ba6ADB34Af,14,20C,45
Pda80291EEu;ba9580896f,14,20C,45
Pda8027E95u;ba6AAD55Af,14,20C,45
Pda8026B3Bu;ba94B21DEf,14,20C,45
Pda80257E1u;ba69DEEA2f,14,20C,45
Pda8024487u;ba92D0782f,14,20C,46
Pda802312Du;ba6DA2356f,14,20C,45
Pda8021DD3u;ba8E10E26f,14,20C,46
PdaFF8EC70n;ba74CD0DDf,14,20C,46
PdaFAD5570n;ba8899D09f,14,20C,46
PdaF61BE78n;ba7E7A187f,14,20C,46
PdaF162780n;ba7BCA074f,14,20C,46
PdaECA9080n;ba88C7AF9f,14,20C,46
PdaE7EF988n;ba749F2ECf,14,20C,46
PdaE336290n;ba8F241C8f,14,20C,46
PdaDE7CB90n;ba6CD3C9Cf,14,20C,45
PdaD9C3498n;ba9580896f,14,20C,45
PdaD509DA0n;ba6ADB34Af,14,20C,45
PdaD0506A8n;ba9580896f,14,20C,45
PdaCB96FA8n;ba6A96662f,14,20C,45
PdaC6DD8A8n;ba953BBAEf,14,20C,45
PdaC2241B8n;ba6AAD55Af,14,20C,45
PdaBD6AAB8n;ba939EE3Cf,14,20C,45
PdaB8B13C0n;ba6B36F2Af,14,20C,45
PdaB3F7CC4n;ba907C250f,14,20C,46
PdaAF3E5C8n;ba714E912f,14,20C,46
PdaAA84ED0n;ba8C462C4f,14,20C,46
PdaA5CB7D4n;ba798CA3Af,14,20C,46
PdaA1120DCn;ba8254532f,14,20C,46
Pda9C589E0n;ba85BBE05f,14,20C,47
Pda979F2E4n;ba77AAFDFf,14,20C,46
Pda92E5BEAn;ba8BEA6E4f,14,20C,46
Pda8E2C4F0n;ba70DBE38f,14,20C,46
Pda8972DF5n;ba939EE3Cf,14,20C,46
Pda84B96FAn;ba6AC4452f,14,20C,45
-
C0001
Pda8000000 ;ba953BBAEf,14,20C,45
Pda84B96FAn;ba6AC4452f,14,20C,45
Pda8972DF5n;ba956999Ef,14,20C,45
Pda8E2C4F0n;ba6AAD55Af,14,20C,45
Pda92E5BEAn;ba94843ECf,14,20C,45
Pda979F2E4n;ba6A0CC92f,14,20C,45
Pda9C589E0n;ba92A2994f,14,20C,46
PdaA1120DCn;ba6E42C1Ef,14,20C,46
PdaA5CB7D4n;ba8DB5246f,14,20C,46
PdaAA84ED0n;ba756D9A5f,14,20C,46
PdaAF3E5C8n;ba87B4758f,14,20C,46
PdaB3F7CC4n;ba7FA4420f,14,20C,46
PdaB8B13C0n;ba7AB6CD3f,14,20C,47
PdaBD6AAB8n;ba893A5D1f,14,20C,46
PdaC2241B8n;ba73FEA24f,14,20C,46
PdaC6DD8A8n;ba8FDB988f,14,20C,46
PdaCB96FA8n;ba6C333D4f,14,20C,45
PdaD0506A8n;ba956999Ef,14,20C,45
PdaD509DA0n;ba6AF2242f,14,20C,45
PdaD9C3498n;ba9580896f,14,20C,45
PdaDE7CB90n;ba6A96662f,14,20C,45
PdaE336290n;ba9524CB6f,14,20C,45
PdaE7EF988n;ba6A68872f,14,20C,45
PdaECA9080n;ba937104Cf,14,20C,45
PdaF162780n;ba6B92B0Cf,14,20C,45
PdaF61BE78n;ba8FC4A8Ff,14,20C,46
PdaFAD5570n;ba72060D2f,14,20C,46
PdaFF8EC70n;ba8B8EB04f,14,20C,46
Pda8021DD3u;ba7ACDBCBf,14,20C,46
Pda802312Du;ba8072AD8f,14,20C,46
Pda8024487u;ba872AD87f,14,20C,47
Pda80257E1u;ba76C5A2Ff,14,20C,46
Pda8026B3Bu;ba8CE6B8Df,14,20C,46
Pda8027E95u;ba6F9ACA8f,14,20C,46
Pda80291EEu;ba94C90D6f,14,20C,45
Pda802A548u;ba6AC4452f,14,20C,45
Pda802B8A2u;ba953BBAEf,14,20C,45
Pda802CBFCu;ba6A96662f,14,20C,45
Pda802DF56u;ba9552AA6f,14,20C,45
Pda802F2B0u;ba6AAD55Af,14,20C,45
Pda803060Au;ba942880Cf,14,20C,45
Pda8031963u;ba6A23B88f,14,20C,45
Pda8032CBDu;ba91D42DAf,14,20C,46
Pda8034017u;ba6F9ACA8f,14,20C,46
Pda8035371u;ba8D4276Df,14,20C,46
Pda80366CBu;ba777D1EFf,14,20C,46
Pda8037A25u;ba858E015f,14,20C,46
Pda8038D7Eu;ba82DDF02f,14,20C,46
Pda803A0D8u;ba7903069f,14,20C,46
Pda803B432u;ba8A9265Bf,14,20C,46
Pda803C78Cu;ba7261CB2f,14,20C,46
Pda803DAE6u;ba91EB1D2f,14,20C,46
Pda803EE40u;ba6AC4452f,14,20C,45
Pda804019Au;ba9552AA6f,14,20C,45
Pda80414F3u;ba6AC4452f,14,20C,45
Pda804284Du;ba9580896f,14,20C,45
Pda8043BA7u;ba6A96662f,14,20C,45
Pda8044F01u;ba94C90D6f,14,20C,45
Pda804625Bu;ba69DEEA2f,14,20C,45
Pda80475B5u;ba92D0782f,14,20C,46
Pda804890Fu;ba6D18986f,14,20C,45
Pda8049C68u;ba8E3EC16f,14,20C,46
Pda804AFC2u;ba744370Cf,14,20C,46
Pda804C31Cu;ba890C7E1f,14,20C,46
Pda804D676u;ba7E076AFf,14,20C,46
Pda804E9D0u;ba7C25C54f,14,20C,46
Pda804FD2Au;ba88B0C01f,14,20C,46
Pda8051083u;ba749F2ECf,14,20C,46
Pda80523DDu;ba8F241C8f,14,20C,46
Pda8053737u;ba6CD3C9Cf,14,20C,45
Pda8054A91u;ba9580896f,14,20C,45
Pda8055DEBu;ba6AF2242f,14,20C,45
Pda8057145u;ba956999Ef,14,20C,45
Pda805849Fu;ba6A96662f,14,20C,45
Pda80597F8u;ba9524CB6f,14,20C,45
Pda805AB52u;ba6A3AA82f,14,20C,45
Pda805BEACu;ba9387F44f,14,20C,46
Pda805D206u;ba6B36F2Af,14,20C,45
Pda805E560u;ba8FDB988f,14,20C,46
Pda805F8BAu;ba71C13EAf,14,20C,46
Pda8060C14u;ba8BEA6E4f,14,20C,46
Pda8061F6Du;ba7AB6CD3f,14,20C,46
Pda80632C7u;ba81133A1f,14,20C,46
Pda8064621u;ba872AD87f,14,20C,47
Pda806597Bu;ba76F381Ff,14,20C,46
Pda8066CD5u;ba8CCFC95f,14,20C,46
Pda806802Fu;ba6FC8A96f,14,20C,46
Pda8069388u;ba94B21DEf,14,20C,45
Pda806A6E2u;ba6AC4452f,14,20C,45
Pda806BA3Cu;ba9552AA6f,14,20C,45
Pda806CD96u;ba6A96662f,14,20C,45
Pda806E0F0u;ba956999Ef,14,20C,45
Pda806F44Au;ba6A96662f,14,20C,45
Pda80707A4u;ba943F706f,14,20C,45
Pda8071AFDu;ba6A0CC92f,14,20C,45
Pda8072E57u;ba91BD3E2f,14,20C,46
Pda80741B1u;ba6F83DB0f,14,20C,46
Pda807550Bu;ba8D7055Ef,14,20C,46
Pda8076865u;ba77940E8f,14,20C,46
Pda8077BBFu;ba85A4F0Df,14,20C,46
Pda8078F19u;ba830BCF3f,14,20C,46
Pda807A272u;ba7903069f,14,20C,46
Pda8078F19u;ba8A9265Bf,14,20C,46
Pda8077BBFu;ba724ADBAf,14,20C,46
Pda8076865u;ba91EB1D2f,14,20C,46
Pda807550Bu;ba6AC4452f,14,20C,45
Pda80741B1u;ba956999Ef,14,20C,45
Pda8072E57u;ba6ADB34Af,14,20C,45
Pda8071AFDu;ba959778Ef,14,20C,45
Pda80707A4u;ba6AAD55Af,14,20C,45
Pda806F44Au;ba94DFFCCf,14,20C,45
Pda806E0F0u;ba69C7FAAf,14,20C,45
Pda806CD96u;ba92D0782f,14,20C,46
Pda806BA3Cu;ba6CEAB94f,14,20C,45
Pda806A6E2u;ba8E3EC16f,14,20C,46
Pda8069388u;ba741591Cf,14,20C,46
Pda806802Fu;ba89683C1f,14,20C,46
Pda8066CD5u;ba7DC29C6f,14,20C,46
Pda806597Bu;ba7CAF625f,14,20C,46
Pda8064621u;ba8899D09f,14,20C,47
Pda80632C7u;ba74E3FD5f,14,20C,46
Pda8061F6Du;ba8EC85E7f,14,20C,46
Pda8060C14u;ba6D2F87Ef,14,20C,45
Pda805F8BAu;ba9580896f,14,20C,45
Pda805E560u;ba6ADB34Af,14,20C,45
Pda805D206u;ba9580896f,14,20C,45
Pda805BEACu;ba6A96662f,14,20C,45
Pda805AB52u;ba953BBAEf,14,20C,45
Pda80597F8u;ba6A5197Af,14,20C,45
Pda805849Fu;ba93B5D34f,14,20C,45
Pda8057145u;ba6AF2242f,14,20C,45
Pda8055DEBu;ba9065358f,14,20C,46
Pda8054A91u;ba7137A19f,14,20C,46
Pda8053737u;ba8C5D1BDf,14,20C,46
Pda80523DDu;ba79E861Af,14,20C,46
Pda8051083u;ba8254532f,14,20C,46
Pda804FD2Au;ba862E8DEf,14,20C,47
Pda804E9D0u;ba777D1EFf,14,20C,46
Pda804D676u;ba8C2F3CDf,14,20C,46
Pda804C31Cu;ba7080258f,14,20C,46
Pda804AFC2u;ba93E3B24f,14,20C,46
Pda8049C68u;ba6AC4452f,14,20C,45
Pda804890Fu;ba9552AA6f,14,20C,45
Pda80475B5u;ba6AAD55Af,14,20C,45
Pda804625Bu;ba956999Ef,14,20C,45
Pda8044F01u;ba6A96662f,14,20C,45
Pda8043BA7u;ba946D4F4f,14,20C,45
Pda804284Du;ba69DEEA2f,14,20C,45
Pda80414F3u;ba925DCAAf,14,20C,46
Pda804019Au;ba6EB56F8f,14,20C,46
Pda803EE40u;ba8D9E34Ef,14,20C,46
Pda803DAE6u;ba7625166f,14,20C,46
Pda803C78Cu;ba8713E8Ff,14,20C,46
Pda803B432u;ba80CE6B8f,14,20C,46
Pda803A0D8u;ba79E861Af,14,20C,46
Pda8038D7Eu;ba89AD0A9f,14,20C,46
Pda8037A25u;ba7375053f,14,20C,46
Pda80366CBu;ba907C250f,14,20C,46
Pda8035371u;ba6BA9A04f,14,20C,45
Pda8034017u;ba9580896f,14,20C,45
Pda8032CBDu;ba6AF2242f,14,20C,45
Pda8031963u;ba959778Ef,14,20C,45
Pda803060Au;ba6A96662f,14,20C,45
Pda802F2B0u;ba9524CB6f,14,20C,45
Pda802DF56u;ba6A3AA82f,14,20C,45
Pda802CBFCu;ba934325Cf,14,20C,46
Pda802B8A2u;ba6BD77F4f,14,20C,45
Pda802A548u;ba8F68EB0f,14,20C,46
Pda80291EEu;ba7278BABf,14,20C,46
Pda8027E95u;ba8B32F23f,14,20C,46
Pda8026B3Bu;ba7B406A3f,14,20C,46
Pda80257E1u;ba7FBB318f,14,20C,46
Pda8024487u;ba876FA6Ff,14,20C,47
Pda802312Du;ba7680D46f,14,20C,46
Pda8021DD3u;ba8D4276Df,14,20C,46
PdaFF8EC70n;ba6F55FBEf,14,20C,46
PdaFAD5570n;ba94F6EC4f,14,20C,45
PdaF61BE78n;ba6AC4452f,14,20C,45
PdaF162780n;ba9552AA6f,14,20C,45
PdaECA9080n;ba6A96662f,14,20C,45
PdaE7EF988n;ba956999Ef,14,20C,45
PdaE336290n;ba6A96662f,14,20C,45
PdaDE7CB90n;ba942880Cf,14,20C,45
PdaD9C3498n;ba6A3AA82f,14,20C,45
PdaD509DA0n;ba9218FC2f,14,20C,46
PdaD0506A8n;ba6F83DB0f,14,20C,46
PdaCB96FA8n;ba8D59665f,14,20C,46
PdaC6DD8A8n;ba772160Ff,14,20C,46
PdaC2241B8n;ba8600AEEf,14,20C,46
PdaBD6AAB8n;ba8226742f,14,20C,46
PdaB8B13C0n;ba7947D51f,14,20C,46
PdaB3F7CC4n;ba8A36A7Af,14,20C,46
PdaAF3E5C8n;ba72D478Af,14,20C,46
PdaAA84ED0n;ba914A908f,14,20C,46
PdaA5CB7D4n;ba6B0913Cf,14,20C,45
PdaA1120DCn;ba9580896f,14,20C,45
Pda9C589E0n;ba6ADB34Af,14,20C,45
Pda979F2E4n;ba959778Ef,14,20C,45
Pda92E5BEAn;ba6A96662f,14,20C,45
Pda8E2C4F0n;ba950DDBEf,14,20C,45
Pda8972DF5n;ba6A3AA82f,14,20C,45
Pda84B96FAn;ba935A152f,14,20C,45
-
C0002
Pda8000000 ;ba6C611C4f,14,20C,45
Pda84B96FAn;ba8F0D2D0f,14,20C,46
Pda8972DF5n;ba7319473f,14,20C,46
Pda8E2C4F0n;ba8A6486Bf,14,20C,46
Pda92E5BEAn;ba7C0ED5Df,14,20C,46
Pda979F2E4n;ba7E7A187f,14,20C,46
Pda9C589E0n;ba87CB650f,14,20C,47
PdaA1120DCn;ba75E047Df,14,20C,46
PdaA5CB7D4n;ba8DE3036f,14,20C,46
PdaAA84ED0n;ba6E87906f,14,20C,46
PdaAF3E5C8n;ba9580896f,14,20C,45
PdaB3F7CC4n;ba6AC4452f,14,20C,45
PdaB8B13C0n;ba956999Ef,14,20C,45
PdaBD6AAB8n;ba6A96662f,14,20C,45
PdaC2241B8n;ba9552AA6f,14,20C,45
PdaC6DD8A8n;ba6AAD55Af,14,20C,45
PdaCB96FA8n;ba9411914f,14,20C,45
PdaD0506A8n;ba6A96662f,14,20C,45
PdaD509DA0n;ba918F5F2f,14,20C,46
PdaD9C3498n;ba7052467f,14,20C,46
PdaDE7CB90n;ba8CFDA86f,14,20C,46
PdaE336290n;ba784B8A8f,14,20C,46
PdaE7EF988n;ba847AC74f,14,20C,46
PdaECA9080n;ba83F12A3f,14,20C,47
PdaF162780n;ba7879698f,14,20C,46
PdaF61BE78n;ba8B1C02Bf,14,20C,46
PdaFAD5570n;ba71D82E2f,14,20C,46
PdaFF8EC70n;ba928BA9Af,14,20C,46
Pda8021DD3u;ba6AC4452f,14,20C,45
Pda802312Du;ba956999Ef,14,20C,45
Pda8024487u;ba6AC4452f,14,20C,45
Pda80257E1u;ba959778Ef,14,20C,45
Pda8026B3Bu;ba6AAD55Af,14,20C,45
Pda8027E95u;ba94C90D6f,14,20C,45
Pda80291EEu;ba69DEEA2f,14,20C,45
Pda802A548u;ba92E767Af,14,20C,46
Pda802B8A2u;ba6D74566f,14,20C,45
Pda802CBFCu;ba8E27D1Ef,14,20C,46
Pda802DF56u;ba749F2ECf,14,20C,46
Pda802F2B0u;ba88C7AF9f,14,20C,46
Pda803060Au;ba7E6328Ff,14,20C,46
Pda8031963u;ba7BE0F6Cf,14,20C,46
Pda8032CBDu;ba88C7AF9f,14,20C,46
Pda8034017u;ba749F2ECf,14,20C,46
Pda8035371u;ba8F3B0BFf,14,20C,46
Pda80366CBu;ba6CEAB94f,14,20C,45
Pda8037A25u;ba9580896f,14,20C,45
Pda8038D7Eu;ba6ADB34Af,14,20C,45
Pda803A0D8u;ba9580896f,14,20C,45
Pda803B432u;ba6A96662f,14,20C,45
Pda803C78Cu;ba953BBAEf,14,20C,45
Pda803DAE6u;ba6A68872f,14,20C,45
Pda803EE40u;ba939EE3Cf,14,20C,45
Pda804019Au;ba6B36F2Af,14,20C,45
Pda80414F3u;ba9020670f,14,20C,46
Pda804284Du;ba71935F9f,14,20C,46
Pda8043BA7u;ba8C184D4f,14,20C,46
Pda8044F01u;ba7A441FBf,14,20C,46
Pda804625Bu;ba81B3C69f,14,20C,46
Pda80475B5u;ba868A4BEf,14,20C,47
Pda804890Fu;ba7738507f,14,20C,46
Pda8049C68u;ba8C740B5f,14,20C,46
Pda804AFC2u;ba703B571f,14,20C,46
Pda804C31Cu;ba943F706f,14,20C,46
Pda804D676u;ba6AC4452f,14,20C,45
Pda804E9D0u;ba9552AA6f,14,20C,45
Pda804FD2Au;ba6AAD55Af,14,20C,45
Pda8051083u;ba956999Ef,14,20C,45
Pda80523DDu;ba6AAD55Af,14,20C,45
Pda8053737u;ba946D4F4f,14,20C,45
Pda8054A91u;ba69DEEA2f,14,20C,45
Pda8055DEBu;ba922FEBCf,14,20C,46
Pda8057145u;ba6EFA3DEf,14,20C,46
Pda805849Fu;ba8D9E34Ef,14,20C,46
Pda80597F8u;ba7697C3Ff,14,20C,46
Pda805AB52u;ba86B82AFf,14,20C,46
Pda805BEACu;ba819CD71f,14,20C,46
Pda805D206u;ba798CA3Af,14,20C,46
Pda805E560u;ba89F1D92f,14,20C,46
Pda805F8BAu;ba7319473f,14,20C,46
Pda8060C14u;ba9105C22f,14,20C,46
Pda8061F6Du;ba6B4DE22f,14,20C,45
Pda80632C7u;ba9580896f,14,20C,45
Pda8064621u;ba6ADB34Af,14,20C,45
Pda806597Bu;ba959778Ef,14,20C,45
Pda8066CD5u;ba6A96662f,14,20C,45
Pda806802Fu;ba950DDBEf,14,20C,45
Pda8069388u;ba69DEEA2f,14,20C,45
Pda806A6E2u;ba92FE574f,14,20C,46
Pda806BA3Cu;ba6C333D4f,14,20C,45
Pda806CD96u;ba8EDF4DFf,14,20C,46
Pda806E0F0u;ba733036Bf,14,20C,46
Pda806F44Au;ba8A9265Bf,14,20C,46
Pda80707A4u;ba7C6A93Df,14,20C,46
Pda8071AFDu;ba7E7A187f,14,20C,46
Pda8072E57u;ba8810338f,14,20C,47
Pda80741B1u;ba75C9586f,14,20C,46
Pda807550Bu;ba8DF9F2Ef,14,20C,46
Pda8076865u;ba6E59B16f,14,20C,46
Pda8077BBFu;ba9580896f,14,20C,45
Pda8078F19u;ba6ADB34Af,14,20C,45
Pda807A272u;ba956999Ef,14,20C,45
Pda8078F19u;ba6A96662f,14,20C,45
Pda8077BBFu;ba9552AA6f,14,20C,45
Pda8076865u;ba6A7F76Af,14,20C,45
Pda807550Bu;ba93FAA1Cf,14,20C,45
Pda80741B1u;ba6A68872f,14,20C,45
Pda8072E57u;ba9133A12f,14,20C,46
Pda8071AFDu;ba7052467f,14,20C,46
Pda80707A4u;ba8D1497Df,14,20C,46
Pda806F44Au;ba7890591f,14,20C,46
Pda806E0F0u;ba8491B6Cf,14,20C,46
Pda806CD96u;ba8435F8Cf,14,20C,47
Pda806BA3Cu;ba7890591f,14,20C,46
Pda806A6E2u;ba8B1C02Bf,14,20C,46
Pda8069388u;ba71D82E2f,14,20C,46
Pda806802Fu;ba928BA9Af,14,20C,46
Pda8066CD5u;ba6AC4452f,14,20C,45
Pda806597Bu;ba9552AA6f,14,20C,45
Pda8064621u;ba6AC4452f,14,20C,45
Pda80632C7u;ba959778Ef,14,20C,45
Pda8061F6Du;ba6AAD55Af,14,20C,45
Pda8060C14u;ba94DFFCCf,14,20C,45
Pda805F8BAu;ba69C7FAAf,14,20C,45
Pda805E560u;ba92D0782f,14,20C,46
Pda805D206u;ba6D2F87Ef,14,20C,45
Pda805BEACu;ba8E3EC16f,14,20C,46
Pda805AB52u;ba744370Cf,14,20C,46
Pda80597F8u;ba89514CAf,14,20C,46
Pda805849Fu;ba7DD98BEf,14,20C,46
Pda8057145u;ba7C9872Df,14,20C,46
Pda8055DEBu;ba8899D09f,14,20C,47
Pda8054A91u;ba74FAECDf,14,20C,46
Pda8053737u;ba8EC85E7f,14,20C,46
Pda80523DDu;ba6D74566f,14,20C,45
