e
M0007
Pda8000000 ;ba2598230f,14,215,40
Pda3DDBE48n;ba7F8C736p,10,20C,40
Pda3922758n;ba7F842BCp,10,20C,41
Pda3469058n;ba7F7CF24p,10,20C,40
Pda2FAF958n;ba7F748D4p,10,20C,41
Pda2AF6260n;ba7F6D945p,10,20C,40
Pda263CB68n;ba7F65410p,10,20C,41
Pda2183470n;ba7F5ECF1p,10,20C,40
Pda1CC9D70n;ba7F56AABp,10,20C,40
Pda1810678n;ba7F50563p,10,20C,40
Pda1356F80n;ba7F488FCp,10,20C,40
Pda0E9D880n;ba7F42B68p,10,20C,41
Pda09E4188n;ba7F3B658p,10,20C,40
Pda052AA90n;ba7F35DE7p,10,20C,41
Pda0071390n;ba7F2F31Ep,10,20C,40
Pda7FDE22Du;ba7F2A08Cp,10,20C,41
Pda7FDCED3u;ba7F23E91p,10,20C,40
Pda7FDBB79u;ba7F1F29Bp,10,20C,41
Pda7FDA81Fu;ba7F19CBCp,10,20C,40
Pda7FD94C5u;ba7F155E8p,10,20C,42
Pda7FD816Bu;ba7F10AAEp,10,20C,40
Pda7FD6E12u;ba7F0C7E4p,10,20C,42
Pda7FD5AB8u;ba7F08634p,10,20C,40
Pda7FD475Eu;ba7F04774p,10,20C,42
Pda7FD3404u;ba7F00D1Bp,10,20C,40
Pda7FD20AAu;ba7EFD030p,10,20C,41
Pda7FD0D50u;ba7EF9F61p,10,20C,40
Pda7FCF9F6u;ba7EF615Dp,10,20C,41
Pda7FCE69Du;ba7EF3206p,10,20C,40
Pda7FCD343u;ba7EEF4BDp,10,20C,41
Pda7FCBFE9u;ba7EEC6DEp,10,20C,40
Pda7FCAC8Fu;ba7EE8648p,10,20C,41
Pda7FC9935u;ba7EE5983p,10,20C,40
Pda7FC85DBu;ba7EE159Fp,10,20C,41
Pda7FC7282u;ba7EDE704p,10,20C,40
Pda7FC5F28u;ba7ED9DA0p,10,20C,41
Pda7FC4BCEu;ba7ED6CD1p,10,20C,40
Pda7FC3874u;ba7ED1FC1p,10,20C,41
Pda7FC251Au;ba7ECEAE9p,10,20C,41
Pda7FC11C0u;ba7EC98B5p,10,20C,40
Pda7FBFE66u;ba7EC5E5Cp,10,20C,41
Pda7FBEB0Du;ba7EC087Dp,10,20C,40
Pda7FBD7B3u;ba7EBC7E7p,10,20C,41
Pda7FBC459u;ba7EB6DFFp,10,20C,40
Pda7FBB0FFu;ba7EB272Cp,10,20C,41
Pda7FB9DA5u;ba7EACF19p,10,20C,40
Pda7FB8A4Bu;ba7EA7F19p,10,20C,41
Pda7FB76F1u;ba7EA2128p,10,20C,40
Pda7FB6398u;ba7E9C915p,10,20C,41
Pda7FB76F1u;ba7EBEA08p,10,20C,40
Pda7FB8A4Bu;ba7ED77D3p,10,20C,40
Pda7FB9DA5u;ba7EEBD54p,10,20C,40
Pda7FBB0FFu;ba7EFD1A8p,10,20C,40
Pda7FBC459u;ba7F0CAD4p,10,20C,40
Pda7FBD7B3u;ba7F1A413p,10,20C,40
Pda7FBEB0Du;ba7F271F1p,10,20C,40
Pda7FBFE66u;ba7F32506p,10,20C,40
Pda7FC11C0u;ba7F3D5E7p,10,20C,40
Pda7FC251Au;ba7F46D76p,10,20C,40
Pda7FC3874u;ba7F50C5Cp,10,20C,40
Pda7FC4BCEu;ba7F5901Ap,10,20C,40
Pda7FC5F28u;ba7F622E3p,10,20C,40
Pda7FC7282u;ba7F697F3p,10,20C,40
Pda7FC85DBu;ba7F71FBBp,10,20C,40
Pda7FC9935u;ba7F7890Dp,10,20C,40
Pda7FCAC8Fu;ba7F808C1p,10,20C,40
Pda7FCBFE9u;ba7F86A5Ep,10,20C,40
Pda7FCD343u;ba7F8E2BCp,10,20C,40
Pda7FCE69Du;ba7F93E7Ap,10,20C,40
Pda7FCF9F6u;ba7F9B03Dp,10,20C,40
Pda7FD0D50u;ba7FA090Bp,10,20C,40
Pda7FD20AAu;ba7FA72BBp,10,20C,40
Pda7FD3404u;ba7FAC956p,10,20C,41
Pda7FD475Eu;ba7FB2F5Ap,10,20C,40
Pda7FD5AB8u;ba7FB8363p,10,20C,41
Pda7FD6E12u;ba7FBE389p,10,20C,40
Pda7FD816Bu;ba7FC37F0p,10,20C,41
Pda7FD94C5u;ba7FC91D8p,10,20C,40
Pda7FDA81Fu;ba7FCE7B7p,10,20C,41
Pda7FDBB79u;ba7FD3CDAp,10,20C,40
Pda7FDCED3u;ba7FD919Fp,10,20C,41
Pda7FDE22Du;ba7FDE2B9p,10,20C,40
Pda0071390n;ba10E7E50f,14,20C,41
Pda052AA90n;ba23738E8f,14,20C,40
Pda09E4188n;ba38985A0f,14,20C,41
Pda0E9D880n;ba4A3EA88f,14,20C,40
Pda1356F80n;ba5EF0C64f,14,20C,41
Pda1810678n;ba6FB1BA0f,14,20C,40
Pda1CC9D70n;ba84A8A65f,14,20C,41
Pda2183470n;ba94565FCf,14,20C,40
Pda263CB68n;baA87EE0Cf,14,20C,41
Pda2AF6260n;baB7751E0f,14,20C,40
Pda2FAF958n;baCC6C0A0f,14,20C,41
Pda3469058n;baDA4F0D8f,14,20C,40
Pda3922758n;baEEBC5D0f,14,20C,40
Pda3DDBE48n;baFC15C38f,10,20C,41
Pda4295548n;ba8024E16p,10,20C,40
Pda474EC40n;ba8028407p,10,20C,41
Pda4C0833Cn;ba802D118p,10,20C,40
Pda50C1A38n;ba8030881p,10,20C,41
Pda557B130n;ba8035300p,10,20C,40
Pda5A3482Cn;ba80388F2p,10,20C,41
Pda5EEDF24n;ba803CEABp,10,20C,40
Pda63A7620n;ba80406D0p,10,20C,42
Pda6860D1Cn;ba80447C5p,10,20C,40
Pda6D1A416n;ba8048048p,10,20C,41
Pda71D3B10n;ba804BCD5p,10,20C,40
Pda768D20Bn;ba804F6D0p,10,20C,42
Pda7B46906n;ba8052FB1p,10,20C,40
Pda8000000 ;ba8056893p,10,20C,42
Pda84B96FAn;ba8059D0Dp,10,20C,40
Pda8972DF5n;ba805D8DDp,10,20C,41
Pda8E2C4F0n;ba8060892p,10,20C,40
Pda92E5BEAn;ba80644C1p,10,20C,42
Pda979F2E4n;ba806706Cp,10,20C,40
Pda9C589E0n;ba806AC9Bp,10,20C,41
PdaA1120DCn;ba806D43Dp,10,20C,40
PdaA5CB7D4n;ba8070FB0p,10,20C,41
PdaAA84ED0n;ba8073462p,10,20C,40
PdaAF3E5C8n;ba8076F1Ap,10,20C,41
PdaB3F7CC4n;ba8079021p,10,20C,41
PdaB8B13C0n;ba807C8A4p,10,20C,41
PdaBD6AAB8n;ba807E719p,10,20C,41
PdaC2241B8n;ba8081DC7p,10,20C,41
PdaC6DD8A8n;ba80838EFp,10,20C,41
PdaCB96FA8n;ba8086CADp,10,20C,40
PdaD0506A8n;ba8088719p,10,20C,41
PdaD509DA0n;ba808B6CEp,10,20C,40
PdaD9C3498n;ba808CC74p,10,20C,42
PdaDE7CB90n;ba808F87Ep,10,20C,40
PdaE336290n;ba809128Cp,10,20C,42
PdaE7EF988n;ba809379Cp,10,20C,40
PdaECA9080n;ba80952C4p,10,20C,42
PdaF162780n;ba8097253p,10,20C,40
PdaF61BE78n;ba8098CBFp,10,20C,42
PdaFAD5570n;ba809A8A3p,10,20C,40
PdaFF8EC70n;ba809C253p,10,20C,42
Pda8021DD3u;ba809D971p,10,20C,40
Pda802312Du;ba809F499p,10,20C,42
Pda8024487u;ba80A0750p,10,20C,40
Pda80257E1u;ba80A215Ep,10,20C,41
Pda8026B3Bu;ba80A2EF2p,10,20C,40
Pda8027E95u;ba80A48A2p,10,20C,41
Pda80291EEu;ba80A528Bp,10,20C,40
Pda802A548u;ba80A6BDDp,10,20C,41
Pda802B8A2u;ba80A71BCp,10,20C,40
Pda802CBFCu;ba80A8BCAp,10,20C,41
Pda802DF56u;ba80A8E5Cp,10,20C,40
Pda802F2B0u;ba80AA86Ap,10,20C,41
Pda803060Au;ba80AA8C8p,10,20C,41
Pda8031963u;ba80AC1BCp,10,20C,41
Pda8032CBDu;ba80AC044p,10,20C,41
Pda8034017u;ba80AD81Fp,10,20C,40
Pda8035371u;ba80AD649p,10,20C,41
Pda80366CBu;ba80AEB92p,10,20C,40
Pda8037A25u;ba80AEA78p,10,20C,41
Pda8038D7Eu;ba80AFD8Dp,10,20C,40
Pda803A0D8u;ba80AFD8Dp,10,20C,41
Pda803B432u;ba80B0D54p,10,20C,40
Pda803C78Cu;ba80B0F2Ap,10,20C,41
Pda803DAE6u;ba80B1BA4p,10,20C,40
Pda803EE40u;ba80B1EF2p,10,20C,41
Pda804019Au;ba80B28DAp,10,20C,40
Pda80414F3u;ba80B2F17p,10,20C,41
Pda804284Du;ba80B3610p,10,20C,40
Pda8043BA7u;ba80B3E23p,10,20C,41
Pda8044F01u;ba80B4057p,10,20C,40
Pda804625Bu;ba80B4AFBp,10,20C,41
Pda80475B5u;ba80B4E49p,10,20C,40
Pda804890Fu;ba80B5AC3p,10,20C,41
Pda8049C68u;ba80B5C3Ap,10,20C,40
Pda804890Fu;ba8096CD2p,10,20C,40
Pda80475B5u;ba807FF52p,10,20C,40
Pda804625Bu;ba806ECD3p,10,20C,40
Pda8044F01u;ba805F929p,10,20C,40
Pda8043BA7u;ba8054268p,10,20C,40
Pda804284Du;ba8048DDCp,10,20C,40
Pda80414F3u;ba804072Ep,10,20C,40
Pda804019Au;ba8037A44p,10,20C,40
Pda803EE40u;ba803143Fp,10,20C,40
Pda803DAE6u;ba802A1C1p,10,20C,40
Pda803C78Cu;ba8025163p,10,20C,40
Pda803B432u;baF9D85F8f,10,20C,40
Pda803A0D8u;baE9A1090f,14,20C,40
Pda8038D7Eu;baD630048f,14,20C,40
Pda8037A25u;baC863F08f,14,20C,40
Pda80366CBu;baB7B9EC8f,14,20C,40
Pda8035371u;baABB88F0f,14,20C,40
Pda8034017u;ba9D79CD4f,14,20C,40
Pda8032CBDu;ba9246DB2f,14,20C,40
Pda8031963u;ba85D2CFEf,14,20C,40
Pda803060Au;ba7B8538Cf,14,20C,40
Pda802F2B0u;ba7080258f,14,20C,40
Pda802DF56u;ba661B9EEf,14,20C,40
Pda802CBFCu;ba5C6E944f,14,20C,40
Pda802B8A2u;ba5220FD4f,14,20C,40
Pda802A548u;ba49703D0f,14,20C,40
Pda80291EEu;ba3EC6E80f,14,20C,40
Pda8027E95u;ba3688D58f,14,20C,40
Pda8026B3Bu;ba2B55E38f,14,20C,40
Pda80257E1u;ba23E63C8f,14,20C,40
Pda8024487u;ba18409C0f,14,20C,40
Pda802312Du;ba10E7E50f,14,20C,40
Pda8021DD3u;ba045CEA0f,10,20C,40
PdaFF8EC70n;ba7FDE83Ap,10,20C,40
PdaFAD5570n;ba7FDB3C0p,10,20C,40
PdaF61BE78n;ba7FD9607p,10,20C,40
PdaF162780n;ba7FD5E9Dp,10,20C,40
PdaECA9080n;ba7FD3F6Cp,10,20C,40
PdaE7EF988n;ba7FD062Dp,10,20C,40
PdaE336290n;ba7FCE40Cp,10,20C,40
PdaDE7CB90n;ba7FCAA11p,10,20C,40
PdaD9C3498n;ba7FC8388p,10,20C,41
PdaD509DA0n;ba7FC4B63p,10,20C,40
PdaD0506A8n;ba7FC1F5Ap,10,20C,41
PdaCB96FA8n;ba7FBE445p,10,20C,40
PdaC6DD8A8n;ba7FBB376p,10,20C,41
PdaC2241B8n;ba7FB7861p,10,20C,40
PdaBD6AAB8n;ba7FB4211p,10,20C,41
PdaB8B13C0n;ba7FB069Ep,10,20C,40
PdaB3F7CC4n;ba7FACD01p,10,20C,41
PdaAF3E5C8n;ba7FA9130p,10,20C,40
PdaAA84ED0n;ba7FA4FDEp,10,20C,41
PdaA5CB7D4n;ba7FA1527p,10,20C,40
PdaA1120DCn;ba7F9D02Ap,10,20C,41
Pda9C589E0n;ba7F9939Dp,10,20C,40
Pda979F2E4n;ba7F94A38p,10,20C,41
Pda92E5BEAn;ba7F90E09p,10,20C,40
Pda8E2C4F0n;ba7F8BFDFp,10,20C,41
Pda8972DF5n;ba7F8846Cp,10,20C,40
Pda84B96FAn;ba7F83239p,10,20C,41
-
C0001
Pda8000000 ;ba7F7F60Ap,10,20C,40
Pda7B46906n;ba7F7A379p,10,20C,41
Pda768D20Bn;ba7F7668Ep,10,20C,40
Pda71D3B10n;ba7F7110Dp,10,20C,40
Pda6D1A416n;ba7F6D480p,10,20C,41
Pda6860D1Cn;ba7F67E43p,10,20C,40
Pda63A7620n;ba7F6409Dp,10,20C,41
Pda5EEDF24n;ba7F5EB7Ap,10,20C,40
Pda5A3482Cn;ba7F5AD17p,10,20C,41
Pda557B130n;ba7F55AE4p,10,20C,40
Pda50C1A38n;ba7F51A4Ep,10,20C,41
Pda4C0833Cn;ba7F4CBC5p,10,20C,40
Pda474EC40n;ba7F48B8Dp,10,20C,42
Pda4295548n;ba7F4416Dp,10,20C,40
Pda3DDBE48n;ba7F4001Ap,10,20C,42
Pda3922758n;ba7F3BBD9p,10,20C,40
Pda3469058n;ba7F37AE5p,10,20C,42
Pda2FAF958n;ba7F33C24p,10,20C,40
Pda2AF6260n;ba7F2FB8Ep,10,20C,42
Pda263CB68n;ba7F2C24Fp,10,20C,40
Pda2183470n;ba7F2873Ap,10,20C,42
Pda1CC9D70n;ba7F2531Ep,10,20C,40
Pda1810678n;ba7F214BBp,10,20C,42
Pda1356F80n;ba7F1E621p,10,20C,40
Pda0E9D880n;ba7F1AA50p,10,20C,42
Pda09E4188n;ba7F18250p,10,20C,40
Pda052AA90n;ba7F1473Bp,10,20C,41
Pda0071390n;ba7F12578p,10,20C,41
Pda7FDE22Du;ba7F0EB7Dp,10,20C,41
Pda7FDCED3u;ba7F0CBEDp,10,20C,41
Pda7FDBB79u;ba7F09540p,10,20C,41
Pda7FDA81Fu;ba7F07B32p,10,20C,41
Pda7FD94C5u;ba7F04540p,10,20C,41
Pda7FD816Bu;ba7F02C4Cp,10,20C,41
Pda7FD6E12u;ba7EFFA05p,10,20C,40
Pda7FD5AB8u;ba7EFDFF7p,10,20C,42
Pda7FD475Eu;ba7EFB0FFp,10,20C,40
Pda7FD3404u;ba7EF9401p,10,20C,42
Pda7FD20AAu;ba7EF6508p,10,20C,40
Pda7FD0D50u;ba7EF46F1p,10,20C,42
Pda7FCF9F6u;ba7EF1912p,10,20C,40
Pda7FCE69Du;ba7EEF346p,10,20C,42
Pda7FCD343u;ba7EEC4ABp,10,20C,40
Pda7FCBFE9u;ba7EE98A1p,10,20C,42
Pda7FCAC8Fu;ba7EE694Bp,10,20C,40
Pda7FC9935u;ba7EE36A6p,10,20C,41
Pda7FC85DBu;ba7EE057Ap,10,20C,40
Pda7FC7282u;ba7EDCA65p,10,20C,41
Pda7FC5F28u;ba7ED9649p,10,20C,40
Pda7FC4BCEu;ba7ED53DDp,10,20C,41
Pda7FC3874u;ba7ED1CD1p,10,20C,40
Pda7FC251Au;ba7ECD2B0p,10,20C,41
Pda7FC11C0u;ba7EC98B5p,10,20C,40
Pda7FBFE66u;ba7EC479Cp,10,20C,41
Pda7FBEB0Du;ba7EC09F5p,10,20C,40
Pda7FBD7B3u;ba7EBB1E2p,10,20C,41
Pda7FBC459u;ba7EB6F19p,10,20C,40
Pda7FBB0FFu;ba7EB1185p,10,20C,41
Pda7FB9DA5u;ba7EACF77p,10,20C,40
Pda7FB8A4Bu;ba7EA6A8Cp,10,20C,40
Pda7FB76F1u;ba7EA1FB0p,10,20C,41
Pda7FB6398u;ba7E9B7D6p,10,20C,40
Pda7FB76F1u;ba7EBE65Cp,10,20C,40
Pda7FB8A4Bu;ba7ED65D8p,10,20C,40
Pda7FB9DA5u;ba7EEB3C9p,10,20C,40
Pda7FBB0FFu;ba7EFBEF0p,10,20C,40
Pda7FBC459u;ba7F0BCE2p,10,20C,40
Pda7FBD7B3u;ba7F192D3p,10,20C,40
Pda7FBEB0Du;ba7F25FF6p,10,20C,40
Pda7FBFE66u;ba7F3153Ep,10,20C,40
Pda7FC11C0u;ba7F3C216p,10,20C,40
Pda7FC251Au;ba7F460FCp,10,20C,40
Pda7FC3874u;ba7F4F771p,10,20C,40
Pda7FC4BCEu;ba7F5868Fp,10,20C,40
Pda7FC5F28u;ba7F60B67p,10,20C,40
Pda7FC7282u;ba7F690FAp,10,20C,40
Pda7FC85DBu;ba7F70782p,10,20C,40
Pda7FC9935u;ba7F783E9p,10,20C,40
Pda7FCAC8Fu;ba7F7EFCDp,10,20C,40
Pda7FCBFE9u;ba7F8676Fp,10,20C,40
Pda7FCD343u;ba7F8C90Cp,10,20C,40
Pda7FCE69Du;ba7F93D60p,10,20C,40
Pda7FCF9F6u;ba7F996EBp,10,20C,40
Pda7FD0D50u;ba7FA08ADp,10,20C,40
Pda7FD20AAu;ba7FA5A83p,10,20C,40
Pda7FD3404u;ba7FAC83Cp,10,20C,40
Pda7FD475Eu;ba7FB17DEp,10,20C,40
Pda7FD5AB8u;ba7FB81ECp,10,20C,40
Pda7FD6E12u;ba7FBCF5Ap,10,20C,40
Pda7FD816Bu;ba7FC3500p,10,20C,40
Pda7FD94C5u;ba7FC8155p,10,20C,41
Pda7FDA81Fu;ba7FCE294p,10,20C,40
Pda7FDBB79u;ba7FD2D71p,10,20C,41
Pda7FDCED3u;ba7FD8BC0p,10,20C,40
Pda7FDE22Du;ba7FDD7B7p,10,20C,41
Pda0071390n;ba0EAA818f,14,20C,40
Pda052AA90n;ba21640A0f,14,20C,41
Pda09E4188n;ba35BA6A0f,14,20C,40
Pda0E9D880n;ba48E6A00f,14,20C,41
Pda1356F80n;ba5BFBE6Cf,14,20C,40
Pda1810678n;ba6F281D0f,14,20C,41
Pda1CC9D70n;ba8141191f,14,20C,40
Pda2183470n;ba94843ECf,14,20C,41
Pda263CB68n;baA4E9744f,14,20C,40
Pda2AF6260n;baB843898f,14,20C,41
Pda2FAF958n;baC863F08f,14,20C,40
Pda3469058n;baDBA7168f,14,20C,41
Pda3922758n;baEA86648f,14,20C,40
Pda3DDBE48n;baFDF7690f,10,20C,41
Pda4295548n;ba8023CD6p,10,20C,40
Pda474EC40n;ba8028C1Ap,10,20C,41
Pda4C0833Cn;ba802C1AEp,10,20C,40
Pda50C1A38n;ba8030FD8p,10,20C,41
Pda557B130n;ba80343F4p,10,20C,41
Pda5A3482Cn;ba8039104p,10,20C,41
Pda5EEDF24n;ba803C1D3p,10,20C,41
Pda63A7620n;ba8040D0Ep,10,20C,40
Pda6860D1Cn;ba8043E3Ap,10,20C,41
Pda6D1A416n;ba804850Dp,10,20C,40
Pda71D3B10n;ba804B698p,10,20C,42
Pda768D20Bn;ba804FAD9p,10,20C,40
Pda7B46906n;ba8052C64p,10,20C,42
Pda8000000 ;ba8056A68p,10,20C,40
Pda84B96FAn;ba8059E26p,10,20C,42
Pda8972DF5n;ba805D93Bp,10,20C,40
Pda8E2C4F0n;ba8060DB5p,10,20C,42
Pda92E5BEAn;ba8064405p,10,20C,40
Pda979F2E4n;ba8067821p,10,20C,42
Pda9C589E0n;ba806AB23p,10,20C,40
PdaA1120DCn;ba806DFFBp,10,20C,42
PdaA5CB7D4n;ba8070D7Cp,10,20C,40
PdaAA84ED0n;ba8074310p,10,20C,42
PdaAF3E5C8n;ba8076D44p,10,20C,40
PdaB3F7CC4n;ba807A0A4p,10,20C,42
PdaB8B13C0n;ba807C670p,10,20C,40
PdaBD6AAB8n;ba807FAEAp,10,20C,41
PdaC2241B8n;ba8081B35p,10,20C,40
PdaC6DD8A8n;ba8084E38p,10,20C,41
PdaCB96FA8n;ba8086A79p,10,20C,41
PdaD0506A8n;ba8089D7Bp,10,20C,41
PdaD509DA0n;ba808B670p,10,20C,41
PdaD9C3498n;ba808E2D7p,10,20C,41
PdaDE7CB90n;ba808F93Ap,10,20C,41
PdaE336290n;ba8092832p,10,20C,41
PdaE7EF988n;ba8093B47p,10,20C,41
PdaECA9080n;ba8096751p,10,20C,40
PdaF162780n;ba80978EEp,10,20C,41
PdaF61BE78n;ba8099FD4p,10,20C,40
PdaFAD5570n;ba809B171p,10,20C,42
PdaFF8EC70n;ba809D392p,10,20C,40
Pda8021DD3u;ba809E530p,10,20C,42
Pda802312Du;ba80A0347p,10,20C,40
Pda8024487u;ba80A1542p,10,20C,42
Pda80257E1u;ba80A2D1Dp,10,20C,40
Pda8026B3Bu;ba80A3FD4p,10,20C,41
Pda8027E95u;ba80A5347p,10,20C,40
Pda80291EEu;ba80A6542p,10,20C,41
Pda802A548u;ba80A74ACp,10,20C,40
Pda802B8A2u;ba80A8763p,10,20C,41
Pda802CBFCu;ba80A937Fp,10,20C,40
Pda802DF56u;ba80AA636p,10,20C,41
Pda802F2B0u;ba80AAEA7p,10,20C,40
Pda803060Au;ba80AC21Ap,10,20C,41
Pda8031963u;ba80AC681p,10,20C,40
Pda8032CBDu;ba80ADB0Ep,10,20C,41
Pda8034017u;ba80ADC28p,10,20C,40
Pda8035371u;ba80AF171p,10,20C,41
Pda80366CBu;ba80AF057p,10,20C,40
Pda8037A25u;ba80B05A0p,10,20C,41
Pda8038D7Eu;ba80B02B0p,10,20C,40
Pda803A0D8u;ba80B1857p,10,20C,41
Pda803B432u;ba80B144Dp,10,20C,41
Pda803C78Cu;ba80B28DAp,10,20C,40
Pda803DAE6u;ba80B2473p,10,20C,41
Pda803EE40u;ba80B372Ap,10,20C,40
Pda804019Au;ba80B3498p,10,20C,41
Pda80414F3u;ba80B457Ap,10,20C,40
Pda804284Du;ba80B4402p,10,20C,41
Pda8043BA7u;ba80B530Ep,10,20C,40
Pda8044F01u;ba80B507Cp,10,20C,41
Pda804625Bu;ba80B5D54p,10,20C,40
Pda80475B5u;ba80B60A2p,10,20C,41
Pda804890Fu;ba80B6AE8p,10,20C,40
Pda8049C68u;ba80B7125p,10,20C,41
Pda804890Fu;ba8097A66p,10,20C,40
Pda80475B5u;ba8081323p,10,20C,40
Pda804625Bu;ba806F36Ep,10,20C,40
Pda8044F01u;ba8060B24p,10,20C,40
Pda8043BA7u;ba80543E0p,10,20C,40
Pda804284Du;ba8049D46p,10,20C,40
Pda80414F3u;ba8040383p,10,20C,40
Pda804019Au;ba803877Ap,10,20C,40
Pda803EE40u;ba8030C8Bp,10,20C,40
Pda803DAE6u;ba802AE3Bp,10,20C,40
Pda803C78Cu;ba80246BFp,10,20C,40
Pda803B432u;baFC43A28f,10,20C,40
Pda803A0D8u;baE6953A0f,14,20C,40
Pda8038D7Eu;baD828998f,14,20C,40
Pda8037A25u;baC513530f,14,20C,40
Pda80366CBu;baB956C38f,14,20C,40
Pda8035371u;baA8ACBF8f,14,20C,40
Pda8034017u;ba9EA3F6Ef,14,20C,40
Pda8032CBDu;ba8F68EB0f,14,20C,40
Pda8031963u;ba868A4BEf,14,20C,40
Pda803060Au;ba78EC171f,14,20C,40
Pda802F2B0u;ba70AE049f,14,20C,40
Pda802DF56u;ba63F52AAf,14,20C,40
Pda802CBFCu;ba5BCE07Cf,14,20C,40
Pda802B8A2u;ba509B158f,14,20C,40
Pda802A548u;ba4818348f,14,20C,41
Pda80291EEu;ba3DB3AD8f,14,20C,40
Pda8027E95u;ba34BE1F8f,14,20C,40
Pda8026B3Bu;ba2AE3358f,14,20C,40
Pda80257E1u;ba2191E90f,14,20C,40
Pda8024487u;ba18578C0f,14,20C,40
Pda802312Du;ba0E09F50f,14,20C,41
Pda8021DD3u;ba0514668f,10,20C,40
PdaFF8EC70n;ba7FDDB62p,10,20C,41
PdaFAD5570n;ba7FDB7CAp,10,20C,40
PdaF61BE78n;ba7FD869Dp,10,20C,41
PdaF162780n;ba7FD6362p,10,20C,40
PdaECA9080n;ba7FD2EE8p,10,20C,40
PdaE7EF988n;ba7FD0C0Cp,10,20C,40
PdaE336290n;ba7FCD32Ap,10,20C,40
PdaDE7CB90n;ba7FCAED6p,10,20C,40
PdaD9C3498n;ba7FC7249p,10,20C,40
PdaD509DA0n;ba7FC4FCAp,10,20C,40
PdaD0506A8n;ba7FC0ED6p,10,20C,40
PdaCB96FA8n;ba7FBE6D6p,10,20C,40
PdaC6DD8A8n;ba7FBA40Dp,10,20C,40
PdaC2241B8n;ba7FB791Dp,10,20C,41
PdaBD6AAB8n;ba7FB34DBp,10,20C,40
PdaB8B13C0n;ba7FB046Bp,10,20C,41
PdaB3F7CC4n;ba7FAC029p,10,20C,40
PdaAF3E5C8n;ba7FA8B51p,10,20C,41
PdaAA84ED0n;ba7FA44DCp,10,20C,40
PdaA5CB7D4n;ba7FA0B9Dp,10,20C,41
PdaA1120DCn;ba7F9C69Fp,10,20C,40
Pda9C589E0n;ba7F986C5p,10,20C,41
Pda979F2E4n;ba7F94225p,10,20C,40
Pda92E5BEAn;ba7F8FE42p,10,20C,41
Pda8E2C4F0n;ba7F8B8E6p,10,20C,40
Pda8972DF5n;ba7F870F9p,10,20C,41
Pda84B96FAn;ba7F82C5Ap,10,20C,40
-
C0002
Pda8000000 ;ba7F7DFA7p,10,20C,41
Pda7B46906n;ba7F79E55p,10,20C,40
Pda768D20Bn;ba7F74D3Cp,10,20C,41
Pda71D3B10n;ba7F70B8Cp,10,20C,40
Pda6D1A416n;ba7F6B7E1p,10,20C,41
Pda6860D1Cn;ba7F67806p,10,20C,40
Pda63A7620n;ba7F622E3p,10,20C,41
Pda5EEDF24n;ba7F5E367p,10,20C,40
Pda5A3482Cn;ba7F58EA2p,10,20C,41
Pda557B130n;ba7F551B7p,10,20C,40
Pda50C1A38n;ba7F4FA60p,10,20C,41
Pda4C0833Cn;ba7F4BFA9p,10,20C,41
Pda474EC40n;ba7F46C5Cp,10,20C,40
Pda4295548n;ba7F4337Bp,10,20C,41
Pda3DDBE48n;ba7F3E2BFp,10,20C,40
Pda3922758n;ba7F3AB55p,10,20C,41
Pda3469058n;ba7F35EA3p,10,20C,40
Pda2FAF958n;ba7F32853p,10,20C,42
