e
M0007
Pda8000000 ;ba7EBBFC7p,14,215,40
Pda7FBB0FFu;ba7E60162p,10,20C,40
Pda7FBC459u;ba7E6FAECp,10,20C,40
Pda7FBD7B3u;ba7E7CF08p,10,20C,40
Pda7FBEB0Du;ba7E8B349p,10,20C,40
Pda7FBFE66u;ba7E975C8p,10,20C,40
Pda7FC11C0u;ba7EA4C17p,10,20C,40
Pda7FC251Au;ba7EAFE12p,10,20C,40
Pda7FC3874u;ba7EBC72Bp,10,20C,40
Pda7FC4BCEu;ba7EC6C4Ep,10,20C,40
Pda7FC5F28u;ba7ED2B7Fp,10,20C,40
Pda7FC7282u;ba7EDC541p,10,20C,40
Pda7FC85DBu;ba7EE79CEp,10,20C,40
Pda7FC9935u;ba7EF0CF6p,10,20C,40
Pda7FCAC8Fu;ba7EFB622p,10,20C,40
Pda7FCBFE9u;ba7F04540p,10,20C,40
Pda7FCD343u;ba7F0E250p,10,20C,40
Pda7FCE69Du;ba7F16E7Fp,10,20C,40
Pda7FCF9F6u;ba7F201A6p,10,20C,40
Pda7FD0D50u;ba7F28E91p,10,20C,40
Pda7FD20AAu;ba7F31369p,10,20C,40
Pda7FD3404u;ba7F3A10Fp,10,20C,40
Pda7FD475Eu;ba7F42066p,10,20C,40
Pda7FD5AB8u;ba7F4AA03p,10,20C,40
Pda7FD6E12u;ba7F52202p,10,20C,40
Pda7FD816Bu;ba7F5AC5Bp,10,20C,40
Pda7FD94C5u;ba7F61D04p,10,20C,40
Pda7FDA81Fu;ba7F6A4CBp,10,20C,40
Pda7FDBB79u;ba7F7110Dp,10,20C,40
Pda7FDCED3u;ba7F79587p,10,20C,40
Pda7FDE22Du;ba7F7FD61p,10,20C,40
Pda0071390n;ba7F87FA7p,10,20C,40
Pda052AA90n;ba7F8E200p,10,20C,40
Pda09E4188n;ba7F96157p,10,20C,40
Pda0E9D880n;ba7F9BEEAp,10,20C,40
Pda1356F80n;ba7FA397Cp,10,20C,40
Pda1810678n;ba7FA9364p,10,20C,40
Pda1CC9D70n;ba7FB0874p,10,20C,40
Pda2183470n;ba7FB6143p,10,20C,40
Pda263CB68n;ba7FBCAF3p,10,20C,40
Pda2AF6260n;ba7FC241Fp,10,20C,41
Pda2FAF958n;ba7FC8792p,10,20C,40
Pda3469058n;ba7FCDEE9p,10,20C,41
Pda3922758n;ba7FD3759p,10,20C,40
Pda3DDBE48n;ba7FD8FCAp,10,20C,41
Pda4295548n;ba7FDDD38p,10,20C,40
Pda474EC40n;ba0FD4AA8f,14,20C,41
Pda4C0833Cn;ba21084C0f,14,20C,40
Pda50C1A38n;ba35A37A0f,14,20C,40
Pda557B130n;ba44C7968f,14,20C,40
Pda5A3482Cn;ba58D9280f,14,20C,40
Pda5EEDF24n;ba661B9EEf,14,20C,40
Pda63A7620n;ba7947D51f,14,20C,40
Pda6860D1Cn;ba8560225f,14,20C,40
Pda6D1A416n;ba97791E8f,14,20C,40
Pda71D3B10n;baA267424f,14,20C,40
Pda768D20Bn;baB3B1D2Cf,14,20C,40
Pda7B46906n;baBD75CCCf,14,20C,40
Pda8000000 ;baCDF1F20f,14,20C,40
Pda84B96FAn;baD6D0910f,14,20C,40
Pda8972DF5n;baE6953A0f,14,20C,40
Pda8E2C4F0n;baEF181B0f,14,20C,40
Pda92E5BEAn;baFD9BAB0f,10,20C,40
Pda979F2E4n;ba8022674p,10,20C,41
Pda9C589E0n;ba8025A90p,10,20C,40
PdaA1120DCn;ba8027FFEp,10,20C,41
PdaA5CB7D4n;ba802AE99p,10,20C,40
PdaAA84ED0n;ba802D8CCp,10,20C,41
PdaAF3E5C8n;ba802FEF7p,10,20C,40
PdaB3F7CC4n;ba8032CD6p,10,20C,41
PdaB8B13C0n;ba8034DDDp,10,20C,40
PdaBD6AAB8n;ba8037BBCp,10,20C,41
PdaC2241B8n;ba80399D3p,10,20C,40
PdaC6DD8A8n;ba803CB5Ep,10,20C,40
PdaCB96FA8n;ba803E50Ep,10,20C,40
PdaD0506A8n;ba8041754p,10,20C,40
PdaD509DA0n;ba8043104p,10,20C,40
PdaD9C3498n;ba8046175p,10,20C,40
PdaDE7CB90n;ba8047BE1p,10,20C,40
PdaE336290n;ba804B117p,10,20C,40
PdaE7EF988n;ba804CAC7p,10,20C,40
PdaECA9080n;ba80502ECp,10,20C,40
PdaF162780n;ba8051E72p,10,20C,40
PdaF61BE78n;ba8055929p,10,20C,40
PdaFAD5570n;ba805785Ap,10,20C,40
PdaFF8EC70n;ba805B601p,10,20C,40
Pda8021DD3u;ba805DC2Bp,10,20C,41
Pda802312Du;ba8061A2Fp,10,20C,40
Pda8024487u;ba8064A42p,10,20C,41
Pda80257E1u;ba8068A1Cp,10,20C,40
Pda8026B3Bu;ba806C2FEp,10,20C,41
Pda8027E95u;ba80702D8p,10,20C,40
Pda80291EEu;ba8074891p,10,20C,41
Pda802A548u;ba80787B0p,10,20C,40
Pda802B8A2u;ba807D5DAp,10,20C,41
Pda802CBFCu;ba8081846p,10,20C,40
Pda802DF56u;ba8086CADp,10,20C,40
Pda802F2B0u;ba808AF77p,10,20C,40
Pda803060Au;ba80909BDp,10,20C,40
Pda8031963u;ba8094B6Dp,10,20C,40
Pda8032CBDu;ba809A611p,10,20C,40
Pda8034017u;ba809E81Fp,10,20C,40
Pda8035371u;ba80A4265p,10,20C,40
Pda80366CBu;ba80A7E94p,10,20C,40
Pda8037A25u;ba80AD5EBp,10,20C,40
Pda8038D7Eu;ba80B0DB2p,10,20C,40
Pda803A0D8u;ba80B5E6Ep,10,20C,40
Pda803B432u;ba80B8D09p,10,20C,40
Pda803C78Cu;ba80BD43Ap,10,20C,40
Pda803DAE6u;ba80BFB20p,10,20C,41
Pda803EE40u;ba80C3402p,10,20C,40
Pda804019Au;ba80C5219p,10,20C,41
Pda80414F3u;ba80C7CAAp,10,20C,40
Pda804284Du;ba80C9251p,10,20C,41
Pda8043BA7u;ba80CAB45p,10,20C,40
Pda8044F01u;ba80CB937p,10,20C,41
Pda804625Bu;ba80CC206p,10,20C,40
Pda80475B5u;ba80CCE80p,10,20C,41
Pda804890Fu;ba80CCA19p,10,20C,40
Pda8049C68u;ba80CCFF8p,10,20C,41
Pda804890Fu;ba80B4A9Dp,10,20C,40
Pda80475B5u;ba80A250Ap,10,20C,40
Pda804625Bu;ba809122Ep,10,20C,40
Pda8044F01u;ba8083833p,10,20C,40
Pda8043BA7u;ba807600Ep,10,20C,40
Pda804284Du;ba806B160p,10,20C,40
Pda80414F3u;ba805F986p,10,20C,40
Pda804019Au;ba80569ACp,10,20C,40
Pda803EE40u;ba804C94Fp,10,20C,40
Pda803DAE6u;ba8044F1Bp,10,20C,40
Pda803C78Cu;ba803BE85p,10,20C,40
Pda803B432u;ba8035244p,10,20C,40
Pda803A0D8u;ba802CDCAp,10,20C,40
Pda8038D7Eu;ba8026824p,10,20C,40
Pda8037A25u;baF897468f,10,20C,40
Pda80366CBu;baE038CD0f,14,20C,40
Pda8035371u;baC472C68f,14,20C,40
Pda8034017u;baABFD5D4f,14,20C,41
Pda8032CBDu;ba91A64EAf,14,20C,40
Pda8031963u;ba781DAB9f,14,20C,41
Pda803060Au;ba5FBF320f,14,20C,40
Pda802F2B0u;ba450C658f,14,20C,40
Pda802DF56u;ba2D7C578f,14,20C,40
Pda802CBFCu;ba12C98B0f,14,20C,40
Pda802B8A2u;ba7FDE4EDp,10,20C,40
Pda802A548u;ba7FD75BCp,10,20C,40
Pda80291EEu;ba7FD1FDDp,10,20C,40
Pda8027E95u;ba7FCB3F9p,10,20C,40
Pda8026B3Bu;ba7FC61C6p,10,20C,40
Pda80257E1u;ba7FBF930p,10,20C,40
Pda8024487u;ba7FBAEB1p,10,20C,40
Pda802312Du;ba7FB4B9Cp,10,20C,40
Pda8021DD3u;ba7FB08D2p,10,20C,40
PdaFF8EC70n;ba7FAAE8Cp,10,20C,40
PdaFAD5570n;ba7FA7609p,10,20C,40
PdaF61BE78n;ba7FA2723p,10,20C,40
PdaF162780n;ba7F9F8E6p,10,20C,40
PdaECA9080n;ba7F9B67Ap,10,20C,40
PdaE7EF988n;ba7F98F94p,10,20C,41
PdaE336290n;ba7F95E09p,10,20C,40
PdaDE7CB90n;ba7F93ED8p,10,20C,41
PdaD9C3498n;ba7F919C8p,10,20C,40
PdaD509DA0n;ba7F900D3p,10,20C,41
PdaD0506A8n;ba7F8EB2Dp,10,20C,40
PdaCB96FA8n;ba7F8D0C1p,10,20C,41
PdaC6DD8A8n;ba7F8C4A5p,10,20C,40
PdaC2241B8n;ba7F8AD86p,10,20C,41
PdaBD6AAB8n;ba7F8A62Fp,10,20C,40
PdaB8B13C0n;ba7F88D3Bp,10,20C,40
PdaB3F7CC4n;ba7F88B07p,10,20C,40
PdaAF3E5C8n;ba7F86F82p,10,20C,40
PdaAA84ED0n;ba7F86C34p,10,20C,40
PdaA5CB7D4n;ba7F85050p,10,20C,40
PdaA1120DCn;ba7F84D61p,10,20C,40
Pda9C589E0n;ba7F82EEBp,10,20C,40
Pda979F2E4n;ba7F82B40p,10,20C,40
Pda92E5BEAn;ba7F80A39p,10,20C,40
Pda8E2C4F0n;ba7F805D2p,10,20C,40
Pda8972DF5n;ba7F7E353p,10,20C,40
Pda84B96FAn;ba7F7DBFCp,10,20C,40
-
C0001
Pda8000000 ;ba7F7B91Fp,10,20C,40
Pda7B46906n;ba7F7AE7Bp,10,20C,41
Pda768D20Bn;ba7F78DD2p,10,20C,40
Pda71D3B10n;ba7F77B79p,10,20C,41
Pda6D1A416n;ba7F75D03p,10,20C,40
Pda6860D1Cn;ba7F745E5p,10,20C,41
Pda63A7620n;ba7F72B79p,10,20C,40
Pda5EEDF24n;ba7F70A72p,10,20C,41
Pda5A3482Cn;ba7F6F298p,10,20C,40
Pda557B130n;ba7F6CCCBp,10,20C,41
Pda50C1A38n;ba7F6B201p,10,20C,40
Pda4C0833Cn;ba7F6859Ap,10,20C,40
Pda474EC40n;ba7F66CA6p,10,20C,40
Pda4295548n;ba7F6388Ap,10,20C,40
Pda3DDBE48n;ba7F61A15p,10,20C,40
Pda3922758n;ba7F5E077p,10,20C,40
Pda3469058n;ba7F5BC81p,10,20C,40
Pda2FAF958n;ba7F57B2Fp,10,20C,40
Pda2AF6260n;ba7F550FBp,10,20C,40
Pda263CB68n;ba7F5067Dp,10,20C,40
Pda2183470n;ba7F4D7E2p,10,20C,40
Pda1CC9D70n;ba7F48494p,10,20C,40
Pda1810678n;ba7F44B55p,10,20C,40
Pda1356F80n;ba7F3F16Dp,10,20C,40
Pda0E9D880n;ba7F3AEA3p,10,20C,40
Pda09E4188n;ba7F3510Fp,10,20C,40
Pda052AA90n;ba7F3016Dp,10,20C,41
Pda0071390n;ba7F2A08Cp,10,20C,40
Pda7FDE22Du;ba7F247BEp,10,20C,41
Pda7FDCED3u;ba7F1E621p,10,20C,40
Pda7FDBB79u;ba7F17FBEp,10,20C,41
Pda7FDA81Fu;ba7F120B3p,10,20C,40
Pda7FD94C5u;ba7F0B2F9p,10,20C,40
Pda7FD816Bu;ba7F05042p,10,20C,40
Pda7FD6E12u;ba7EFDBEEp,10,20C,40
Pda7FD5AB8u;ba7EF7995p,10,20C,40
Pda7FD475Eu;ba7EF001Ep,10,20C,40
Pda7FD3404u;ba7EE9CABp,10,20C,40
Pda7FD20AAu;ba7EE20FFp,10,20C,40
Pda7FD0D50u;ba7EDBCD1p,10,20C,40
Pda7FCF9F6u;ba7ED3DD8p,10,20C,40
Pda7FCE69Du;ba7ECDA07p,10,20C,40
Pda7FCD343u;ba7EC587Dp,10,20C,40
Pda7FCBFE9u;ba7EBF4ACp,10,20C,40
Pda7FCAC8Fu;ba7EB72C4p,10,20C,40
Pda7FC9935u;ba7EB0F51p,10,20C,40
Pda7FC85DBu;ba7EA8DC7p,10,20C,40
Pda7FC7282u;ba7EA2820p,10,20C,40
Pda7FC5F28u;ba7E9AA42p,10,20C,40
Pda7FC4BCEu;ba7E9420Ap,10,20C,40
Pda7FC3874u;ba7E8C892p,10,20C,40
Pda7FC251Au;ba7E85E26p,10,20C,41
Pda7FC11C0u;ba7E7EA30p,10,20C,40
Pda7FBFE66u;ba7E77AA1p,10,20C,41
Pda7FBEB0Du;ba7E70E5Fp,10,20C,40
Pda7FBD7B3u;ba7E6994Fp,10,20C,40
Pda7FBC459u;ba7E63231p,10,20C,40
Pda7FBB0FFu;ba7E5BC65p,10,20C,40
Pda7FB9DA5u;ba7E55C40p,10,20C,40
Pda7FB8A4Bu;ba7E4E2C8p,10,20C,40
Pda7FB76F1u;ba7E48478p,10,20C,40
Pda7FB6398u;ba7E40C1Bp,10,20C,40
Pda7FB76F1u;ba7E55BE2p,10,20C,40
Pda7FB8A4Bu;ba7E65D7Ep,10,20C,40
Pda7FB9DA5u;ba7E7649Cp,10,20C,40
Pda7FBB0FFu;ba7E83C05p,10,20C,40
Pda7FBC459u;ba7E926E2p,10,20C,40
Pda7FBD7B3u;ba7E9E72Cp,10,20C,40
Pda7FBEB0Du;ba7EABE38p,10,20C,40
Pda7FBFE66u;ba7EB6D43p,10,20C,40
Pda7FC11C0u;ba7EC32B1p,10,20C,40
Pda7FC251Au;ba7ECD542p,10,20C,40
Pda7FC3874u;ba7ED8BA4p,10,20C,40
Pda7FC4BCEu;ba7EE26DFp,10,20C,40
Pda7FC5F28u;ba7EECD1Bp,10,20C,40
Pda7FC7282u;ba7EF62D4p,10,20C,40
Pda7FC85DBu;ba7EFFB7Dp,10,20C,40
Pda7FC9935u;ba7F08FBFp,10,20C,40
Pda7FCAC8Fu;ba7F11A18p,10,20C,40
Pda7FCBFE9u;ba7F1AC25p,10,20C,40
Pda7FCD343u;ba7F22DB0p,10,20C,40
Pda7FCE69Du;ba7F2BCCEp,10,20C,40
Pda7FCF9F6u;ba7F3352Bp,10,20C,40
Pda7FD0D50u;ba7F3C2D2p,10,20C,40
Pda7FD20AAu;ba7F4337Bp,10,20C,40
Pda7FD3404u;ba7F4BE32p,10,20C,40
Pda7FD475Eu;ba7F52CA7p,10,20C,40
Pda7FD5AB8u;ba7F5B354p,10,20C,40
Pda7FD6E12u;ba7F61D62p,10,20C,40
Pda7FD816Bu;ba7F6A23Ap,10,20C,40
Pda7FD94C5u;ba7F707E0p,10,20C,40
Pda7FDA81Fu;ba7F789C9p,10,20C,40
Pda7FDBB79u;ba7F7EC7Fp,10,20C,40
Pda7FDCED3u;ba7F86C92p,10,20C,40
Pda7FDE22Du;ba7F8CD15p,10,20C,40
Pda0071390n;ba7F94749p,10,20C,40
Pda052AA90n;ba7F9A82Ap,10,20C,41
Pda09E4188n;ba7FA1AA8p,10,20C,40
Pda0E9D880n;ba7FA7BE8p,10,20C,41
Pda1356F80n;ba7FAE653p,10,20C,40
Pda1810678n;ba7FB4AE0p,10,20C,41
Pda1CC9D70n;ba7FBAA4Ap,10,20C,40
Pda2183470n;ba7FC104Ep,10,20C,40
Pda263CB68n;ba7FC662Dp,10,20C,40
Pda2AF6260n;ba7FCCA5Cp,10,20C,40
Pda2FAF958n;ba7FD1B17p,10,20C,40
Pda3469058n;ba7FD7E2Cp,10,20C,40
Pda3922758n;ba7FDC791p,10,20C,40
Pda3DDBE48n;ba0C562E8f,14,20C,40
Pda4295548n;ba1D45008f,14,20C,40
Pda474EC40n;ba3338378f,14,20C,40
Pda4C0833Cn;ba4273438f,14,20C,40
Pda50C1A38n;ba57AEFE8f,14,20C,40
Pda557B130n;ba659201Cf,14,20C,40
Pda5A3482Cn;ba79E861Af,14,20C,40
Pda5EEDF24n;ba86457D6f,14,20C,40
Pda63A7620n;ba995AC42f,14,20C,40
Pda6860D1Cn;baA50063Cf,14,20C,40
Pda6D1A416n;baB64AF48f,14,20C,40
Pda71D3B10n;baC1D9A50f,14,20C,41
Pda768D20Bn;baD1597F0f,14,20C,40
Pda7B46906n;baDCE82F0f,14,20C,41
Pda8000000 ;baEA41958f,14,20C,40
Pda84B96FAn;baF687C18f,10,20C,41
Pda8972DF5n;ba80214D6p,10,20C,40
Pda8E2C4F0n;ba8024950p,10,20C,41
Pda92E5BEAn;ba80270F2p,10,20C,40
Pda979F2E4n;ba802A3F5p,10,20C,41
Pda9C589E0n;ba802C78Dp,10,20C,40
PdaA1120DCn;ba802FCC3p,10,20C,40
PdaA5CB7D4n;ba8031A7Cp,10,20C,40
PdaAA84ED0n;ba8035010p,10,20C,40
PdaAF3E5C8n;ba8036D0Ep,10,20C,40
PdaB3F7CC4n;ba803A12Ap,10,20C,40
PdaB8B13C0n;ba803BA7Cp,10,20C,40
PdaBD6AAB8n;ba803EE98p,10,20C,40
PdaC2241B8n;ba8040672p,10,20C,40
PdaC6DD8A8n;ba8043A8Fp,10,20C,40
PdaCB96FA8n;ba80450F1p,10,20C,40
PdaD0506A8n;ba8048451p,10,20C,40
PdaD509DA0n;ba8049B70p,10,20C,40
PdaD9C3498n;ba804CB25p,10,20C,40
PdaDE7CB90n;ba804E708p,10,20C,41
PdaE336290n;ba80515A3p,10,20C,40
PdaE7EF988n;ba80535EEp,10,20C,41
PdaECA9080n;ba805636Fp,10,20C,40
PdaF162780n;ba8058AB3p,10,20C,41
PdaF61BE78n;ba805B36Fp,10,20C,40
PdaFAD5570n;ba805E49Cp,10,20C,41
PdaFF8EC70n;ba8060CFAp,10,20C,40
Pda8021DD3u;ba8064463p,10,20C,41
Pda802312Du;ba8066FB0p,10,20C,40
Pda8024487u;ba806AFE9p,10,20C,40
Pda80257E1u;ba806DC50p,10,20C,40
Pda8026B3Bu;ba807243Dp,10,20C,40
Pda8027E95u;ba8075683p,10,20C,40
Pda80291EEu;ba807A336p,10,20C,40
Pda802A548u;ba807DAFDp,10,20C,40
Pda802B8A2u;ba8082EA8p,10,20C,40
Pda802CBFCu;ba80869BDp,10,20C,40
Pda802DF56u;ba808C2EAp,10,20C,40
Pda802F2B0u;ba809014Cp,10,20C,40
Pda803060Au;ba8095E24p,10,20C,40
Pda8031963u;ba8099EBAp,10,20C,40
Pda8032CBDu;ba809FA1Ap,10,20C,40
Pda8034017u;ba80A3E5Cp,10,20C,41
Pda8035371u;ba80A93DDp,10,20C,40
Pda80366CBu;ba80AD996p,10,20C,41
Pda8037A25u;ba80B28DAp,10,20C,40
Pda8038D7Eu;ba80B6EF2p,10,20C,41
Pda803A0D8u;ba80BB15Dp,10,20C,40
Pda803B432u;ba80BF5FDp,10,20C,41
Pda803C78Cu;ba80C2B91p,10,20C,40
Pda803DAE6u;ba80C68DAp,10,20C,41
Pda803EE40u;ba80C91F3p,10,20C,40
Pda804019Au;ba80CC787p,10,20C,40
Pda80414F3u;ba80CE251p,10,20C,40
Pda804284Du;ba80D0DFCp,10,20C,40
Pda8043BA7u;ba80D1CAAp,10,20C,40
Pda8044F01u;ba80D3A64p,10,20C,40
Pda804625Bu;ba80D3DB1p,10,20C,40
Pda80475B5u;ba80D55E9p,10,20C,40
Pda804890Fu;ba80D4E93p,10,20C,40
Pda8049C68u;ba80D5F16p,10,20C,40
Pda804890Fu;ba80BCD41p,10,20C,40
Pda80475B5u;ba80AA28Bp,10,20C,40
Pda804625Bu;ba80986E0p,10,20C,40
Pda8044F01u;ba808A58Ep,10,20C,40
Pda8043BA7u;ba807C7E8p,10,20C,40
Pda804284Du;ba8070F52p,10,20C,40
Pda80414F3u;ba8065778p,10,20C,40
Pda804019Au;ba805B9ACp,10,20C,40
Pda803EE40u;ba8052048p,10,20C,40
Pda803DAE6u;ba8049187p,10,20C,40
Pda803C78Cu;ba8040FFDp,10,20C,40
Pda803B432u;ba8038B83p,10,20C,40
Pda803A0D8u;ba8031849p,10,20C,40
Pda8038D7Eu;ba8029AC8p,10,20C,40
Pda8037A25u;ba8023290p,10,20C,40
Pda80366CBu;baEB26F10f,14,20C,40
Pda8035371u;baD3C4C20f,14,20C,40
Pda8034017u;baB63404Cf,14,20C,40
Pda8032CBDu;ba9F16A48f,14,20C,40
Pda8031963u;ba81F8951f,14,20C,40
Pda803060Au;ba6B92B0Cf,14,20C,40
Pda802F2B0u;ba4E74A14f,14,20C,40
Pda802DF56u;ba38538B8f,14,20C,40
Pda802CBFCu;ba1BA8298f,14,20C,40
Pda802B8A2u;ba0627A08f,10,20C,40
Pda802A548u;ba7FD9A6Ep,10,20C,40
Pda80291EEu;ba7FD43D3p,10,20C,40
Pda8027E95u;ba7FCD84Ep,10,20C,40
Pda8026B3Bu;ba7FC8211p,10,20C,41
Pda80257E1u;ba7FC1FB8p,10,20C,40
Pda8024487u;ba7FBCCC8p,10,20C,41
Pda802312Du;ba7FB7514p,10,20C,40
Pda8021DD3u;ba7FB23FAp,10,20C,41
PdaFF8EC70n;ba7FADCC9p,10,20C,40
PdaFAD5570n;ba7FA90D2p,10,20C,41
PdaF61BE78n;ba7FA56D7p,10,20C,40
PdaF162780n;ba7FA14C9p,10,20C,40
PdaECA9080n;ba7F9E97Cp,10,20C,40
PdaE7EF988n;ba7F9AE67p,10,20C,40
PdaE336290n;ba7F99169p,10,20C,40
PdaDE7CB90n;ba7F96157p,10,20C,40
PdaD9C3498n;ba7F94D28p,10,20C,40
PdaD509DA0n;ba7F927B9p,10,20C,40
PdaD0506A8n;ba7F91C59p,10,20C,40
PdaCB96FA8n;ba7F8F97Dp,10,20C,40
PdaC6DD8A8n;ba7F8F459p,10,20C,40
PdaC2241B8n;ba7F8D586p,10,20C,40
PdaBD6AAB8n;ba7F8D3B0p,10,20C,40
PdaB8B13C0n;ba7F8B599p,10,20C,40
PdaB3F7CC4n;ba7F8B421p,10,20C,40
PdaAF3E5C8n;ba7F8989Bp,10,20C,40
PdaAA84ED0n;ba7F89200p,10,20C,41
PdaA5CB7D4n;ba7F879C8p,10,20C,40
PdaA1120DCn;ba7F86F24p,10,20C,41
Pda9C589E0n;ba7F858C1p,10,20C,40
Pda979F2E4n;ba7F84668p,10,20C,41
Pda92E5BEAn;ba7F835E4p,10,20C,40
Pda8E2C4F0n;ba7F81C34p,10,20C,41
Pda8972DF5n;ba7F80D86p,10,20C,40
Pda84B96FAn;ba7F7F145p,10,20C,41
-
C0002
Pda8000000 ;ba7F7E353p,10,20C,40
Pda7B46906n;ba7F7C2AAp,10,20C,40
Pda768D20Bn;ba7F7B630p,10,20C,40
Pda71D3B10n;ba7F7917Dp,10,20C,40
Pda6D1A416n;ba7F7832Ep,10,20C,40
Pda6860D1Cn;ba7F75D03p,10,20C,40
Pda63A7620n;ba7F74E56p,10,20C,40
Pda5EEDF24n;ba7F7253Cp,10,20C,40
Pda5A3482Cn;ba7F7168Ep,10,20C,40
Pda557B130n;ba7F6E96Bp,10,20C,40
Pda50C1A38n;ba7F6D770p,10,20C,40
Pda4C0833Cn;ba7F6A6FFp,10,20C,40
Pda474EC40n;ba7F69158p,10,20C,40
Pda4295548n;ba7F65F70p,10,20C,40
Pda3DDBE48n;ba7F64159p,10,20C,41
Pda3922758n;ba7F60D9Ap,10,20C,40
