e
M0007
Pda8000000 ;ba80B926Ap,14,215,40
Pda7FCD343u;ba7FA4420f,14,20C,40
Pda7FCE69Du;ba8044CE8f,14,20C,40
Pda7FCF9F6u;ba805BBE0f,14,20C,40
Pda7FD0D50u;ba7FA4420f,14,20C,40
Pda7FD20AAu;ba80FC4A8f,14,20C,40
Pda7FD3404u;ba7F03B58f,14,20C,40
Pda7FD475Eu;ba8158089f,14,20C,40
Pda7FD5AB8u;ba7E9107Ff,14,20C,40
Pda7FD6E12u;ba81B3C69f,14,20C,40
Pda7FD816Bu;ba7E3549Ff,14,20C,40
Pda7FD94C5u;ba81F8951f,14,20C,40
Pda7FDA81Fu;ba7E076AFf,14,20C,40
Pda7FDBB79u;ba820F84Af,14,20C,40
Pda7FDCED3u;ba7DF07B6f,14,20C,40
Pda7FDE22Du;ba823D63Af,14,20C,40
Pda0071390n;ba7E076AFf,14,20C,40
Pda052AA90n;ba820F84Af,14,20C,40
Pda09E4188n;ba7E6328Ff,14,20C,40
Pda0E9D880n;ba8185E79f,14,20C,40
Pda1356F80n;ba7EA7F77f,14,20C,40
Pda1810678n;ba81133A1f,14,20C,40
Pda1CC9D70n;ba7F5F738f,14,20C,40
Pda2183470n;ba805BBE0f,14,20C,40
Pda263CB68n;ba8044CE8f,14,20C,40
Pda2AF6260n;ba7FBB318f,14,20C,40
Pda2FAF958n;ba80E55B0f,14,20C,40
Pda3469058n;ba7F1AA50f,14,20C,40
Pda3922758n;ba816EF81f,14,20C,40
Pda3DDBE48n;ba7E7A187f,14,20C,40
Pda4295548n;ba81CAB61f,14,20C,40
Pda474EC40n;ba7E1E5A6f,14,20C,40
Pda4C0833Cn;ba820F84Af,14,20C,40
Pda50C1A38n;ba7DF07B6f,14,20C,40
Pda557B130n;ba823D63Af,14,20C,40
Pda5A3482Cn;ba7DD98BEf,14,20C,40
Pda5EEDF24n;ba8254532f,14,20C,40
Pda63A7620n;ba7DD98BEf,14,20C,40
Pda6860D1Cn;ba820F84Af,14,20C,40
Pda6D1A416n;ba7E3549Ff,14,20C,40
Pda71D3B10n;ba819CD71f,14,20C,40
Pda768D20Bn;ba7EA7F77f,14,20C,40
Pda7B46906n;ba81133A1f,14,20C,40
Pda8000000 ;ba7F5F738f,14,20C,40
Pda84B96FAn;ba805BBE0f,14,20C,40
Pda8972DF5n;ba8044CE8f,14,20C,40
Pda8E2C4F0n;ba7FBB318f,14,20C,40
Pda92E5BEAn;ba80E55B0f,14,20C,40
Pda979F2E4n;ba7F03B58f,14,20C,40
Pda9C589E0n;ba816EF81f,14,20C,40
PdaA1120DCn;ba7E7A187f,14,20C,40
PdaA5CB7D4n;ba81CAB61f,14,20C,40
PdaAA84ED0n;ba7E1E5A6f,14,20C,40
PdaAF3E5C8n;ba820F84Af,14,20C,40
PdaB3F7CC4n;ba7DF07B6f,14,20C,40
PdaB8B13C0n;ba8226742f,14,20C,40
PdaBD6AAB8n;ba7DD98BEf,14,20C,40
PdaC2241B8n;ba823D63Af,14,20C,40
PdaC6DD8A8n;ba7DF07B6f,14,20C,40
PdaCB96FA8n;ba820F84Af,14,20C,40
PdaD0506A8n;ba7E4C397f,14,20C,40
PdaD509DA0n;ba819CD71f,14,20C,40
PdaD9C3498n;ba7EBEE6Ff,14,20C,40
PdaDE7CB90n;ba80FC4A8f,14,20C,40
PdaE336290n;ba7F76630f,14,20C,40
PdaE7EF988n;ba8044CE8f,14,20C,40
PdaECA9080n;ba8072AD8f,14,20C,40
PdaF162780n;ba7FBB318f,14,20C,40
PdaF61BE78n;ba81133A1f,14,20C,40
PdaFAD5570n;ba7F1AA50f,14,20C,40
PdaFF8EC70n;ba819CD71f,14,20C,40
Pda8021DD3u;ba7EA7F77f,14,20C,40
Pda802312Du;ba8226742f,14,20C,40
Pda8024487u;ba7E3549Ff,14,20C,40
Pda80257E1u;ba8226742f,14,20C,40
Pda8026B3Bu;ba7E076AFf,14,20C,40
Pda8027E95u;ba8254532f,14,20C,40
Pda80291EEu;ba7DF07B6f,14,20C,40
Pda802A548u;ba8254532f,14,20C,40
Pda802B8A2u;ba7E076AFf,14,20C,40
Pda802CBFCu;ba820F84Af,14,20C,40
Pda802DF56u;ba7E7A187f,14,20C,40
Pda802F2B0u;ba819CD71f,14,20C,40
Pda803060Au;ba7EECC5Ff,14,20C,40
Pda8031963u;ba80E55B0f,14,20C,40
Pda8032CBDu;ba7FD2210f,14,20C,40
Pda8034017u;ba802DDF0f,14,20C,40
Pda8035371u;ba80899D0f,14,20C,40
Pda80366CBu;ba7F8D528f,14,20C,40
Pda8037A25u;ba812A299f,14,20C,40
Pda8038D7Eu;ba7EECC5Ff,14,20C,40
Pda803A0D8u;ba8185E79f,14,20C,40
Pda803B432u;ba7E7A187f,14,20C,40
Pda803C78Cu;ba81F8951f,14,20C,40
Pda803DAE6u;ba7E1E5A6f,14,20C,40
Pda803EE40u;ba8226742f,14,20C,40
Pda804019Au;ba7E076AFf,14,20C,40
Pda80414F3u;ba823D63Af,14,20C,40
Pda804284Du;ba7DF07B6f,14,20C,40
Pda8043BA7u;ba823D63Af,14,20C,40
Pda8044F01u;ba7E1E5A6f,14,20C,40
Pda804625Bu;ba81E1A5Af,14,20C,40
Pda80475B5u;ba7EA7F77f,14,20C,40
Pda804890Fu;ba816EF81f,14,20C,40
Pda8049C68u;ba7F31948f,14,20C,40
Pda804890Fu;ba80A08C8f,14,20C,40
Pda80475B5u;baD997920a,14,20C,40
Pda804625Bu;ba8000000 ,14,20C,40
Pda8044F01u;ba80B77C0f,14,20C,40
Pda8043BA7u;ba7F5F738f,14,20C,40
Pda804284Du;ba8158089f,14,20C,40
Pda80414F3u;ba7EA7F77f,14,20C,40
Pda804019Au;ba819CD71f,14,20C,40
Pda803EE40u;ba7E4C397f,14,20C,40
Pda803DAE6u;ba81F8951f,14,20C,40
Pda803C78Cu;ba7E1E5A6f,14,20C,40
Pda803B432u;ba8226742f,14,20C,40
Pda803A0D8u;ba7DF07B6f,14,20C,40
Pda8038D7Eu;ba823D63Af,14,20C,40
Pda8037A25u;ba7DF07B6f,14,20C,40
Pda80366CBu;ba8226742f,14,20C,40
Pda8035371u;ba7E4C397f,14,20C,40
Pda8034017u;ba819CD71f,14,20C,40
Pda8032CBDu;ba7EBEE6Ff,14,20C,40
Pda8031963u;ba81133A1f,14,20C,40
Pda803060Au;ba7F76630f,14,20C,40
Pda802F2B0u;ba805BBE0f,14,20C,40
Pda802DF56u;ba805BBE0f,14,20C,40
Pda802CBFCu;ba7FBB318f,14,20C,40
Pda802B8A2u;ba80FC4A8f,14,20C,40
Pda802A548u;ba7F1AA50f,14,20C,40
Pda80291EEu;ba816EF81f,14,20C,40
Pda8027E95u;ba7E9107Ff,14,20C,40
Pda8026B3Bu;ba81CAB61f,14,20C,40
Pda80257E1u;ba7E3549Ff,14,20C,40
Pda8024487u;ba820F84Af,14,20C,40
Pda802312Du;ba7E076AFf,14,20C,40
Pda8021DD3u;ba823D63Af,14,20C,40
PdaFF8EC70n;ba7DF07B6f,14,20C,40
PdaFAD5570n;ba823D63Af,14,20C,40
PdaF61BE78n;ba7E076AFf,14,20C,40
PdaF162780n;ba81F8951f,14,20C,40
PdaECA9080n;ba7E7A187f,14,20C,40
PdaE7EF988n;ba816EF81f,14,20C,40
PdaE336290n;ba7F03B58f,14,20C,40
PdaDE7CB90n;ba80B77C0f,14,20C,40
PdaD9C3498n;ba7FD2210f,14,20C,40
PdaD509DA0n;ba8000000 ,14,20C,40
PdaD0506A8n;ba8072AD8f,14,20C,40
PdaCB96FA8n;ba7F31948f,14,20C,40
PdaC6DD8A8n;ba80FC4A8f,14,20C,40
PdaC2241B8n;ba7E7A187f,14,20C,40
PdaBD6AAB8n;ba8158089f,14,20C,40
PdaB8B13C0n;ba7E4C397f,14,20C,40
PdaB3F7CC4n;ba81CAB61f,14,20C,40
PdaAF3E5C8n;ba7E076AFf,14,20C,40
PdaAA84ED0n;ba820F84Af,14,20C,40
PdaA5CB7D4n;ba7DF07B6f,14,20C,40
PdaA1120DCn;ba8226742f,14,20C,40
Pda9C589E0n;ba7DF07B6f,14,20C,40
Pda979F2E4n;ba820F84Af,14,20C,40
Pda92E5BEAn;ba7E1E5A6f,14,20C,40
Pda8E2C4F0n;ba81B3C69f,14,20C,40
Pda8972DF5n;ba7EA7F77f,14,20C,40
Pda84B96FAn;ba812A299f,14,20C,40
-
C0001
Pda8000000 ;ba7F48840f,14,20C,40
Pda7B46906n;ba8072AD8f,14,20C,40
Pda768D20Bn;baD997920a,14,20C,40
Pda71D3B10n;ba7FD2210f,14,20C,40
Pda6D1A416n;ba80CE6B8f,14,20C,40
Pda6860D1Cn;ba7F31948f,14,20C,40
Pda63A7620n;ba8141191f,14,20C,40
Pda5EEDF24n;ba7E9107Ff,14,20C,40
Pda5A3482Cn;ba819CD71f,14,20C,40
Pda557B130n;ba7E3549Ff,14,20C,40
Pda50C1A38n;ba81E1A5Af,14,20C,40
Pda4C0833Cn;ba7E076AFf,14,20C,40
Pda474EC40n;ba820F84Af,14,20C,40
Pda4295548n;ba7DF07B6f,14,20C,40
Pda3DDBE48n;ba8226742f,14,20C,40
Pda3922758n;ba7DF07B6f,14,20C,40
Pda3469058n;ba820F84Af,14,20C,40
Pda2FAF958n;ba7E6328Ff,14,20C,40
Pda2AF6260n;ba8185E79f,14,20C,40
Pda263CB68n;ba7ED5D67f,14,20C,40
Pda2183470n;ba80E55B0f,14,20C,40
Pda1CC9D70n;ba7F8D528f,14,20C,40
Pda1810678n;ba8044CE8f,14,20C,40
Pda1356F80n;ba805BBE0f,14,20C,40
Pda0E9D880n;ba7FA4420f,14,20C,40
Pda09E4188n;ba80FC4A8f,14,20C,40
Pda052AA90n;ba7F03B58f,14,20C,40
Pda0071390n;ba8158089f,14,20C,40
Pda7FDE22Du;ba7E9107Ff,14,20C,40
Pda7FDCED3u;ba81B3C69f,14,20C,40
Pda7FDBB79u;ba7E3549Ff,14,20C,40
Pda7FDA81Fu;ba81F8951f,14,20C,40
Pda7FD94C5u;ba7E076AFf,14,20C,40
Pda7FD816Bu;ba820F84Af,14,20C,40
Pda7FD6E12u;ba7DF07B6f,14,20C,40
Pda7FD5AB8u;ba8226742f,14,20C,40
Pda7FD475Eu;ba7E076AFf,14,20C,40
Pda7FD3404u;ba81E1A5Af,14,20C,40
Pda7FD20AAu;ba7E7A187f,14,20C,40
Pda7FD0D50u;ba816EF81f,14,20C,40
Pda7FCF9F6u;ba7EECC5Ff,14,20C,40
Pda7FCE69Du;ba80B77C0f,14,20C,40
Pda7FCD343u;ba7FD2210f,14,20C,40
Pda7FCBFE9u;baD997920a,14,20C,40
Pda7FCAC8Fu;ba8072AD8f,14,20C,40
Pda7FC9935u;ba7F8D528f,14,20C,40
Pda7FC85DBu;ba81133A1f,14,20C,40
Pda7FC7282u;ba7ED5D67f,14,20C,40
Pda7FC5F28u;ba816EF81f,14,20C,40
Pda7FC4BCEu;ba7E7A187f,14,20C,40
Pda7FC3874u;ba81CAB61f,14,20C,40
Pda7FC251Au;ba7E1E5A6f,14,20C,40
Pda7FC11C0u;ba820F84Af,14,20C,40
Pda7FBFE66u;ba7E076AFf,14,20C,40
Pda7FBEB0Du;ba820F84Af,14,20C,40
Pda7FBD7B3u;ba7DF07B6f,14,20C,40
Pda7FBC459u;ba8226742f,14,20C,40
Pda7FBB0FFu;ba7DF07B6f,14,20C,40
Pda7FB9DA5u;ba81F8951f,14,20C,40
Pda7FB8A4Bu;ba7E6328Ff,14,20C,40
Pda7FB76F1u;ba8185E79f,14,20C,40
Pda7FB6398u;ba7EECC5Ff,14,20C,40
Pda7FB76F1u;ba80B77C0f,14,20C,40
Pda7FB8A4Bu;ba7FBB318f,14,20C,40
Pda7FB9DA5u;ba8000000 ,14,20C,40
Pda7FBB0FFu;ba8072AD8f,14,20C,40
Pda7FBC459u;ba7F76630f,14,20C,40
Pda7FBD7B3u;ba812A299f,14,20C,40
Pda7FBEB0Du;ba7ED5D67f,14,20C,40
Pda7FBFE66u;ba819CD71f,14,20C,40
Pda7FC11C0u;ba7E4C397f,14,20C,40
Pda7FC251Au;ba81F8951f,14,20C,40
Pda7FC3874u;ba7E076AFf,14,20C,40
Pda7FC4BCEu;ba8226742f,14,20C,40
Pda7FC5F28u;ba7DF07B6f,14,20C,40
Pda7FC7282u;ba823D63Af,14,20C,40
Pda7FC85DBu;ba7DD98BEf,14,20C,40
Pda7FC9935u;ba823D63Af,14,20C,40
Pda7FCAC8Fu;ba7E076AFf,14,20C,40
Pda7FCBFE9u;ba81E1A5Af,14,20C,40
Pda7FCD343u;ba7E7A187f,14,20C,40
Pda7FCE69Du;ba816EF81f,14,20C,40
Pda7FCF9F6u;ba7F03B58f,14,20C,40
Pda7FD0D50u;ba80CE6B8f,14,20C,40
Pda7FD20AAu;ba7FD2210f,14,20C,40
Pda7FD3404u;baD997920a,14,20C,40
Pda7FD475Eu;ba80899D0f,14,20C,40
Pda7FD5AB8u;ba7F76630f,14,20C,40
Pda7FD6E12u;ba812A299f,14,20C,40
Pda7FD816Bu;ba7ED5D67f,14,20C,40
Pda7FD94C5u;ba8185E79f,14,20C,40
Pda7FDA81Fu;ba7E6328Ff,14,20C,40
Pda7FDBB79u;ba81E1A5Af,14,20C,40
Pda7FDCED3u;ba7E076AFf,14,20C,40
Pda7FDE22Du;ba8226742f,14,20C,40
Pda0071390n;ba7DF07B6f,14,20C,40
Pda052AA90n;ba823D63Af,14,20C,40
Pda09E4188n;ba7DD98BEf,14,20C,40
Pda0E9D880n;ba823D63Af,14,20C,40
Pda1356F80n;ba7DF07B6f,14,20C,40
Pda1810678n;ba81F8951f,14,20C,40
Pda1CC9D70n;ba7E7A187f,14,20C,40
Pda2183470n;ba816EF81f,14,20C,40
Pda263CB68n;ba7EECC5Ff,14,20C,40
Pda2AF6260n;ba80CE6B8f,14,20C,40
Pda2FAF958n;ba7FBB318f,14,20C,40
Pda3469058n;baD997920a,14,20C,40
Pda3922758n;ba8072AD8f,14,20C,40
Pda3DDBE48n;ba7F8D528f,14,20C,40
Pda4295548n;ba81133A1f,14,20C,40
Pda474EC40n;ba7EECC5Ff,14,20C,40
Pda4C0833Cn;ba8185E79f,14,20C,40
Pda50C1A38n;ba7E7A187f,14,20C,40
Pda557B130n;ba81E1A5Af,14,20C,40
Pda5A3482Cn;ba7E1E5A6f,14,20C,40
Pda5EEDF24n;ba820F84Af,14,20C,40
Pda63A7620n;ba7DF07B6f,14,20C,40
Pda6860D1Cn;ba823D63Af,14,20C,40
Pda6D1A416n;ba7DD98BEf,14,20C,40
Pda71D3B10n;ba823D63Af,14,20C,40
Pda768D20Bn;ba7DF07B6f,14,20C,40
Pda7B46906n;ba81F8951f,14,20C,40
Pda8000000 ;ba7E4C397f,14,20C,40
Pda84B96FAn;ba8185E79f,14,20C,40
Pda8972DF5n;ba7ED5D67f,14,20C,40
Pda8E2C4F0n;ba80E55B0f,14,20C,40
Pda92E5BEAn;ba7F8D528f,14,20C,40
Pda979F2E4n;ba802DDF0f,14,20C,40
Pda9C589E0n;ba805BBE0f,14,20C,40
PdaA1120DCn;ba7FA4420f,14,20C,40
PdaA5CB7D4n;ba80FC4A8f,14,20C,40
PdaAA84ED0n;ba7F03B58f,14,20C,40
PdaAF3E5C8n;ba816EF81f,14,20C,40
PdaB3F7CC4n;ba7E9107Ff,14,20C,40
PdaB8B13C0n;ba81B3C69f,14,20C,40
PdaBD6AAB8n;ba7E3549Ff,14,20C,40
PdaC2241B8n;ba820F84Af,14,20C,40
PdaC6DD8A8n;ba7DF07B6f,14,20C,40
PdaCB96FA8n;ba8226742f,14,20C,40
PdaD0506A8n;ba7DF07B6f,14,20C,40
PdaD509DA0n;ba8254532f,14,20C,40
PdaD9C3498n;ba7DF07B6f,14,20C,40
PdaDE7CB90n;ba820F84Af,14,20C,40
PdaE336290n;ba7E4C397f,14,20C,40
PdaE7EF988n;ba81B3C69f,14,20C,40
PdaECA9080n;ba7ED5D67f,14,20C,40
PdaF162780n;ba812A299f,14,20C,40
PdaF61BE78n;ba7F8D528f,14,20C,40
PdaFAD5570n;ba80899D0f,14,20C,40
PdaFF8EC70n;ba8072AD8f,14,20C,40
Pda8021DD3u;ba8000000 ,14,20C,40
Pda802312Du;ba812A299f,14,20C,40
Pda8024487u;ba7F48840f,14,20C,40
Pda80257E1u;ba816EF81f,14,20C,40
Pda8026B3Bu;ba7EBEE6Ff,14,20C,40
Pda8027E95u;ba81CAB61f,14,20C,40
Pda80291EEu;ba7E4C397f,14,20C,40
Pda802A548u;ba820F84Af,14,20C,40
Pda802B8A2u;ba7E1E5A6f,14,20C,40
Pda802CBFCu;ba823D63Af,14,20C,40
Pda802DF56u;ba7E076AFf,14,20C,40
Pda802F2B0u;ba823D63Af,14,20C,40
Pda803060Au;ba7E076AFf,14,20C,40
Pda8031963u;ba823D63Af,14,20C,40
Pda8032CBDu;ba7E4C397f,14,20C,40
Pda8034017u;ba81CAB61f,14,20C,40
Pda8035371u;ba7EBEE6Ff,14,20C,40
Pda80366CBu;ba8141191f,14,20C,40
Pda8037A25u;ba7F48840f,14,20C,40
Pda8038D7Eu;ba80A08C8f,14,20C,40
Pda803A0D8u;ba802DDF0f,14,20C,40
Pda803B432u;ba8000000 ,14,20C,40
Pda803C78Cu;ba80B77C0f,14,20C,40
Pda803DAE6u;ba7F5F738f,14,20C,40
Pda803EE40u;ba8141191f,14,20C,40
Pda804019Au;ba7EBEE6Ff,14,20C,40
Pda80414F3u;ba819CD71f,14,20C,40
Pda804284Du;ba7E7A187f,14,20C,40
Pda8043BA7u;ba81F8951f,14,20C,40
Pda8044F01u;ba7E1E5A6f,14,20C,40
Pda804625Bu;ba820F84Af,14,20C,40
Pda80475B5u;ba7E076AFf,14,20C,40
Pda804890Fu;ba823D63Af,14,20C,40
Pda8049C68u;ba7E076AFf,14,20C,40
Pda804890Fu;ba823D63Af,14,20C,40
Pda80475B5u;ba7E1E5A6f,14,20C,40
Pda804625Bu;ba81E1A5Af,14,20C,40
Pda8044F01u;ba7E9107Ff,14,20C,40
Pda8043BA7u;ba816EF81f,14,20C,40
Pda804284Du;ba7F1AA50f,14,20C,40
Pda80414F3u;ba80CE6B8f,14,20C,40
Pda804019Au;ba26686E0a,14,20C,40
Pda803EE40u;ba802DDF0f,14,20C,40
Pda803DAE6u;ba80899D0f,14,20C,40
Pda803C78Cu;ba7F8D528f,14,20C,40
Pda803B432u;ba812A299f,14,20C,40
Pda803A0D8u;ba7EECC5Ff,14,20C,40
Pda8038D7Eu;ba8185E79f,14,20C,40
Pda8037A25u;ba7E9107Ff,14,20C,40
Pda80366CBu;ba81CAB61f,14,20C,40
Pda8035371u;ba7E3549Ff,14,20C,40
Pda8034017u;ba820F84Af,14,20C,40
Pda8032CBDu;ba7E076AFf,14,20C,40
Pda8031963u;ba823D63Af,14,20C,40
Pda803060Au;ba7E076AFf,14,20C,40
Pda802F2B0u;ba823D63Af,14,20C,40
Pda802DF56u;ba7E1E5A6f,14,20C,40
Pda802CBFCu;ba820F84Af,14,20C,40
Pda802B8A2u;ba7E7A187f,14,20C,40
Pda802A548u;ba8185E79f,14,20C,40
Pda80291EEu;ba7ED5D67f,14,20C,40
Pda8027E95u;ba80FC4A8f,14,20C,40
Pda8026B3Bu;ba7F8D528f,14,20C,40
Pda80257E1u;ba8072AD8f,14,20C,40
Pda8024487u;ba805BBE0f,14,20C,40
Pda802312Du;ba7FD2210f,14,20C,40
Pda8021DD3u;ba80E55B0f,14,20C,40
PdaFF8EC70n;ba7F31948f,14,20C,40
PdaFAD5570n;ba8158089f,14,20C,40
PdaF61BE78n;ba7EBEE6Ff,14,20C,40
PdaF162780n;ba81B3C69f,14,20C,40
PdaECA9080n;ba7E6328Ff,14,20C,40
PdaE7EF988n;ba81F8951f,14,20C,40
PdaE336290n;ba7E1E5A6f,14,20C,40
PdaDE7CB90n;ba820F84Af,14,20C,40
PdaD9C3498n;ba7DF07B6f,14,20C,40
PdaD509DA0n;ba820F84Af,14,20C,40
PdaD0506A8n;ba7DD98BEf,14,20C,40
PdaCB96FA8n;ba81F8951f,14,20C,40
PdaC6DD8A8n;ba7E076AFf,14,20C,40
PdaC2241B8n;ba816EF81f,14,20C,40
PdaBD6AAB8n;ba7E7A187f,14,20C,40
PdaB8B13C0n;ba812A299f,14,20C,40
PdaB3F7CC4n;ba7F1AA50f,14,20C,40
PdaAF3E5C8n;ba80A08C8f,14,20C,40
PdaAA84ED0n;ba8000000 ,14,20C,40
PdaA5CB7D4n;ba8000000 ,14,20C,40
PdaA1120DCn;ba80899D0f,14,20C,40
Pda9C589E0n;ba7F5F738f,14,20C,40
Pda979F2E4n;ba81133A1f,14,20C,40
Pda92E5BEAn;ba7ED5D67f,14,20C,40
Pda8E2C4F0n;ba816EF81f,14,20C,40
Pda8972DF5n;ba7E7A187f,14,20C,40
Pda84B96FAn;ba81CAB61f,14,20C,40
-
C0002
Pda8000000 ;ba7E3549Ff,14,20C,40
Pda7B46906n;ba81E1A5Af,14,20C,40
Pda768D20Bn;ba7DF07B6f,14,20C,40
Pda71D3B10n;ba823D63Af,14,20C,40
Pda6D1A416n;ba7DD98BEf,14,20C,40
Pda6860D1Cn;ba823D63Af,14,20C,40
Pda63A7620n;ba7DF07B6f,14,20C,40
Pda5EEDF24n;ba820F84Af,14,20C,40
Pda5A3482Cn;ba7E4C397f,14,20C,40
Pda557B130n;ba819CD71f,14,20C,40
Pda50C1A38n;ba7EBEE6Ff,14,20C,40
Pda4C0833Cn;ba81133A1f,14,20C,40
Pda474EC40n;ba7F5F738f,14,20C,40
Pda4295548n;ba8044CE8f,14,20C,40
Pda3DDBE48n;ba8044CE8f,14,20C,40
Pda3922758n;ba7FBB318f,14,20C,40
Pda3469058n;ba80E55B0f,14,20C,40
Pda2FAF958n;ba7F1AA50f,14,20C,40
Pda2AF6260n;ba8158089f,14,20C,40
Pda263CB68n;ba7E9107Ff,14,20C,40
Pda2183470n;ba81B3C69f,14,20C,40
Pda1CC9D70n;ba7E3549Ff,14,20C,40
Pda1810678n;ba81F8951f,14,20C,40
Pda1356F80n;ba7DF07B6f,14,20C,40
Pda0E9D880n;ba8226742f,14,20C,40
Pda09E4188n;ba7DF07B6f,14,20C,40
