e
M0007
Pda8000000 ;ba8073B82p,14,215,40
Pda2183470n;ba26686E0a,14,20C,40
Pda263CB68n;ba805BBE0f,14,20C,40
Pda2AF6260n;ba26686E0a,14,20C,40
Pda2FAF958n;ba805BBE0f,14,20C,40
Pda3469058n;ba26686E0a,14,20C,40
Pda3922758n;ba805BBE0f,14,20C,40
Pda3DDBE48n;ba26686E0a,14,20C,40
Pda4295548n;ba8044CE8f,14,20C,40
Pda474EC40n;ba8000000 ,14,20C,40
Pda4C0833Cn;ba8044CE8f,14,20C,40
Pda50C1A38n;ba8000000 ,14,20C,40
Pda557B130n;ba802DDF0f,14,20C,40
Pda5A3482Cn;baD997920a,14,20C,40
Pda5EEDF24n;baD997920a,14,20C,40
Pda63A7620n;ba802DDF0f,14,20C,40
Pda6860D1Cn;baD997920a,14,20C,40
Pda6D1A416n;ba802DDF0f,14,20C,40
Pda71D3B10n;ba8000000 ,14,20C,40
Pda768D20Bn;ba8044CE8f,14,20C,40
Pda7B46906n;ba26686E0a,14,20C,40
Pda8000000 ;ba805BBE0f,14,20C,40
Pda84B96FAn;ba26686E0a,14,20C,40
Pda8972DF5n;ba805BBE0f,14,20C,40
Pda8E2C4F0n;ba26686E0a,14,20C,40
Pda92E5BEAn;ba805BBE0f,14,20C,40
Pda979F2E4n;ba26686E0a,14,20C,40
Pda9C589E0n;ba805BBE0f,14,20C,40
PdaA1120DCn;ba26686E0a,14,20C,40
PdaA5CB7D4n;ba805BBE0f,14,20C,40
PdaAA84ED0n;ba26686E0a,14,20C,40
PdaAF3E5C8n;ba8044CE8f,14,20C,40
PdaB3F7CC4n;ba8000000 ,14,20C,40
PdaB8B13C0n;ba8044CE8f,14,20C,40
PdaBD6AAB8n;ba8000000 ,14,20C,40
PdaC2241B8n;ba802DDF0f,14,20C,40
PdaC6DD8A8n;baD997920a,14,20C,40
PdaCB96FA8n;baD997920a,14,20C,40
PdaD0506A8n;ba802DDF0f,14,20C,40
PdaD509DA0n;ba8000000 ,14,20C,40
PdaD9C3498n;ba8044CE8f,14,20C,40
PdaDE7CB90n;ba8000000 ,14,20C,40
PdaE336290n;ba8044CE8f,14,20C,40
PdaE7EF988n;ba26686E0a,14,20C,40
PdaECA9080n;ba805BBE0f,14,20C,40
PdaF162780n;ba26686E0a,14,20C,40
PdaF61BE78n;ba805BBE0f,14,20C,40
PdaFAD5570n;ba26686E0a,14,20C,40
PdaFF8EC70n;ba805BBE0f,14,20C,40
Pda8021DD3u;ba26686E0a,14,20C,40
Pda802312Du;ba805BBE0f,14,20C,40
Pda8024487u;ba26686E0a,14,20C,40
Pda80257E1u;ba8044CE8f,14,20C,40
Pda8026B3Bu;ba26686E0a,14,20C,40
Pda8027E95u;ba8044CE8f,14,20C,40
Pda80291EEu;ba8000000 ,14,20C,40
Pda802A548u;ba802DDF0f,14,20C,40
Pda802B8A2u;baD997920a,14,20C,40
Pda802CBFCu;ba802DDF0f,14,20C,40
Pda802DF56u;ba802DDF0f,14,20C,40
Pda802F2B0u;ba8000000 ,14,20C,40
Pda803060Au;ba802DDF0f,14,20C,40
Pda8031963u;ba8000000 ,14,20C,40
Pda8032CBDu;ba8044CE8f,14,20C,40
Pda8034017u;ba26686E0a,14,20C,40
Pda8035371u;ba805BBE0f,14,20C,40
Pda80366CBu;ba26686E0a,14,20C,40
Pda8037A25u;ba805BBE0f,14,20C,40
Pda8038D7Eu;ba26686E0a,14,20C,40
Pda803A0D8u;ba805BBE0f,14,20C,40
Pda803B432u;ba7FD2210f,14,20C,40
Pda803C78Cu;ba805BBE0f,14,20C,40
Pda803DAE6u;ba26686E0a,14,20C,40
Pda803EE40u;ba805BBE0f,14,20C,40
Pda804019Au;ba26686E0a,14,20C,40
Pda80414F3u;ba8044CE8f,14,20C,40
Pda804284Du;ba8000000 ,14,20C,40
Pda8043BA7u;ba8044CE8f,14,20C,40
Pda8044F01u;baD997920a,14,20C,40
Pda804625Bu;ba802DDF0f,14,20C,40
Pda80475B5u;ba802DDF0f,14,20C,40
Pda804890Fu;baD997920a,14,20C,40
Pda8049C68u;ba802DDF0f,14,20C,40
Pda804890Fu;ba8000000 ,14,20C,40
Pda80475B5u;ba8044CE8f,14,20C,40
Pda804625Bu;ba8000000 ,14,20C,40
Pda8044F01u;ba8044CE8f,14,20C,40
Pda8043BA7u;ba26686E0a,14,20C,40
Pda804284Du;ba805BBE0f,14,20C,40
Pda80414F3u;ba26686E0a,14,20C,40
Pda804019Au;ba805BBE0f,14,20C,40
Pda803EE40u;ba26686E0a,14,20C,40
Pda803DAE6u;ba805BBE0f,14,20C,40
Pda803C78Cu;ba7FD2210f,14,20C,40
Pda803B432u;ba805BBE0f,14,20C,40
Pda803A0D8u;ba26686E0a,14,20C,40
Pda8038D7Eu;ba805BBE0f,14,20C,40
Pda8037A25u;ba26686E0a,14,20C,40
Pda80366CBu;ba8044CE8f,14,20C,40
Pda8035371u;ba8000000 ,14,20C,40
Pda8034017u;ba802DDF0f,14,20C,40
Pda8032CBDu;baD997920a,14,20C,40
Pda8031963u;ba802DDF0f,14,20C,40
Pda803060Au;ba802DDF0f,14,20C,40
Pda802F2B0u;baD997920a,14,20C,40
Pda802DF56u;ba802DDF0f,14,20C,40
Pda802CBFCu;ba8000000 ,14,20C,40
Pda802B8A2u;ba8044CE8f,14,20C,40
Pda802A548u;ba8000000 ,14,20C,40
Pda80291EEu;ba805BBE0f,14,20C,40
Pda8027E95u;ba26686E0a,14,20C,40
Pda8026B3Bu;ba805BBE0f,14,20C,40
Pda80257E1u;ba26686E0a,14,20C,40
Pda8024487u;ba805BBE0f,14,20C,40
Pda802312Du;ba7FD2210f,14,20C,40
Pda8021DD3u;ba805BBE0f,14,20C,40
PdaFF8EC70n;ba7FD2210f,14,20C,40
PdaFAD5570n;ba805BBE0f,14,20C,40
PdaF61BE78n;ba26686E0a,14,20C,40
PdaF162780n;ba8044CE8f,14,20C,40
PdaECA9080n;ba26686E0a,14,20C,40
PdaE7EF988n;ba802DDF0f,14,20C,40
PdaE336290n;ba8000000 ,14,20C,40
PdaDE7CB90n;ba802DDF0f,14,20C,40
PdaD9C3498n;baD997920a,14,20C,40
PdaD509DA0n;ba802DDF0f,14,20C,40
PdaD0506A8n;ba802DDF0f,14,20C,40
PdaCB96FA8n;baD997920a,14,20C,40
PdaC6DD8A8n;ba802DDF0f,14,20C,40
PdaC2241B8n;ba8000000 ,14,20C,40
PdaBD6AAB8n;ba8044CE8f,14,20C,40
PdaB8B13C0n;ba26686E0a,14,20C,40
PdaB3F7CC4n;ba8044CE8f,14,20C,40
PdaAF3E5C8n;ba26686E0a,14,20C,40
PdaAA84ED0n;ba805BBE0f,14,20C,40
PdaA5CB7D4n;ba26686E0a,14,20C,40
PdaA1120DCn;ba805BBE0f,14,20C,40
Pda9C589E0n;ba26686E0a,14,20C,40
Pda979F2E4n;ba805BBE0f,14,20C,40
Pda92E5BEAn;ba26686E0a,14,20C,40
Pda8E2C4F0n;ba805BBE0f,14,20C,40
Pda8972DF5n;ba26686E0a,14,20C,40
Pda84B96FAn;ba8044CE8f,14,20C,40
-
C0001
Pda8000000 ;ba26686E0a,14,20C,40
Pda7B46906n;ba8044CE8f,14,20C,40
Pda768D20Bn;ba8000000 ,14,20C,40
Pda71D3B10n;ba802DDF0f,14,20C,40
Pda6D1A416n;baD997920a,14,20C,40
Pda6860D1Cn;baD997920a,14,20C,40
Pda63A7620n;ba802DDF0f,14,20C,40
Pda5EEDF24n;ba8000000 ,14,20C,40
Pda5A3482Cn;ba802DDF0f,14,20C,40
Pda557B130n;ba8000000 ,14,20C,40
Pda50C1A38n;ba8044CE8f,14,20C,40
Pda4C0833Cn;ba26686E0a,14,20C,40
Pda474EC40n;ba805BBE0f,14,20C,40
Pda4295548n;ba26686E0a,14,20C,40
Pda3DDBE48n;ba805BBE0f,14,20C,40
Pda3922758n;ba26686E0a,14,20C,40
Pda3469058n;ba805BBE0f,14,20C,40
Pda2FAF958n;ba26686E0a,14,20C,40
Pda2AF6260n;ba805BBE0f,14,20C,40
Pda263CB68n;ba26686E0a,14,20C,40
Pda2183470n;ba8044CE8f,14,20C,40
Pda1CC9D70n;ba26686E0a,14,20C,40
Pda1810678n;ba8044CE8f,14,20C,40
Pda1356F80n;ba8000000 ,14,20C,40
Pda0E9D880n;ba802DDF0f,14,20C,40
Pda09E4188n;ba8000000 ,14,20C,40
Pda052AA90n;ba802DDF0f,14,20C,40
Pda0071390n;baD997920a,14,20C,40
Pda7FDE22Du;baD997920a,14,20C,40
Pda7FDCED3u;ba802DDF0f,14,20C,40
Pda7FDBB79u;ba8000000 ,14,20C,40
Pda7FDA81Fu;ba8044CE8f,14,20C,40
Pda7FD94C5u;ba26686E0a,14,20C,40
Pda7FD816Bu;ba8044CE8f,14,20C,40
Pda7FD6E12u;ba26686E0a,14,20C,40
Pda7FD5AB8u;ba805BBE0f,14,20C,40
Pda7FD475Eu;ba26686E0a,14,20C,40
Pda7FD3404u;ba805BBE0f,14,20C,40
Pda7FD20AAu;ba26686E0a,14,20C,40
Pda7FD0D50u;ba805BBE0f,14,20C,40
Pda7FCF9F6u;ba7FD2210f,14,20C,40
Pda7FCE69Du;ba8044CE8f,14,20C,40
Pda7FCD343u;ba26686E0a,14,20C,40
Pda7FCBFE9u;ba8044CE8f,14,20C,40
Pda7FCAC8Fu;ba26686E0a,14,20C,40
Pda7FC9935u;ba8044CE8f,14,20C,40
Pda7FC85DBu;ba26686E0a,14,20C,40
Pda7FC7282u;ba802DDF0f,14,20C,40
Pda7FC5F28u;ba8000000 ,14,20C,40
Pda7FC4BCEu;ba802DDF0f,14,20C,40
Pda7FC3874u;baD997920a,14,20C,40
Pda7FC251Au;baD997920a,14,20C,40
Pda7FC11C0u;ba802DDF0f,14,20C,40
Pda7FBFE66u;ba8000000 ,14,20C,40
Pda7FBEB0Du;ba802DDF0f,14,20C,40
Pda7FBD7B3u;ba26686E0a,14,20C,40
Pda7FBC459u;ba8044CE8f,14,20C,40
Pda7FBB0FFu;ba26686E0a,14,20C,40
Pda7FB9DA5u;ba805BBE0f,14,20C,40
Pda7FB8A4Bu;ba26686E0a,14,20C,40
Pda7FB76F1u;ba805BBE0f,14,20C,40
Pda7FB6398u;ba7FD2210f,14,20C,40
Pda7FB76F1u;ba805BBE0f,14,20C,40
Pda7FB8A4Bu;ba7FD2210f,14,20C,40
Pda7FB9DA5u;ba805BBE0f,14,20C,40
Pda7FBB0FFu;ba26686E0a,14,20C,40
Pda7FBC459u;ba805BBE0f,14,20C,40
Pda7FBD7B3u;ba26686E0a,14,20C,40
Pda7FBEB0Du;ba8044CE8f,14,20C,40
Pda7FBFE66u;ba8000000 ,14,20C,40
Pda7FC11C0u;ba802DDF0f,14,20C,40
Pda7FC251Au;baD997920a,14,20C,40
Pda7FC3874u;ba802DDF0f,14,20C,40
Pda7FC4BCEu;ba802DDF0f,14,20C,40
Pda7FC5F28u;ba8000000 ,14,20C,40
Pda7FC7282u;ba802DDF0f,14,20C,40
Pda7FC85DBu;ba8000000 ,14,20C,40
Pda7FC9935u;ba8044CE8f,14,20C,40
Pda7FCAC8Fu;ba26686E0a,14,20C,40
Pda7FCBFE9u;ba8044CE8f,14,20C,40
Pda7FCD343u;ba26686E0a,14,20C,40
Pda7FCE69Du;ba805BBE0f,14,20C,40
Pda7FCF9F6u;ba7FD2210f,14,20C,40
Pda7FD0D50u;ba805BBE0f,14,20C,40
Pda7FD20AAu;ba26686E0a,14,20C,40
Pda7FD3404u;ba805BBE0f,14,20C,40
Pda7FD475Eu;ba26686E0a,14,20C,40
Pda7FD5AB8u;ba805BBE0f,14,20C,40
Pda7FD6E12u;ba26686E0a,14,20C,40
Pda7FD816Bu;ba8044CE8f,14,20C,40
Pda7FD94C5u;ba26686E0a,14,20C,40
Pda7FDA81Fu;ba8044CE8f,14,20C,40
Pda7FDBB79u;ba8000000 ,14,20C,40
Pda7FDCED3u;ba802DDF0f,14,20C,40
Pda7FDE22Du;baD997920a,14,20C,40
Pda0071390n;baD997920a,14,20C,40
Pda052AA90n;ba802DDF0f,14,20C,40
Pda09E4188n;ba8000000 ,14,20C,40
Pda0E9D880n;ba8044CE8f,14,20C,40
Pda1356F80n;ba8000000 ,14,20C,40
Pda1810678n;ba8044CE8f,14,20C,40
Pda1CC9D70n;ba26686E0a,14,20C,40
Pda2183470n;ba805BBE0f,14,20C,40
Pda263CB68n;ba26686E0a,14,20C,40
Pda2AF6260n;ba805BBE0f,14,20C,40
Pda2FAF958n;ba7FD2210f,14,20C,40
Pda3469058n;ba805BBE0f,14,20C,40
Pda3922758n;ba26686E0a,14,20C,40
Pda3DDBE48n;ba805BBE0f,14,20C,40
Pda4295548n;ba26686E0a,14,20C,40
Pda474EC40n;ba805BBE0f,14,20C,40
Pda4C0833Cn;ba26686E0a,14,20C,40
Pda50C1A38n;ba8044CE8f,14,20C,40
Pda557B130n;ba26686E0a,14,20C,40
Pda5A3482Cn;ba802DDF0f,14,20C,40
Pda5EEDF24n;ba8000000 ,14,20C,40
Pda63A7620n;baD997920a,14,20C,40
Pda6860D1Cn;baD997920a,14,20C,40
Pda6D1A416n;ba8000000 ,14,20C,40
Pda71D3B10n;ba802DDF0f,14,20C,40
Pda768D20Bn;ba8000000 ,14,20C,40
Pda7B46906n;ba8044CE8f,14,20C,40
Pda8000000 ;ba26686E0a,14,20C,40
Pda84B96FAn;ba8044CE8f,14,20C,40
Pda8972DF5n;ba26686E0a,14,20C,40
Pda8E2C4F0n;ba805BBE0f,14,20C,40
Pda92E5BEAn;ba26686E0a,14,20C,40
Pda979F2E4n;ba805BBE0f,14,20C,40
Pda9C589E0n;ba7FD2210f,14,20C,40
PdaA1120DCn;ba805BBE0f,14,20C,40
PdaA5CB7D4n;ba26686E0a,14,20C,40
PdaAA84ED0n;ba805BBE0f,14,20C,40
PdaAF3E5C8n;ba26686E0a,14,20C,40
PdaB3F7CC4n;ba8044CE8f,14,20C,40
PdaB8B13C0n;ba8000000 ,14,20C,40
PdaBD6AAB8n;ba8044CE8f,14,20C,40
PdaC2241B8n;ba8000000 ,14,20C,40
PdaC6DD8A8n;ba802DDF0f,14,20C,40
PdaCB96FA8n;baD997920a,14,20C,40
PdaD0506A8n;baD997920a,14,20C,40
PdaD509DA0n;ba802DDF0f,14,20C,40
PdaD9C3498n;ba8000000 ,14,20C,40
PdaDE7CB90n;ba802DDF0f,14,20C,40
PdaE336290n;ba8000000 ,14,20C,40
PdaE7EF988n;ba8044CE8f,14,20C,40
PdaECA9080n;ba26686E0a,14,20C,40
PdaF162780n;ba8044CE8f,14,20C,40
PdaF61BE78n;ba26686E0a,14,20C,40
PdaFAD5570n;ba805BBE0f,14,20C,40
PdaFF8EC70n;ba26686E0a,14,20C,40
Pda8021DD3u;ba805BBE0f,14,20C,40
Pda802312Du;ba7FD2210f,14,20C,40
Pda8024487u;ba805BBE0f,14,20C,40
Pda80257E1u;ba26686E0a,14,20C,40
Pda8026B3Bu;ba8044CE8f,14,20C,40
Pda8027E95u;ba26686E0a,14,20C,40
Pda80291EEu;ba8044CE8f,14,20C,40
Pda802A548u;ba26686E0a,14,20C,40
Pda802B8A2u;ba802DDF0f,14,20C,40
Pda802CBFCu;ba8000000 ,14,20C,40
Pda802DF56u;ba802DDF0f,14,20C,40
Pda802F2B0u;baD997920a,14,20C,40
Pda803060Au;baD997920a,14,20C,40
Pda8031963u;ba802DDF0f,14,20C,40
Pda8032CBDu;ba8000000 ,14,20C,40
Pda8034017u;ba8044CE8f,14,20C,40
Pda8035371u;ba8000000 ,14,20C,40
Pda80366CBu;ba8044CE8f,14,20C,40
Pda8037A25u;ba26686E0a,14,20C,40
Pda8038D7Eu;ba805BBE0f,14,20C,40
Pda803A0D8u;ba26686E0a,14,20C,40
Pda803B432u;ba805BBE0f,14,20C,40
Pda803C78Cu;ba26686E0a,14,20C,40
Pda803DAE6u;ba805BBE0f,14,20C,40
Pda803EE40u;ba26686E0a,14,20C,40
Pda804019Au;ba805BBE0f,14,20C,40
Pda80414F3u;ba26686E0a,14,20C,40
Pda804284Du;ba805BBE0f,14,20C,40
Pda8043BA7u;ba26686E0a,14,20C,40
Pda8044F01u;ba8044CE8f,14,20C,40
Pda804625Bu;ba8000000 ,14,20C,40
Pda80475B5u;ba802DDF0f,14,20C,40
Pda804890Fu;baD997920a,14,20C,40
Pda8049C68u;baD997920a,14,20C,40
Pda804890Fu;ba802DDF0f,14,20C,40
Pda80475B5u;ba8000000 ,14,20C,40
Pda804625Bu;ba802DDF0f,14,20C,40
Pda8044F01u;ba8000000 ,14,20C,40
Pda8043BA7u;ba8044CE8f,14,20C,40
Pda804284Du;ba26686E0a,14,20C,40
Pda80414F3u;ba805BBE0f,14,20C,40
Pda804019Au;ba26686E0a,14,20C,40
Pda803EE40u;ba805BBE0f,14,20C,40
Pda803DAE6u;ba7FD2210f,14,20C,40
Pda803C78Cu;ba805BBE0f,14,20C,40
Pda803B432u;ba7FD2210f,14,20C,40
Pda803A0D8u;ba805BBE0f,14,20C,40
Pda8038D7Eu;ba26686E0a,14,20C,40
Pda8037A25u;ba805BBE0f,14,20C,40
Pda80366CBu;ba26686E0a,14,20C,40
Pda8035371u;ba8044CE8f,14,20C,40
Pda8034017u;ba8000000 ,14,20C,40
Pda8032CBDu;ba8044CE8f,14,20C,40
Pda8031963u;baD997920a,14,20C,40
Pda803060Au;ba802DDF0f,14,20C,40
Pda802F2B0u;ba802DDF0f,14,20C,40
Pda802DF56u;baD997920a,14,20C,40
Pda802CBFCu;ba802DDF0f,14,20C,40
Pda802B8A2u;ba8000000 ,14,20C,40
Pda802A548u;ba8044CE8f,14,20C,40
Pda80291EEu;ba26686E0a,14,20C,40
Pda8027E95u;ba8044CE8f,14,20C,40
Pda8026B3Bu;ba26686E0a,14,20C,40
Pda80257E1u;ba805BBE0f,14,20C,40
Pda8024487u;ba26686E0a,14,20C,40
Pda802312Du;ba805BBE0f,14,20C,40
Pda8021DD3u;ba26686E0a,14,20C,40
PdaFF8EC70n;ba805BBE0f,14,20C,40
PdaFAD5570n;ba26686E0a,14,20C,40
PdaF61BE78n;ba805BBE0f,14,20C,40
PdaF162780n;ba26686E0a,14,20C,40
PdaECA9080n;ba8044CE8f,14,20C,40
PdaE7EF988n;ba8000000 ,14,20C,40
PdaE336290n;ba802DDF0f,14,20C,40
PdaDE7CB90n;ba8000000 ,14,20C,40
PdaD9C3498n;ba802DDF0f,14,20C,40
PdaD509DA0n;baD997920a,14,20C,40
PdaD0506A8n;baD997920a,14,20C,40
PdaCB96FA8n;ba802DDF0f,14,20C,40
PdaC6DD8A8n;ba8000000 ,14,20C,40
PdaC2241B8n;ba8044CE8f,14,20C,40
PdaBD6AAB8n;ba8000000 ,14,20C,40
PdaB8B13C0n;ba8044CE8f,14,20C,40
PdaB3F7CC4n;ba26686E0a,14,20C,40
PdaAF3E5C8n;ba805BBE0f,14,20C,40
PdaAA84ED0n;ba26686E0a,14,20C,40
PdaA5CB7D4n;ba805BBE0f,14,20C,40
PdaA1120DCn;ba26686E0a,14,20C,40
Pda9C589E0n;ba805BBE0f,14,20C,40
Pda979F2E4n;ba26686E0a,14,20C,40
Pda92E5BEAn;ba805BBE0f,14,20C,40
Pda8E2C4F0n;ba26686E0a,14,20C,40
Pda8972DF5n;ba805BBE0f,14,20C,40
Pda84B96FAn;ba8000000 ,14,20C,40
-
C0002
Pda8000000 ;ba8044CE8f,14,20C,40
Pda7B46906n;ba8000000 ,14,20C,40
Pda768D20Bn;ba802DDF0f,14,20C,40
Pda71D3B10n;baD997920a,14,20C,40
Pda6D1A416n;baD997920a,14,20C,40
Pda6860D1Cn;ba802DDF0f,14,20C,40
Pda63A7620n;ba8000000 ,14,20C,40
Pda5EEDF24n;ba802DDF0f,14,20C,40
Pda5A3482Cn;ba26686E0a,14,20C,40
Pda557B130n;ba8044CE8f,14,20C,40
Pda50C1A38n;ba26686E0a,14,20C,40
Pda4C0833Cn;ba8044CE8f,14,20C,40
Pda474EC40n;ba7FD2210f,14,20C,40
Pda4295548n;ba805BBE0f,14,20C,40
Pda3DDBE48n;ba26686E0a,14,20C,40
Pda3922758n;ba805BBE0f,14,20C,40
Pda3469058n;ba26686E0a,14,20C,40
Pda2FAF958n;ba805BBE0f,14,20C,40
Pda2AF6260n;ba26686E0a,14,20C,40
Pda263CB68n;ba8044CE8f,14,20C,40
Pda2183470n;ba26686E0a,14,20C,40
Pda1CC9D70n;ba8044CE8f,14,20C,40
Pda1810678n;ba8000000 ,14,20C,40
Pda1356F80n;ba802DDF0f,14,20C,40
Pda0E9D880n;baD997920a,14,20C,40
Pda09E4188n;baD997920a,14,20C,40
Pda052AA90n;ba802DDF0f,14,20C,40
Pda0071390n;baD997920a,14,20C,40
Pda7FDE22Du;ba802DDF0f,14,20C,40
Pda7FDCED3u;ba8000000 ,14,20C,40
Pda7FDBB79u;ba8044CE8f,14,20C,40
Pda7FDA81Fu;ba26686E0a,14,20C,40
Pda7FD94C5u;ba8044CE8f,14,20C,40
Pda7FD816Bu;ba26686E0a,14,20C,40
Pda7FD6E12u;ba805BBE0f,14,20C,40
Pda7FD5AB8u;ba26686E0a,14,20C,40
Pda7FD475Eu;ba805BBE0f,14,20C,40
Pda7FD3404u;ba26686E0a,14,20C,40
Pda7FD20AAu;ba805BBE0f,14,20C,40
