e
M0007
PebB04A7C8n;ba892187Bp,14,215,40
Peb851A4EBu;ba80AFDEBp,10,20C,40
Peb852683Cu;ba80AFA9Dp,10,20C,40
Peb8532B8Cu;ba80AE6CCp,10,20C,40
Peb853EEDBu;ba80AE4F7p,10,20C,40
Peb854B22Cu;ba80AD0C8p,10,20C,40
Peb855757Cu;ba80ACDD8p,10,20C,40
Peb85638CCu;ba80ABB21p,10,20C,40
Peb856FC1Bu;ba80AB88Fp,10,20C,40
Peb857BF6Bu;ba80AA5D8p,10,20C,40
Peb85882BCu;ba80AA3A5p,10,20C,40
Peb859460Cu;ba80A914Bp,10,20C,40
Peb85A095Cu;ba80A8EBAp,10,20C,40
Peb85ACCABu;ba80A7E36p,10,20C,40
Peb85B8FFEu;ba80A7B47p,10,20C,40
Peb85C534Bu;ba80A6AC3p,10,20C,40
Peb85D169Cu;ba80A6890p,10,20C,40
Peb85DD9ECu;ba80A58C8p,10,20C,40
Peb85E9D3Cu;ba80A5694p,10,20C,40
Peb85F608Bu;ba80A466Fp,10,20C,40
Peb86023DCu;ba80A4321p,10,20C,40
Peb860E72Cu;ba80A335Ap,10,20C,40
Peb861AA7Cu;ba80A30C8p,10,20C,40
Peb8626DCCu;ba80A2334p,10,20C,40
Peb863311Cu;ba80A1F89p,10,20C,40
Peb863F46Cu;ba80A1139p,10,20C,40
Peb864B7BCu;ba80A0F63p,10,20C,40
Peb8657B0Cu;ba809FF9Cp,10,20C,40
Peb8663E5Bu;ba809FE24p,10,20C,40
Peb86701ACu;ba809F090p,10,20C,40
Peb867C4FBu;ba809ED42p,10,20C,40
Peb868884Cu;ba809E126p,10,20C,40
Peb8694B9Cu;ba809DD7Bp,10,20C,40
Peb86A0EEFu;ba809D1BDp,10,20C,40
Peb86AD23Fu;ba809CECDp,10,20C,40
Peb86B958Bu;ba809C253p,10,20C,40
Peb86C58DBu;ba809BE49p,10,20C,40
Peb86D1C2Cu;ba809B3A5p,10,20C,40
Peb86DDF7Bu;ba809AF9Cp,10,20C,40
Peb86EA2CCu;ba809A555p,10,20C,40
Peb86F661Cu;ba809A1AAp,10,20C,40
Peb870296Bu;ba80995ECp,10,20C,40
Peb870ECBCu;ba80993B8p,10,20C,40
Peb871B00Cu;ba8098972p,10,20C,40
Peb872735Cu;ba8098624p,10,20C,40
Peb87336ABu;ba8097A66p,10,20C,40
Peb873F9FCu;ba80977D4p,10,20C,40
Peb874BD4Cu;ba8096DECp,10,20C,40
Peb875809Cu;ba8096B5Ap,10,20C,40
Peb87643ECu;ba8096114p,10,20C,40
Peb877073Bu;ba8095F3Ep,10,20C,40
Peb877CA8Du;ba80954F8p,10,20C,40
Peb8788DDCu;ba8095208p,10,20C,40
Peb879512Cu;ba809487Dp,10,20C,40
Peb87A147Au;ba809458Ep,10,20C,40
Peb87AD7CCu;ba8093AEAp,10,20C,40
Peb87B9B1Cu;ba80937FAp,10,20C,40
Peb87C5E6Cu;ba8092FE7p,10,20C,40
Peb87D21BCu;ba8092C3Cp,10,20C,40
Peb87DE50Bu;ba8092429p,10,20C,40
Peb87EA85Cu;ba8092020p,10,20C,40
Peb87F6BACu;ba809186Bp,10,20C,40
Peb8802EFCu;ba8091461p,10,20C,40
Peb880F24Bu;ba8090D0Bp,10,20C,40
Peb881B59Bu;ba80908A3p,10,20C,40
Peb88278ECu;ba80901AAp,10,20C,40
Peb8833C3Cu;ba808FDFFp,10,20C,40
Peb883FF8Bu;ba808F6A8p,10,20C,40
Peb884C2DCu;ba808F29Ep,10,20C,40
Peb885862Cu;ba808EC61p,10,20C,40
Peb886497Cu;ba808E972p,10,20C,40
Peb8870CCCu;ba808E1BDp,10,20C,40
Peb887D01Cu;ba808DECEp,10,20C,40
Peb888936Bu;ba808D7D5p,10,20C,40
Peb88956BCu;ba808D487p,10,20C,40
Peb88A1A0Cu;ba808CD30p,10,20C,40
Peb88ADD5Cu;ba808C985p,10,20C,40
Peb88BA0ACu;ba808C28Cp,10,20C,40
Peb88C63FCu;ba808C114p,10,20C,40
Peb88D274Cu;ba808B901p,10,20C,40
Peb88DEA9Cu;ba808B670p,10,20C,40
Peb88EADECu;ba808AFD5p,10,20C,40
Peb88F713Cu;ba808ADFFp,10,20C,40
Peb890348Bu;ba808A5ECp,10,20C,40
Peb890F7DCu;ba808A3B9p,10,20C,40
Peb891BB2Bu;ba8089BA6p,10,20C,40
Peb8927E7Bu;ba8089B48p,10,20C,40
Peb89341CCu;ba8089393p,10,20C,40
Peb894051Eu;ba8089101p,10,20C,40
Peb894C86Cu;ba8088A08p,10,20C,40
Peb8958BBCu;ba8088891p,10,20C,40
Peb8964F0Bu;ba808807Ep,10,20C,40
Peb897125Bu;ba8087EA8p,10,20C,40
Peb897D5ACu;ba808786Bp,10,20C,40
Peb89898FBu;ba8087637p,10,20C,40
Peb8995C4Du;ba8087058p,10,20C,40
Peb89A1F9Cu;ba8086D69p,10,20C,40
Peb89AE2ECu;ba80866CEp,10,20C,40
Peb89BA63Cu;ba80864F8p,10,20C,40
Peb89C698Bu;ba8085F77p,10,20C,40
Peb89D2CDBu;ba8085CE5p,10,20C,40
Peb89DF02Bu;ba80857C2p,10,20C,40
Peb89EB37Cu;ba8085531p,10,20C,40
Peb89F76CCu;ba8084F51p,10,20C,40
Peb8A03A1Bu;ba8084C62p,10,20C,40
Peb8A0FD6Bu;ba8084625p,10,20C,40
Peb8A1C0BCu;ba808450Bp,10,20C,40
Peb8A2840Cu;ba8083F2Cp,10,20C,40
Peb8A3475Cu;ba8083D56p,10,20C,40
Peb8A40AACu;ba808365Dp,10,20C,40
Peb8A4CDFCu;ba80835FFp,10,20C,40
Peb8A5914Cu;ba8082EA8p,10,20C,40
Peb8A6549Cu;ba8082F06p,10,20C,40
Peb8A717ECu;ba80828C9p,10,20C,40
Peb8A7DB3Bu;ba808280Dp,10,20C,40
Peb8A89E8Bu;ba8081F3Fp,10,20C,40
Peb8A961DCu;ba8082059p,10,20C,40
Peb8AA252Cu;ba80818A4p,10,20C,40
Peb8AAE87Cu;ba808178Ap,10,20C,40
Peb8ABABCCu;ba8081091p,10,20C,40
Peb8AC6F1Cu;ba80810EFp,10,20C,40
Peb8AD326Cu;ba8080B6Ep,10,20C,40
Peb8ADF5BBu;ba8080A54p,10,20C,40
Peb8AEB90Cu;ba80802FDp,10,20C,40
Peb8AF7C5Bu;ba80803B9p,10,20C,40
Peb8B03FADu;ba807FD7Cp,10,20C,40
Peb8B102FCu;ba807FCC0p,10,20C,40
Peb8B1C64Cu;ba807F569p,10,20C,40
Peb8B2899Cu;ba807F5C7p,10,20C,40
Peb8B34CEAu;ba807EE12p,10,20C,40
Peb8B4103Cu;ba807EF2Cp,10,20C,40
Peb8B4D38Cu;ba807E7D5p,10,20C,40
Peb8B596DCu;ba807E8EFp,10,20C,40
Peb8B65A2Cu;ba807E13Ap,10,20C,40
Peb8B71D7Bu;ba807E1F6p,10,20C,40
Peb8B7E0CBu;ba807DAFDp,10,20C,40
Peb8B8A41Cu;ba807DCD3p,10,20C,40
Peb8B9676Cu;ba807D4C0p,10,20C,40
Peb8BA2ABCu;ba807D5DAp,10,20C,40
Peb8BAEE0Bu;ba807CE25p,10,20C,40
Peb8BBB15Cu;ba807D173p,10,20C,40
Peb8BC74ACu;ba807C72Cp,10,20C,40
Peb8BD37FCu;ba807CB35p,10,20C,40
Peb8BDFB4Du;ba807C0EFp,10,20C,40
Peb8BEBE9Bu;ba807C323p,10,20C,40
Peb8BF81ECu;ba807B9F6p,10,20C,40
Peb8C0453Cu;ba807BEBBp,10,20C,40
Peb8C1088Cu;ba807B417p,10,20C,40
Peb8C1CBDCu;ba807B8DCp,10,20C,40
Peb8C28F2Au;ba807AE38p,10,20C,40
Peb8C3527Bu;ba807B417p,10,20C,40
Peb8C415CCu;ba807A859p,10,20C,40
Peb8C4D91Cu;ba807ABA6p,10,20C,40
Peb8C59C6Cu;ba807A1BEp,10,20C,40
Peb8C65FBBu;ba807A9D1p,10,20C,40
Peb8C7230Bu;ba8079C9Bp,10,20C,40
Peb8C7E65Cu;ba807A2D8p,10,20C,40
Peb8C8A9ACu;ba8079600p,10,20C,40
Peb8C96CFCu;ba8079C3Dp,10,20C,40
Peb8CA304Bu;ba8079021p,10,20C,40
Peb8CAF39Bu;ba8079777p,10,20C,40
Peb8CBB6ECu;ba8078B5Bp,10,20C,40
Peb8CC7A3Cu;ba8079310p,10,20C,40
Peb8CD3D8Bu;ba80784C0p,10,20C,40
Peb8CE00DBu;ba8078D31p,10,20C,40
Peb8CEC42Bu;ba8077FFBp,10,20C,40
Peb8CF877Bu;ba807880Ep,10,20C,40
Peb8D04ACBu;ba8077A7Ap,10,20C,40
Peb8D10E1Cu;ba807822Fp,10,20C,40
Peb8D1D16Bu;ba8077670p,10,20C,40
Peb8D294BBu;ba8077EE1p,10,20C,40
Peb8D3580Cu;ba8077091p,10,20C,40
Peb8D41B5Bu;ba8077960p,10,20C,40
Peb8D4DEABu;ba8076C88p,10,20C,40
Peb8D5A1FBu;ba8077323p,10,20C,40
Peb8D6654Bu;ba8076531p,10,20C,40
Peb8D7289Cu;ba8076D44p,10,20C,40
Peb8D7EBEBu;ba8076128p,10,20C,40
Peb8D8AF3Cu;ba8076B10p,10,20C,40
Peb8D9728Bu;ba8075B49p,10,20C,40
Peb8DA35DCu;ba8076475p,10,20C,40
Peb8DAF92Bu;ba807573Fp,10,20C,40
Peb8DBBC7Cu;ba8076128p,10,20C,40
Peb8DC7FCCu;ba807521Cp,10,20C,40
Peb8DD431Cu;ba8075B49p,10,20C,40
Peb8DE066Bu;ba8074E13p,10,20C,40
Peb8DEC9BBu;ba80756E1p,10,20C,40
Peb8DF8D0Bu;ba8074A09p,10,20C,40
Peb8E0505Cu;ba80751BEp,10,20C,40
Peb8E113ABu;ba80743CCp,10,20C,40
Peb8E1D6FBu;ba8074E13p,10,20C,40
Peb8E29A4Cu;ba8073F65p,10,20C,40
Peb8E35D9Cu;ba8074891p,10,20C,40
Peb8E420EBu;ba8073B5Bp,10,20C,40
Peb8E4E43Bu;ba807442Ap,10,20C,40
Peb8E5A78Bu;ba80736F4p,10,20C,40
Peb8E66ADCu;ba807407Fp,10,20C,40
Peb8E72E2Bu;ba807328Dp,10,20C,40
Peb8E7F17Bu;ba8073BB9p,10,20C,40
Peb8E8B4CBu;ba8072E25p,10,20C,40
Peb8E9781Bu;ba80736F4p,10,20C,40
Peb8EA3B6Cu;ba8072960p,10,20C,40
Peb8EAFEBCu;ba80734C0p,10,20C,40
Peb8EBC20Bu;ba8072671p,10,20C,40
Peb8EC855Bu;ba8072F3Fp,10,20C,40
Peb8ED48ABu;ba807214Dp,10,20C,40
Peb8EE0BFBu;ba8072B94p,10,20C,40
Peb8EECF4Cu;ba8071CE6p,10,20C,40
Peb8EF929Bu;ba8072671p,10,20C,40
Peb8F055EBu;ba807193Bp,10,20C,40
Peb8F1193Bu;ba80723DFp,10,20C,40
Peb8F1DC8Bu;ba807158Fp,10,20C,40
Peb8F29FDCu;ba8071EBCp,10,20C,40
Peb8F3632Cu;ba8071128p,10,20C,40
Peb8F4267Au;ba8071BCCp,10,20C,40
Peb8F4E9CBu;ba8070C05p,10,20C,40
Peb8F5AD1Bu;ba8071821p,10,20C,40
Peb8F6706Cu;ba80707FBp,10,20C,40
Peb8F733BBu;ba80711E4p,10,20C,40
Peb8F7F70Cu;ba8070336p,10,20C,40
Peb8F8BA5Bu;ba807100Ep,10,20C,40
Peb8F97DACu;ba80701BEp,10,20C,40
Peb8FA40FCu;ba8070A8Dp,10,20C,40
Peb8FB044Bu;ba806FBDFp,10,20C,40
Peb8FBC79Cu;ba8070915p,10,20C,40
Peb8FC8AEBu;ba806F7D6p,10,20C,40
Peb8FD4E3Au;ba8070336p,10,20C,40
Peb8FE118Cu;ba806F488p,10,20C,40
Peb8FED4DBu;ba806FFE8p,10,20C,40
Peb8FF982Cu;ba806F07Fp,10,20C,40
Peb9005B7Cu;ba806FC3Dp,10,20C,40
Peb9011ECAu;ba806EDEDp,10,20C,40
Peb901E21Cu;ba806F8F0p,10,20C,40
Peb902A56Au;ba806E8CAp,10,20C,40
Peb90368BCu;ba806F5A2p,10,20C,40
Peb9042C0Eu;ba806E51Fp,10,20C,40
Peb904EF5Au;ba806F0DDp,10,20C,40
Peb905B2ACu;ba806E115p,10,20C,40
Peb90675FAu;ba806EDEDp,10,20C,40
Peb907394Cu;ba806DCAEp,10,20C,40
Peb907FC9Cu;ba806EAFEp,10,20C,40
Peb908BFEAu;ba806D9BEp,10,20C,40
Peb909833Cu;ba806E86Cp,10,20C,40
Peb90A468Au;ba806D557p,10,20C,40
Peb90B09DAu;ba806E463p,10,20C,40
Peb90BCD2Cu;ba806D209p,10,20C,40
Peb90C907Cu;ba806E173p,10,20C,40
Peb90D53CCu;ba806CD44p,10,20C,40
Peb90E171Au;ba806DD6Ap,10,20C,40
Peb90EDA6Au;ba806CB6Ep,10,20C,40
Peb90F9DBCu;ba806DA7Ap,10,20C,40
Peb910610Au;ba806C707p,10,20C,40
Peb911245Cu;ba806D72Dp,10,20C,40
Peb911E7AAu;ba806C2FEp,10,20C,40
Peb912AAFCu;ba806D323p,10,20C,40
Peb9136E4Cu;ba806C06Cp,10,20C,40
Peb914319Au;ba806D209p,10,20C,40
Peb914F4ECu;ba806BCC1p,10,20C,40
Peb915B83Au;ba806CEBCp,10,20C,40
Peb9167B8Au;ba806BA2Fp,10,20C,40
Peb9173EDCu;ba806CAB3p,10,20C,40
Peb918022Au;ba806B740p,10,20C,40
Peb918C57Au;ba806C64Bp,10,20C,40
Peb91988CAu;ba806B3F2p,10,20C,40
Peb91A4C1Cu;ba806C35Cp,10,20C,40
Peb91B0F6Cu;ba806B21Cp,10,20C,40
Peb91BD2BAu;ba806BEF4p,10,20C,40
Peb91C960Au;ba806AE71p,10,20C,40
Peb91D595Au;ba806BC63p,10,20C,40
Peb91E1CACu;ba806ADB5p,10,20C,40
Peb91EDFFCu;ba806BA2Fp,10,20C,40
Peb91FA34Au;ba806A8F0p,10,20C,40
Peb920669Eu;ba806B5C8p,10,20C,40
Peb92129EAu;ba806A600p,10,20C,40
Peb921ED3Cu;ba806B160p,10,20C,40
Peb922B08Cu;ba806A36Fp,10,20C,40
Peb92373DCu;ba806AECFp,10,20C,40
Peb924372Cu;ba8069F65p,10,20C,40
Peb924FA7Au;ba806AC3Dp,10,20C,40
Peb925BDCCu;ba8069DEDp,10,20C,40
Peb926811Cu;ba806A94Ep,10,20C,40
Peb927446Cu;ba8069BBAp,10,20C,40
Peb92807BCu;ba806A5A2p,10,20C,40
Peb928CB0Au;ba806986Cp,10,20C,40
Peb9298E5Cu;ba806A1F7p,10,20C,40
Peb92A51ACu;ba80697B0p,10,20C,40
Peb92B14FAu;ba8069DEDp,10,20C,40
Peb92BD84Au;ba806957Dp,10,20C,40
Peb92C9B9Au;ba80699E4p,10,20C,40
Peb92D5EEAu;ba8069463p,10,20C,40
Peb92E223Cu;ba80695DBp,10,20C,40
Peb92EE58Cu;ba8069173p,10,20C,40
Peb92FA8DCu;ba806922Fp,10,20C,40
Peb9306C2Au;ba8068F40p,10,20C,40
Peb9312F7Cu;ba8068F9Ep,10,20C,40
Peb931F2CCu;ba8068C50p,10,20C,40
Peb932B61Cu;ba8068B94p,10,20C,40
Peb933796Cu;ba8068AD8p,10,20C,40
Peb9343CBAu;ba80687E9p,10,20C,40
Peb935000Au;ba8068903p,10,20C,40
Peb935C35Cu;ba8068613p,10,20C,40
Peb93686AAu;ba8068613p,10,20C,40
Peb93749FAu;ba8068B94p,10,20C,40
Peb9380D4Au;ba806849Bp,10,20C,40
Peb938D09Cu;ba806814Ep,10,20C,40
Peb93993ECu;ba8068323p,10,20C,40
Peb93A573Au;ba8067C2Bp,10,20C,40
Peb93B1A8Au;ba806814Ep,10,20C,40
Peb93BDDDAu;ba80677C3p,10,20C,40
Peb93CA12Eu;ba8067FD6p,10,20C,40
Peb93D647Au;ba8067418p,10,20C,40
Peb93E27CAu;ba8067E5Ep,10,20C,40
Peb93EEB1Cu;ba806735Cp,10,20C,40
Peb93FAE6Au;ba8067999p,10,20C,40
Peb94071BCu;ba8066D1Fp,10,20C,40
Peb941350Au;ba806764Bp,10,20C,40
Peb941F85Au;ba8066B49p,10,20C,40
Peb942BBACu;ba8067821p,10,20C,40
Peb9437EFAu;ba8066E97p,10,20C,40
Peb944424Cu;ba8067532p,10,20C,40
Peb945059Au;ba80665C8p,10,20C,40
Peb945C8ECu;ba8067242p,10,20C,40
Peb9468C3Cu;ba8066336p,10,20C,40
Peb9474F8Au;ba8067186p,10,20C,40
Peb94812DAu;ba8066103p,10,20C,40
Peb948D62Au;ba8066E97p,10,20C,40
Peb949997Au;ba8065E13p,10,20C,40
Peb94A5CCEu;ba8066C05p,10,20C,40
Peb94B201Au;ba8065C3Dp,10,20C,40
Peb94BE36Cu;ba80669D1p,10,20C,40
Peb94CA6BAu;ba8065AC6p,10,20C,40
Peb94D6A0Cu;ba8066740p,10,20C,40
Peb94E2D5Cu;ba8065892p,10,20C,40
Peb94EF0AAu;ba8066336p,10,20C,40
Peb94FB3FCu;ba80656BCp,10,20C,40
Peb950774Au;ba80660A5p,10,20C,40
Peb9513A9Au;ba80654E7p,10,20C,40
Peb951FDEAu;ba8065F2Dp,10,20C,40
Peb952C13Au;ba80651F7p,10,20C,40
Peb953848Cu;ba8065C3Dp,10,20C,40
Peb95447DAu;ba8064F65p,10,20C,40
Peb9550B2Au;ba80658F0p,10,20C,40
Peb955CE7Cu;ba8064CD4p,10,20C,40
Peb95691CAu;ba806571Ap,10,20C,40
Peb957551Au;ba8064B5Cp,10,20C,40
Peb958186Au;ba80654E7p,10,20C,40
Peb958DBBCu;ba8064AA0p,10,20C,40
Peb9599F0Cu;ba806507Fp,10,20C,40
Peb95A625Au;ba80649E4p,10,20C,40
Peb95B25ACu;ba8064E4Cp,10,20C,40
Peb95BE8FAu;ba80648CAp,10,20C,40
Peb95CAC4Cu;ba8064A42p,10,20C,40
Peb95D6F9Cu;ba806480Fp,10,20C,40
Peb95E32EAu;ba8064753p,10,20C,40
Peb95EF63Cu;ba806457Dp,10,20C,40
Peb95FB98Au;ba8064405p,10,20C,40
Peb9607CDAu;ba8064405p,10,20C,40
Peb961402Cu;ba806422Fp,10,20C,40
Peb962037Au;ba80641D1p,10,20C,40
Peb962C6CCu;ba8063FFCp,10,20C,40
Peb9638A1Au;ba8063F9Ep,10,20C,40
Peb9644D6Au;ba8063E84p,10,20C,40
Peb96510BAu;ba8063E26p,10,20C,40
Peb965D40Au;ba80639BFp,10,20C,40
Peb966975Eu;ba8063F40p,10,20C,40
Peb9675AAAu;ba806372Dp,10,20C,40
Peb9681DFAu;ba8063D6Ap,10,20C,40
Peb968E14Cu;ba80632C6p,10,20C,40
Peb969A49Cu;ba8063CAEp,10,20C,40
Peb96A67ECu;ba80631ACp,10,20C,40
Peb96B2B3Au;ba8063BF2p,10,20C,40
Peb96BEE8Au;ba8062CE7p,10,20C,40
Peb96CB1DCu;ba8063961p,10,20C,40
Peb96D752Au;ba8062A55p,10,20C,40
Peb96E387Cu;ba806378Bp,10,20C,40
Peb96EFBCAu;ba80628DDp,10,20C,40
Peb96FBF1Au;ba8063613p,10,20C,40
Peb970826Eu;ba8062708p,10,20C,40
Peb97145BAu;ba806349Bp,10,20C,40
Peb972090Cu;ba8062128p,10,20C,40
Peb972CC5Au;ba806349Bp,10,20C,40
Peb9738FACu;ba8062242p,10,20C,40
Peb97452FAu;ba8062E5Ep,10,20C,40
Peb975164Au;ba8061E97p,10,20C,40
Peb975D99Cu;ba8063092p,10,20C,40
Peb9769CEAu;ba8061C63p,10,20C,40
Peb977603Cu;ba806314Ep,10,20C,40
Peb978238Cu;ba8061A8Dp,10,20C,40
Peb978E6DAu;ba8062DA3p,10,20C,40
Peb979AA2Cu;ba806185Ap,10,20C,40
Peb97A6D7Au;ba8062B11p,10,20C,40
Peb97B30CAu;ba8061740p,10,20C,40
Peb97BF41Au;ba80628DDp,10,20C,40
Peb97CB76Au;ba8061740p,10,20C,40
Peb97D7ABCu;ba8062590p,10,20C,40
Peb97E3E0Au;ba80614AEp,10,20C,40
Peb97F015Au;ba80623BAp,10,20C,40
Peb97FC4AAu;ba8061337p,10,20C,40
Peb98087FAu;ba80622A0p,10,20C,40
Peb9814B4Cu;ba8060F8Bp,10,20C,40
Peb9820E9Au;ba806200Fp,10,20C,40
Peb982D1ECu;ba8060F2Dp,10,20C,40
Peb983953Cu;ba8061E39p,10,20C,40
Peb984588Au;ba8060D57p,10,20C,40
Peb9851BDCu;ba8061C05p,10,20C,40
Peb985DF2Au;ba8060A0Ap,10,20C,40
Peb986A27Cu;ba80618B8p,10,20C,40
Peb98765CCu;ba8060BE0p,10,20C,40
Peb988291Au;ba80615C8p,10,20C,40
Peb988EC6Cu;ba8060BE0p,10,20C,40
Peb989AFBAu;ba8061161p,10,20C,40
Peb98A730Au;ba8060C3Ep,10,20C,40
Peb98B365Cu;ba8060F8Bp,10,20C,41
Peb98BF9AAu;ba8060B24p,10,20C,40
Peb98CBCFCu;ba8060D57p,10,20C,40
Peb98D804Au;ba8060A68p,10,20C,40
Peb98E439Au;ba8060B24p,10,20C,40
Peb98F06ECu;ba8060834p,10,20C,41
Peb98FCA3Au;ba80607D6p,10,20C,41
Peb9908D8Eu;ba806071Ap,10,20C,40
Peb99150DAu;ba806071Ap,10,20C,41
Peb992142Au;ba806065Ep,10,20C,40
Peb992D77Cu;ba80601F7p,10,20C,40
Peb9939ACAu;ba8060601p,10,20C,40
Peb9945E1Cu;ba805FDEEp,10,20C,40
Peb995216Au;ba80606BCp,10,20C,40
Peb995E4BAu;ba805FC76p,10,20C,40
Peb996A80Cu;ba80606BCp,10,20C,40
Peb9976B5Au;ba805F929p,10,20C,40
Peb9982EACu;ba8060545p,10,20C,40
Peb998F1FAu;ba805F697p,10,20C,40
Peb999B54Au;ba806036Fp,10,20C,40
Peb99A789Au;ba805F405p,10,20C,40
Peb99B3BEAu;ba80601F7p,10,20C,40
Peb99BFF3Au;ba805F174p,10,20C,40
Peb99CC28Au;ba8060199p,10,20C,40
Peb99D85DCu;ba805F0B8p,10,20C,40
