e
M0007
PebB04A72Cn;ba897E1B0p,14,215,40
Peb8362DACu;ba80DF58Bp,10,20C,41
Peb836F0FCu;ba80DDECBp,10,20C,41
Peb837B44Cu;ba80DC7ACp,10,20C,41
Peb838779Cu;ba80DB08Ep,10,20C,41
Peb8393AECu;ba80D996Fp,10,20C,41
Peb839FE3Cu;ba80D859Ep,10,20C,41
Peb83AC18Cu;ba80D6E80p,10,20C,41
Peb83B84DCu;ba80D5C84p,10,20C,41
Peb83C482Cu;ba80D4390p,10,20C,41
Peb83D0B7Du;ba80D3426p,10,20C,41
Peb83DCECDu;ba80D1F9Ap,10,20C,40
Peb83E921Cu;ba80D11A8p,10,20C,40
Peb83F556Cu;ba80CF44Cp,10,20C,40
Peb84018BEu;ba80CEB7Ep,10,20C,40
Peb840DC0Cu;ba80CCF3Cp,10,20C,40
Peb8419F5Du;ba80CC8A1p,10,20C,40
Peb84262ADu;ba80CAA89p,10,20C,40
Peb84325FCu;ba80CA680p,10,20C,40
Peb843E94Du;ba80C8869p,10,20C,40
Peb844AC9Cu;ba80C85D7p,10,20C,40
Peb8456FECu;ba80C67C0p,10,20C,40
Peb846333Cu;ba80C64D0p,10,20C,40
Peb846F68Du;ba80C4775p,10,20C,40
Peb847B9DDu;ba80C45FDp,10,20C,40
Peb8487D2Du;ba80C28A1p,10,20C,40
Peb849407Cu;ba80C2787p,10,20C,40
Peb84A03CDu;ba80C0C60p,10,20C,40
Peb84AC71Eu;ba80C0BA4p,10,20C,40
Peb84B8A6Du;ba80BEDEAp,10,20C,40
Peb84C4DBCu;ba80BEF62p,10,20C,40
Peb84D110Cu;ba80BD264p,10,20C,40
Peb84DD45Du;ba80BD5B2p,10,20C,40
Peb84E97ADu;ba80BB79Ap,10,20C,40
Peb84F5AFDu;ba80BBA8Ap,10,20C,40
Peb8501E4Cu;ba80B9DEAp,10,20C,40
Peb850E19Cu;ba80BA138p,10,20C,40
Peb851A4EDu;ba80B82C3p,10,20C,40
Peb852683Du;ba80B89BBp,10,20C,40
Peb8532B8Cu;ba80B6A2Cp,10,20C,40
Peb853EEDCu;ba80B70C7p,10,20C,40
Peb854B22Cu;ba80B530Ep,10,20C,40
Peb855757Du;ba80B5A65p,10,20C,40
Peb85638CDu;ba80B3B91p,10,20C,40
Peb856FC1Cu;ba80B42E8p,10,20C,40
Peb857BF6Du;ba80B252Fp,10,20C,40
Peb85882BCu;ba80B2F17p,10,20C,40
Peb859460Cu;ba80B0ECCp,10,20C,40
Peb85A095Du;ba80B1857p,10,20C,40
Peb85ACCACu;ba80AF925p,10,20C,40
Peb85B8FFCu;ba80B0542p,10,20C,40
Peb85C534Fu;ba80AE43Bp,10,20C,40
Peb85D169Cu;ba80AEEDFp,10,20C,40
Peb85DD9EDu;ba80AD00Cp,10,20C,40
Peb85E9D3Du;ba80ADC28p,10,20C,40
Peb85F608Du;ba80ABC99p,10,20C,40
Peb86023DCu;ba80AC857p,10,20C,40
Peb860E72Du;ba80AA984p,10,20C,40
Peb861AA7Du;ba80AB542p,10,20C,40
Peb8626DCDu;ba80A9788p,10,20C,40
Peb863311Du;ba80AA28Bp,10,20C,40
Peb863F46Du;ba80A858Dp,10,20C,40
Peb864B7BCu;ba80A9031p,10,20C,40
Peb8657B0Cu;ba80A744Ep,10,20C,40
Peb8663E5Du;ba80A7DD8p,10,20C,40
Peb86701ADu;ba80A6428p,10,20C,40
Peb867C4FCu;ba80A6C3Bp,10,20C,40
Peb868884Du;ba80A53A5p,10,20C,40
Peb8694B9Cu;ba80A5C15p,10,20C,40
Peb86A0EECu;ba80A43DDp,10,20C,40
Peb86AD23Du;ba80A4B92p,10,20C,40
Peb86B958Cu;ba80A3474p,10,20C,40
Peb86C58DCu;ba80A3C28p,10,20C,40
Peb86D1C2Du;ba80A2334p,10,20C,40
Peb86DDF7Du;ba80A2CBFp,10,20C,40
Peb86EA2CDu;ba80A136Cp,10,20C,40
Peb86F661Du;ba80A1D55p,10,20C,40
Peb870296Du;ba80A04BFp,10,20C,40
Peb870ECBDu;ba80A0DEBp,10,20C,40
Peb871B00Cu;ba809F66Fp,10,20C,40
Peb872735Du;ba809FF9Cp,10,20C,40
Peb87336ADu;ba809E705p,10,20C,40
Peb873F9FCu;ba809F090p,10,20C,40
Peb874BD4Du;ba809DA8Bp,10,20C,40
Peb875809Cu;ba809E1E2p,10,20C,40
Peb87643EDu;ba809CCF7p,10,20C,40
Peb877073Cu;ba809D44Ep,10,20C,40
Peb877CA8Cu;ba809BF63p,10,20C,40
Peb8788DDEu;ba809C718p,10,20C,40
Peb879512Cu;ba809B22Dp,10,20C,40
Peb87A147Du;ba809B8C8p,10,20C,40
Peb87AD7CCu;ba809A789p,10,20C,40
Peb87B9B1Cu;ba809A95Fp,10,20C,40
Peb87C5E6Cu;ba8099AB1p,10,20C,40
Peb87D21BCu;ba8099DFEp,10,20C,40
Peb87DE50Cu;ba809900Dp,10,20C,40
Peb87EA85Cu;ba809900Dp,10,20C,40
Peb87F6BACu;ba8098624p,10,20C,40
Peb8802EFDu;ba80982D7p,10,20C,40
Peb880F24Cu;ba80979AAp,10,20C,41
Peb881B59Du;ba80976BAp,10,20C,40
Peb88278EEu;ba8096EA8p,10,20C,40
Peb8833C3Du;ba8096C16p,10,20C,40
Peb883FF8Fu;ba80962E9p,10,20C,40
Peb884C2DCu;ba8095F3Ep,10,20C,40
Peb885862Du;ba8095845p,10,20C,40
Peb886497Eu;ba8095380p,10,20C,40
Peb8870CCDu;ba8094DFFp,10,20C,40
Peb887D01Du;ba809487Dp,10,20C,41
Peb888936Cu;ba809429Ep,10,20C,41
Peb88956BDu;ba8093D7Bp,10,20C,41
Peb88A1A0Cu;ba809379Cp,10,20C,40
Peb88ADD5Cu;ba809315Fp,10,20C,40
Peb88BA0ADu;ba8092DB4p,10,20C,40
Peb88C63FCu;ba8092890p,10,20C,40
Peb88D274Du;ba809236Dp,10,20C,40
Peb88DEA9Cu;ba8091D30p,10,20C,40
Peb88EADEDu;ba8091A40p,10,20C,41
Peb88F713Cu;ba8091114p,10,20C,40
Peb890348Cu;ba8091058p,10,20C,40
Peb890F7DDu;ba8090789p,10,20C,40
Peb891BB2Du;ba8090845p,10,20C,40
Peb8927E7Cu;ba808FB6Dp,10,20C,40
Peb89341CCu;ba808FF19p,10,20C,40
Peb894051Du;ba808F185p,10,20C,40
Peb894C86Du;ba808F6A8p,10,20C,40
Peb8958BBEu;ba808E7FAp,10,20C,40
Peb8964F0Cu;ba808EE95p,10,20C,40
Peb897125Du;ba808DD56p,10,20C,40
Peb897D5ADu;ba808E569p,10,20C,40
Peb89898FDu;ba808D543p,10,20C,40
Peb8995C4Cu;ba808DD56p,10,20C,40
Peb89A1F9Du;ba808CBB8p,10,20C,40
Peb89AE2EDu;ba808D429p,10,20C,40
Peb89BA63Du;ba808C1D0p,10,20C,40
Peb89C698Du;ba808CC16p,10,20C,40
Peb89D2CDCu;ba808B9BDp,10,20C,40
Peb89DF02Cu;ba808C404p,10,20C,40
Peb89EB37Du;ba808B0EFp,10,20C,40
Peb89F76CCu;ba808BB93p,10,20C,40
Peb8A03A1Cu;ba808A93Ap,10,20C,40
Peb8A0FD6Du;ba808B322p,10,20C,40
Peb8A1C0BDu;ba8089F51p,10,20C,40
Peb8A2840Eu;ba808AC29p,10,20C,40
Peb8A3475Du;ba80897FAp,10,20C,40
Peb8A40AADu;ba808A474p,10,20C,40
Peb8A4CDFCu;ba8088E70p,10,20C,40
Peb8A5914Du;ba8089D1Ep,10,20C,40
Peb8A6549Cu;ba8088777p,10,20C,40
Peb8A717ECu;ba80894ADp,10,20C,40
Peb8A7DB3Cu;ba8087DECp,10,20C,40
Peb8A89E8Du;ba8088CF8p,10,20C,40
Peb8A961DDu;ba8087695p,10,20C,40
Peb8AA252Cu;ba80885A1p,10,20C,40
Peb8AAE87Du;ba8086E83p,10,20C,40
Peb8ABABCDu;ba8087F64p,10,20C,40
Peb8AC6F1Cu;ba808672Cp,10,20C,40
Peb8AD326Du;ba80877AFp,10,20C,40
Peb8ADF5BCu;ba8085F77p,10,20C,40
Peb8AEB90Cu;ba80870B6p,10,20C,40
Peb8AF7C5Du;ba8085820p,10,20C,40
Peb8B03FACu;ba8086902p,10,20C,40
Peb8B102FDu;ba808506Bp,10,20C,40
Peb8B1C64Cu;ba8086322p,10,20C,40
Peb8B2899Cu;ba8084A8Cp,10,20C,40
Peb8B34CECu;ba8085C29p,10,20C,40
Peb8B4103Cu;ba8084393p,10,20C,40
Peb8B4D38Du;ba8085417p,10,20C,40
Peb8B596DDu;ba8083C3Cp,10,20C,40
Peb8B65A2Cu;ba8084DDAp,10,20C,40
Peb8B71D7Cu;ba8083777p,10,20C,40
Peb8B7E0CCu;ba80846E1p,10,20C,40
Peb8B8A41Cu;ba8082FC2p,10,20C,40
Peb8B9676Du;ba8083E12p,10,20C,40
Peb8BA2ABCu;ba8082AFDp,10,20C,40
Peb8BAEE0Du;ba8083891p,10,20C,40
Peb8BBB15Cu;ba8082462p,10,20C,40
Peb8BC74ADu;ba808313Ap,10,20C,40
Peb8BD37FCu;ba8081E83p,10,20C,40
Peb8BDFB4Du;ba8082AFDp,10,20C,40
Peb8BEBE9Du;ba80817E8p,10,20C,40
Peb8BF81ECu;ba808257Cp,10,20C,40
Peb8C0453Du;ba8081209p,10,20C,40
Peb8C1088Cu;ba8081FFBp,10,20C,40
Peb8C1CBDCu;ba8080C2Ap,10,20C,40
Peb8C28F2Du;ba8081960p,10,20C,40
Peb8C3527Du;ba80805EDp,10,20C,40
Peb8C415CDu;ba8081323p,10,20C,40
Peb8C4D91Du;ba808006Bp,10,20C,40
Peb8C59C6Cu;ba8080D43p,10,20C,40
Peb8C65FBCu;ba807FBA6p,10,20C,40
Peb8C7230Du;ba8080820p,10,20C,40
Peb8C7E65Du;ba807F50Bp,10,20C,40
Peb8C8A9ACu;ba80802FDp,10,20C,40
Peb8C96CFDu;ba807EFE8p,10,20C,40
Peb8CA304Du;ba807FCC0p,10,20C,40
Peb8CAF39Cu;ba807EB23p,10,20C,40
Peb8CBB6ECu;ba807F5C7p,10,20C,40
Peb8CC7A3Eu;ba807E6BBp,10,20C,40
Peb8CD3D8Du;ba807EECEp,10,20C,40
Peb8CE00DCu;ba807E1F6p,10,20C,40
Peb8CEC42Cu;ba807E833p,10,20C,40
Peb8CF877Du;ba807DDEDp,10,20C,40
Peb8D04ACCu;ba807E1F6p,10,20C,40
Peb8D10E1Du;ba807DA41p,10,20C,40
Peb8D1D16Du;ba807DC17p,10,20C,41
Peb8D294BCu;ba807D638p,10,20C,40
Peb8D3580Du;ba807D51Ep,10,20C,41
Peb8D41B5Du;ba807CFFBp,10,20C,41
Peb8D4DEADu;ba807D173p,10,20C,40
Peb8D5A1FDu;ba807CB93p,10,20C,40
Peb8D6654Cu;ba807CAD8p,10,20C,40
Peb8D7289Du;ba807C72Cp,10,20C,41
Peb8D7EBEDu;ba807C4F8p,10,20C,40
Peb8D8AF3Du;ba807C2C5p,10,20C,40
Peb8D9728Du;ba807C091p,10,20C,41
Peb8DA35DBu;ba807BEBBp,10,20C,40
Peb8DAF92Du;ba807BA54p,10,20C,40
Peb8DBBC7Du;ba807B998p,10,20C,40
Peb8DC7FCDu;ba807B64Bp,10,20C,40
Peb8DD431Du;ba807B475p,10,20C,40
Peb8DE066Cu;ba807B06Cp,10,20C,40
Peb8DEC9BDu;ba807B185p,10,20C,41
Peb8DF8D0Du;ba807ABA6p,10,20C,40
Peb8E0505Cu;ba807AC04p,10,20C,40
Peb8E113ACu;ba807A6E1p,10,20C,40
Peb8E1D6FBu;ba807A79Dp,10,20C,40
Peb8E29A4Du;ba8079F8Ap,10,20C,40
Peb8E35D9Cu;ba807A625p,10,20C,40
Peb8E420EDu;ba8079AC5p,10,20C,40
Peb8E4E43Cu;ba807A160p,10,20C,40
Peb8E5A78Du;ba8079488p,10,20C,40
Peb8E66ADCu;ba8079E12p,10,20C,40
Peb8E72E2Du;ba8078FC3p,10,20C,40
Peb8E7F17Du;ba8079A09p,10,20C,40
Peb8E8B4CEu;ba8078B5Bp,10,20C,40
Peb8E9781Bu;ba807965Ep,10,20C,40
Peb8EA3B6Cu;ba80785DAp,10,20C,40
Peb8EAFEBCu;ba807913Ap,10,20C,40
Peb8EBC20Cu;ba80781D1p,10,20C,40
Peb8EC855Cu;ba8078E4Bp,10,20C,40
Peb8ED48ACu;ba8077E25p,10,20C,40
Peb8EE0BFCu;ba8078A41p,10,20C,40
Peb8EECF4Du;ba80778A4p,10,20C,40
Peb8EF929Du;ba807857Cp,10,20C,40
Peb8F055ECu;ba807749Bp,10,20C,40
Peb8F1193Cu;ba80781D1p,10,20C,40
Peb8F1DC8Du;ba8076F77p,10,20C,40
Peb8F29FDDu;ba8077E25p,10,20C,40
Peb8F3632Cu;ba8076BCCp,10,20C,40
Peb8F4267Cu;ba8077AD8p,10,20C,40
Peb8F4E9CDu;ba80767C3p,10,20C,40
Peb8F5AD1Cu;ba80776CEp,10,20C,40
Peb8F6706Cu;ba8076417p,10,20C,40
Peb8F733BDu;ba80773DFp,10,20C,40
Peb8F7F70Cu;ba8075FB0p,10,20C,40
Peb8F8BA5Bu;ba8077091p,10,20C,40
Peb8F97DACu;ba8075A2Fp,10,20C,40
Peb8FA40FCu;ba8076C2Ap,10,20C,40
Peb8FB044Bu;ba8075625p,10,20C,40
Peb8FBC79Cu;ba80768DDp,10,20C,40
Peb8FC8AEDu;ba8075336p,10,20C,40
Peb8FD4E3Cu;ba8076531p,10,20C,40
Peb8FE118Eu;ba8074F2Cp,10,20C,40
Peb8FED4DBu;ba8076186p,10,20C,40
Peb8FF982Cu;ba8074B23p,10,20C,40
Peb9005B7Eu;ba8075EF4p,10,20C,40
Peb9011ECCu;ba8074778p,10,20C,40
Peb901E21Eu;ba8075AEBp,10,20C,40
Peb902A56Au;ba807436Ep,10,20C,40
Peb90368BCu;ba8075625p,10,20C,40
Peb9042C0Eu;ba80741F6p,10,20C,40
Peb904EF5Eu;ba807527Ap,10,20C,40
Peb905B2ACu;ba8073EA9p,10,20C,40
Peb90675FCu;ba8074DB5p,10,20C,40
Peb907394Cu;ba8073AFDp,10,20C,40
Peb907FC9Cu;ba8074A67p,10,20C,40
Peb908BFECu;ba807386Cp,10,20C,40
Peb909833Eu;ba807465Ep,10,20C,40
Peb90A468Cu;ba80734C0p,10,20C,40
Peb90B09DCu;ba80743CCp,10,20C,40
Peb90BCD2Eu;ba8072F9Dp,10,20C,40
Peb90C907Cu;ba807407Fp,10,20C,40
Peb90D53CCu;ba8072DC8p,10,20C,40
Peb90E171Cu;ba8073D31p,10,20C,40
Peb90EDA6Cu;ba8072AD8p,10,20C,40
Peb90F9DBCu;ba8073986p,10,20C,40
Peb910610Cu;ba80727E8p,10,20C,40
Peb911245Eu;ba8073638p,10,20C,40
Peb911E7ACu;ba80725B5p,10,20C,40
Peb912AAFEu;ba80732EBp,10,20C,40
Peb9136E4Eu;ba807214Dp,10,20C,40
Peb914319Cu;ba8072F9Dp,10,20C,40
Peb914F4ECu;ba8071F78p,10,20C,40
Peb915B83Au;ba8072B36p,10,20C,40
Peb9167B8Cu;ba8071BCCp,10,20C,40
Peb9173EDCu;ba8072846p,10,20C,40
Peb918022Cu;ba8071A54p,10,20C,40
Peb918C57Cu;ba807249Bp,10,20C,40
Peb91988CAu;ba80718DDp,10,20C,40
Peb91A4C1Cu;ba80720EFp,10,20C,40
Peb91B0F6Cu;ba807164Bp,10,20C,40
Peb91BD2BCu;ba8071B6Ep,10,20C,40
Peb91C960Eu;ba8071531p,10,20C,41
Peb91D595Cu;ba8071707p,10,20C,40
Peb91E1CACu;ba80712FEp,10,20C,40
Peb91EDFFCu;ba80712FEp,10,20C,40
Peb91FA34Cu;ba8070FB0p,10,20C,40
Peb920669Eu;ba807100Ep,10,20C,40
Peb92129ECu;ba8070D7Cp,10,20C,41
Peb921ED3Eu;ba8070D1Ep,10,20C,41
Peb922B08Cu;ba8070A8Dp,10,20C,41
Peb92373DCu;ba8070973p,10,20C,41
Peb924372Eu;ba80708B7p,10,20C,40
Peb924FA7Cu;ba80706E1p,10,20C,40
Peb925BDCCu;ba80705C8p,10,20C,40
Peb926811Cu;ba8070394p,10,20C,41
Peb927446Cu;ba8070336p,10,20C,40
Peb92807BEu;ba8070160p,10,20C,41
Peb928CB0Cu;ba8070160p,10,20C,40
Peb9298E5Cu;ba806FDB5p,10,20C,40
Peb92A51ACu;ba806FE13p,10,20C,40
Peb92B14FCu;ba806FA67p,10,20C,40
Peb92BD84Eu;ba806FC9Bp,10,20C,40
Peb92C9B9Cu;ba806F600p,10,20C,40
Peb92D5EECu;ba806FA67p,10,20C,40
Peb92E223Cu;ba806F2B3p,10,20C,40
Peb92EE58Eu;ba806F834p,10,20C,40
Peb92FA8DCu;ba806EE4Bp,10,20C,40
Peb9306C2Cu;ba806F7D6p,10,20C,40
Peb9312F7Cu;ba806EAFEp,10,20C,40
Peb931F2CCu;ba806F488p,10,20C,40
Peb932B61Cu;ba806E7B0p,10,20C,40
Peb933796Cu;ba806F310p,10,20C,40
Peb9343CBAu;ba806E5DAp,10,20C,40
Peb935000Cu;ba806F0DDp,10,20C,40
Peb935C35Cu;ba806E2EBp,10,20C,40
Peb93686ACu;ba806EEA9p,10,20C,40
Peb93749FCu;ba806DF3Fp,10,20C,40
Peb9380D4Au;ba806EAFEp,10,20C,40
Peb938D09Cu;ba806DD0Cp,10,20C,40
Peb93993ECu;ba806E986p,10,20C,40
Peb93A573Cu;ba806DB36p,10,20C,40
Peb93B1A8Cu;ba806E752p,10,20C,40
Peb93BDDDCu;ba806D6CFp,10,20C,40
Peb93CA12Cu;ba806E638p,10,20C,40
Peb93D647Cu;ba806D49Bp,10,20C,40
Peb93E27CCu;ba806E405p,10,20C,40
Peb93EEB1Eu;ba806CFD6p,10,20C,40
Peb93FAE6Au;ba806E0B7p,10,20C,40
Peb94071BCu;ba806CC88p,10,20C,40
Peb941350Au;ba806E173p,10,20C,40
Peb941F85Cu;ba806CB6Ep,10,20C,40
Peb942BBAEu;ba806DE84p,10,20C,40
Peb9437EFAu;ba806C999p,10,20C,40
Peb944424Cu;ba806DD0Cp,10,20C,40
Peb945059Cu;ba806C5EDp,10,20C,40
Peb945C8ECu;ba806DA7Ap,10,20C,40
Peb9468C3Eu;ba806C3BAp,10,20C,40
Peb9474F8Cu;ba806D72Dp,10,20C,40
Peb94812DCu;ba806C128p,10,20C,40
Peb948D62Au;ba806D671p,10,20C,40
Peb949997Cu;ba806BFB0p,10,20C,40
Peb94A5CCEu;ba806D323p,10,20C,40
Peb94B201Eu;ba806BD7Dp,10,20C,40
Peb94BE36Cu;ba806D0F0p,10,20C,40
Peb94CA6BCu;ba806BBA7p,10,20C,40
Peb94D6A0Cu;ba806CE00p,10,20C,40
Peb94E2D5Cu;ba806B9D1p,10,20C,40
Peb94EF0AAu;ba806CB6Ep,10,20C,40
Peb94FB3FCu;ba806B7FBp,10,20C,40
Peb950774Au;ba806C821p,10,20C,40
Peb9513A9Cu;ba806B626p,10,20C,40
Peb951FDECu;ba806C5EDp,10,20C,40
Peb952C13Cu;ba806B450p,10,20C,40
Peb953848Cu;ba806C35Cp,10,20C,40
Peb95447DCu;ba806B394p,10,20C,40
Peb9550B2Cu;ba806C242p,10,20C,40
Peb955CE7Eu;ba806B103p,10,20C,40
Peb95691CCu;ba806BF52p,10,20C,40
Peb957551Cu;ba806AE13p,10,20C,40
Peb958186Cu;ba806BD7Dp,10,20C,40
Peb958DBBEu;ba806ADB5p,10,20C,40
Peb9599F0Eu;ba806BAEBp,10,20C,40
Peb95A625Cu;ba806AAC5p,10,20C,40
Peb95B25ACu;ba806B9D1p,10,20C,40
Peb95BE8FCu;ba806A892p,10,20C,40
Peb95CAC4Cu;ba806B740p,10,20C,40
Peb95D6F9Eu;ba806A778p,10,20C,40
Peb95E32ECu;ba806B4AEp,10,20C,40
Peb95EF63Cu;ba806A544p,10,20C,40
Peb95FB98Cu;ba806B21Cp,10,20C,40
Peb9607CDCu;ba806A4E6p,10,20C,40
Peb961402Cu;ba806AFE9p,10,20C,40
Peb962037Cu;ba806A1F7p,10,20C,40
Peb962C6CCu;ba806AE13p,10,20C,40
Peb9638A1Au;ba806A1F7p,10,20C,40
Peb9644D6Cu;ba806AAC5p,10,20C,40
Peb96510BCu;ba806A13Bp,10,20C,40
Peb965D40Au;ba806A7D6p,10,20C,40
Peb966975Cu;ba8069FC3p,10,20C,40
Peb9675AAEu;ba806A488p,10,20C,40
Peb9681DFCu;ba8069F65p,10,20C,40
Peb968E14Eu;ba806A2B3p,10,20C,40
Peb969A49Cu;ba8069D8Fp,10,20C,40
Peb96A67ECu;ba806A021p,10,20C,41
Peb96B2B3Cu;ba8069C76p,10,20C,40
Peb96BEE8Cu;ba8069CD4p,10,20C,41
Peb96CB1DEu;ba8069BBAp,10,20C,40
Peb96D752Cu;ba8069C76p,10,20C,41
Peb96E387Cu;ba80699E4p,10,20C,40
Peb96EFBCCu;ba80698CAp,10,20C,40
Peb96FBF1Cu;ba80698CAp,10,20C,40
Peb9708270u;ba806980Ep,10,20C,40
Peb97145BAu;ba80695DBp,10,20C,40
Peb972090Cu;ba806951Fp,10,20C,41
Peb972CC5Cu;ba8069639p,10,20C,40
Peb9738FACu;ba80693A7p,10,20C,40
Peb97452FCu;ba8069405p,10,20C,41
Peb975164Cu;ba8069173p,10,20C,40
Peb975D99Cu;ba8069405p,10,20C,40
Peb9769CEAu;ba8068EE2p,10,20C,40
Peb977603Cu;ba8069349p,10,20C,40
Peb978238Cu;ba8068CAEp,10,20C,40
Peb978E6DCu;ba80692EBp,10,20C,40
Peb979AA2Cu;ba8068903p,10,20C,40
Peb97A6D7Au;ba8069173p,10,20C,40
Peb97B30CCu;ba80686CFp,10,20C,40
Peb97BF41Cu;ba8068FFCp,10,20C,40
Peb97CB76Au;ba8068381p,10,20C,40
Peb97D7ABCu;ba8068F9Ep,10,20C,40
Peb97E3E0Cu;ba80681ACp,10,20C,40
Peb97F015Cu;ba8068D6Ap,10,20C,40
Peb97FC4AEu;ba8067F1Ap,10,20C,40
Peb98087FAu;ba8068D0Cp,10,20C,40
Peb9814B4Cu;ba8067E5Ep,10,20C,40
Peb9820E9Au;ba8068AD8p,10,20C,40
Peb982D1ECu;ba8067CE6p,10,20C,40
Peb983953Cu;ba8068903p,10,20C,40
Peb984588Cu;ba8067AB3p,10,20C,40
Peb9851BDCu;ba80688A5p,10,20C,40
Peb985DF2Au;ba806787Fp,10,20C,40
Peb986A27Cu;ba8068613p,10,20C,40
Peb98765CCu;ba806764Bp,10,20C,40
Peb988291Au;ba8068613p,10,20C,40
Peb988EC6Cu;ba8067532p,10,20C,40
Peb989AFBCu;ba80684F9p,10,20C,40
Peb98A730Cu;ba806735Cp,10,20C,40
Peb98B365Cu;ba80683DFp,10,20C,40
Peb98BF9ACu;ba8067186p,10,20C,40
Peb98CBCFCu;ba80681ACp,10,20C,40
Peb98D804Au;ba8066EF5p,10,20C,40
Peb98E439Cu;ba806814Ep,10,20C,40
Peb98F06ECu;ba8066D7Dp,10,20C,40
Peb98FCA3Cu;ba8067FD6p,10,20C,40
Peb9908D8Cu;ba8066C63p,10,20C,40
Peb99150DCu;ba8067FD6p,10,20C,40
Peb992142Cu;ba80669D1p,10,20C,40
Peb992D77Cu;ba8067E5Ep,10,20C,40
Peb9939ACCu;ba806685Ap,10,20C,40
Peb9945E1Cu;ba8067C89p,10,20C,40
Peb995216Cu;ba80666E2p,10,20C,40
Peb995E4BCu;ba8067B11p,10,20C,40
Peb996A80Cu;ba8066740p,10,20C,40
Peb9976B5Cu;ba806787Fp,10,20C,40
Peb9982EACu;ba80664AEp,10,20C,40
Peb998F1FCu;ba80676A9p,10,20C,40
Peb999B54Cu;ba80663F2p,10,20C,40
Peb99A789Cu;ba8067532p,10,20C,40
Peb99B3BECu;ba8066336p,10,20C,40
Peb99BFF3Cu;ba80672FEp,10,20C,40
Peb99CC28Cu;ba806621Dp,10,20C,40
Peb99D85DCu;ba80671E4p,10,20C,40
Peb99E492Cu;ba8066103p,10,20C,40
Peb99F0C7Au;ba80671E4p,10,20C,40
